[100, {Topology,random}, {EdgeTraversalDecrement,10}, {Rounds,120}]
MinimumConnectivity,1221.0149267493139,LeastConnectedFirst,752.2486503874985,ConstrainedRandomWalk,1218.2741671328783,
MinimumConnectivity,1232.348995663188,LeastConnectedFirst,720.5425861708616,ConstrainedRandomWalk,1231.864937105834,
MinimumConnectivity,1285.8266922265127,LeastConnectedFirst,641.6936737612849,ConstrainedRandomWalk,1280.8711520575202,
MinimumConnectivity,1243.0990806740388,LeastConnectedFirst,971.7303274559187,ConstrainedRandomWalk,1242.950657543061,
MinimumConnectivity,1205.9955109660004,LeastConnectedFirst,700.7908026346221,ConstrainedRandomWalk,1204.236513295557,
MinimumConnectivity,1263.8930893945167,LeastConnectedFirst,713.6907042047044,ConstrainedRandomWalk,1263.4956382389016,
MinimumConnectivity,1208.3025757038456,LeastConnectedFirst,697.4889826798114,ConstrainedRandomWalk,1217.3345220029876,
MinimumConnectivity,1251.3490060306437,LeastConnectedFirst,698.3296728900527,ConstrainedRandomWalk,1250.1051419666703,
MinimumConnectivity,1236.4327386805685,LeastConnectedFirst,715.8659682706698,ConstrainedRandomWalk,1234.9708749909248,
MinimumConnectivity,1232.7959834079988,LeastConnectedFirst,966.1495344502091,ConstrainedRandomWalk,1232.4438685197742,
MinimumConnectivity,1298.622643042894,LeastConnectedFirst,740.4052729818666,ConstrainedRandomWalk,1298.491975738678,
MinimumConnectivity,1280.8770021481155,LeastConnectedFirst,907.711433550233,ConstrainedRandomWalk,1279.2666870742462,
MinimumConnectivity,1299.2749421135063,LeastConnectedFirst,1040.592337342872,ConstrainedRandomWalk,1297.1416223336842,
MinimumConnectivity,1243.686425665696,LeastConnectedFirst,750.0784355310453,ConstrainedRandomWalk,1243.6459475318543,
MinimumConnectivity,1223.3744635465637,LeastConnectedFirst,751.2738871555526,ConstrainedRandomWalk,1222.2550299327893,
MinimumConnectivity,1153.491232153994,LeastConnectedFirst,652.3292350897051,ConstrainedRandomWalk,1153.4762203853495,
MinimumConnectivity,1214.184729435807,LeastConnectedFirst,773.7119330126028,ConstrainedRandomWalk,1213.9753015784365,
MinimumConnectivity,1270.2788534577523,LeastConnectedFirst,950.1519642225804,ConstrainedRandomWalk,1269.80126616669,
MinimumConnectivity,1275.951041083122,LeastConnectedFirst,782.5701217927453,ConstrainedRandomWalk,1271.1684529504507,
MinimumConnectivity,1268.6517944450502,LeastConnectedFirst,725.9473198825345,ConstrainedRandomWalk,1266.4276023917757,
MinimumConnectivity,1228.0579880149191,LeastConnectedFirst,743.7741203077605,ConstrainedRandomWalk,1228.0249959985547,
MinimumConnectivity,1200.2548809391626,LeastConnectedFirst,658.8118156516625,ConstrainedRandomWalk,1198.509106095692,
MinimumConnectivity,1183.8533618291542,LeastConnectedFirst,635.4479206806387,ConstrainedRandomWalk,1207.9017526359412,
MinimumConnectivity,1354.5986637886301,LeastConnectedFirst,834.4634650251143,ConstrainedRandomWalk,1352.8988519737227,
MinimumConnectivity,1324.5230084412829,LeastConnectedFirst,810.4754868833891,ConstrainedRandomWalk,1324.766320356701,
MinimumConnectivity,1190.9705083256235,LeastConnectedFirst,847.9622992609275,ConstrainedRandomWalk,1190.679412252604,
MinimumConnectivity,1252.8832790512324,LeastConnectedFirst,772.913307732769,ConstrainedRandomWalk,1252.63895776275,
MinimumConnectivity,1330.8819891066355,LeastConnectedFirst,750.3530546516355,ConstrainedRandomWalk,1330.8718102450869,
MinimumConnectivity,1205.2782570212084,LeastConnectedFirst,580.1830252685496,ConstrainedRandomWalk,1205.1393161893334,
MinimumConnectivity,1257.3660641863014,LeastConnectedFirst,762.9712402400911,ConstrainedRandomWalk,1254.541182762318,
MinimumConnectivity,1233.654251957366,LeastConnectedFirst,795.1065685692826,ConstrainedRandomWalk,1233.156805110738,
MinimumConnectivity,1199.2746397988365,LeastConnectedFirst,826.1068380110789,ConstrainedRandomWalk,1199.150701097106,
MinimumConnectivity,1250.7540008767526,LeastConnectedFirst,896.4488554752681,ConstrainedRandomWalk,1250.4358255737545,
MinimumConnectivity,1232.8745038447082,LeastConnectedFirst,765.9648527540719,ConstrainedRandomWalk,1230.798653099646,
MinimumConnectivity,1290.9963120917985,LeastConnectedFirst,821.822826161581,ConstrainedRandomWalk,1291.858824035732,
MinimumConnectivity,1210.5488946916084,LeastConnectedFirst,765.3767492047305,ConstrainedRandomWalk,1210.4097459448453,
MinimumConnectivity,1155.574930074982,LeastConnectedFirst,749.4527869701759,ConstrainedRandomWalk,1154.2441897966276,
MinimumConnectivity,1296.1729659728865,LeastConnectedFirst,1025.9184909608446,ConstrainedRandomWalk,1292.6982198573578,
MinimumConnectivity,1229.008943896429,LeastConnectedFirst,822.1195693855326,ConstrainedRandomWalk,1225.9716757563563,
MinimumConnectivity,1239.2889144422982,LeastConnectedFirst,661.238373889512,ConstrainedRandomWalk,1237.5052288598677,
MinimumConnectivity,1268.0393719573945,LeastConnectedFirst,757.862444434102,ConstrainedRandomWalk,1264.9027063091157,
MinimumConnectivity,1144.539343748466,LeastConnectedFirst,572.862454413965,ConstrainedRandomWalk,1145.7220813114209,
MinimumConnectivity,1266.1462582042918,LeastConnectedFirst,794.528860598917,ConstrainedRandomWalk,1264.6659888017837,
MinimumConnectivity,1323.5607804286933,LeastConnectedFirst,831.505805845089,ConstrainedRandomWalk,1323.317884128743,
MinimumConnectivity,1234.299644379002,LeastConnectedFirst,828.2749781206808,ConstrainedRandomWalk,1232.1203846438332,
MinimumConnectivity,1243.8312183259065,LeastConnectedFirst,722.7284031652495,ConstrainedRandomWalk,1239.4218229623207,
MinimumConnectivity,1231.7555782522968,LeastConnectedFirst,755.7910867935275,ConstrainedRandomWalk,1229.8470989307168,
MinimumConnectivity,1205.2590857471591,LeastConnectedFirst,601.2885317467302,ConstrainedRandomWalk,1229.481989967137,
MinimumConnectivity,1243.410876713468,LeastConnectedFirst,711.7340203230453,ConstrainedRandomWalk,1242.820654505761,
MinimumConnectivity,1267.3799035990983,LeastConnectedFirst,788.5327041338808,ConstrainedRandomWalk,1267.31316040509,
MinimumConnectivity,1288.0730055425774,LeastConnectedFirst,849.3828516437345,ConstrainedRandomWalk,1285.5999627563256,
MinimumConnectivity,1211.872081722704,LeastConnectedFirst,681.3288631459533,ConstrainedRandomWalk,1210.3559704871752,
MinimumConnectivity,1279.982171563653,LeastConnectedFirst,668.0065263438958,ConstrainedRandomWalk,1279.3211378528358,
MinimumConnectivity,1253.929504383137,LeastConnectedFirst,752.9816707458365,ConstrainedRandomWalk,1253.774920739707,
MinimumConnectivity,1195.6625299832547,LeastConnectedFirst,729.6269455013457,ConstrainedRandomWalk,1193.129332540476,
MinimumConnectivity,1328.8049840416695,LeastConnectedFirst,908.3839702804471,ConstrainedRandomWalk,1329.3935783025252,
MinimumConnectivity,1309.3492891899396,LeastConnectedFirst,854.0094203223598,ConstrainedRandomWalk,1308.368112733156,
MinimumConnectivity,1243.0467125613904,LeastConnectedFirst,704.3544851866009,ConstrainedRandomWalk,1242.0201543514718,
MinimumConnectivity,1290.646443347337,LeastConnectedFirst,760.0505341594944,ConstrainedRandomWalk,1290.114414706391,
MinimumConnectivity,1288.7673340824272,LeastConnectedFirst,731.8087610828084,ConstrainedRandomWalk,1278.880622785526,
MinimumConnectivity,1226.1110600884608,LeastConnectedFirst,784.9935621347341,ConstrainedRandomWalk,1224.010741005479,
MinimumConnectivity,1169.0394807629696,LeastConnectedFirst,646.6915051208102,ConstrainedRandomWalk,1168.8361224907005,
MinimumConnectivity,1243.9117642904334,LeastConnectedFirst,934.5990676886564,ConstrainedRandomWalk,1243.882453486503,
MinimumConnectivity,1223.998667197757,LeastConnectedFirst,723.3393264819246,ConstrainedRandomWalk,1223.8243696814397,
MinimumConnectivity,1238.014091129286,LeastConnectedFirst,858.6264616303021,ConstrainedRandomWalk,1236.7357432470012,
MinimumConnectivity,1409.7615534635506,LeastConnectedFirst,731.8267330502832,ConstrainedRandomWalk,1409.4593902354982,
MinimumConnectivity,1197.6384520628208,LeastConnectedFirst,816.8830796803471,ConstrainedRandomWalk,1196.7137489905024,
MinimumConnectivity,1313.8550325728195,LeastConnectedFirst,846.7432517097635,ConstrainedRandomWalk,1312.2060784563007,
MinimumConnectivity,1275.6313045649374,LeastConnectedFirst,673.3787333492743,ConstrainedRandomWalk,1275.5901428836244,
MinimumConnectivity,1272.695276054727,LeastConnectedFirst,888.1458015424283,ConstrainedRandomWalk,1271.89017484435,
MinimumConnectivity,1277.270936283912,LeastConnectedFirst,904.2163932545174,ConstrainedRandomWalk,1274.509094434356,
MinimumConnectivity,1267.0541196146303,LeastConnectedFirst,599.8700667426347,ConstrainedRandomWalk,1266.4715241491576,
MinimumConnectivity,1250.2971963356524,LeastConnectedFirst,866.5139614096424,ConstrainedRandomWalk,1249.8381956387177,
MinimumConnectivity,1245.9020235512844,LeastConnectedFirst,766.1371664288774,ConstrainedRandomWalk,1256.2474835587177,
MinimumConnectivity,1232.3645216083291,LeastConnectedFirst,554.6697908387436,ConstrainedRandomWalk,1225.5237202587919,
