[100, [RandomSet,1], [ConstrainedRandomWalk,1][LeastConnectedFirst,1][BacktrackPath,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][FixedStartRandomWalk,1][LowEdgeCost,1][RandomWalk,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,fixed}, {EdgeTraversalDecrement,0}]
hRandomSet,Cost, 30.0, Score, 22.644000000000005,sConstrainedRandomWalk,Cost, 595.3, Score, -20.173333333333332, PathLength, 59.0,sLeastConnectedFirst,Cost, 459.6, Score, -15.653333333333338, PathLength, 45.0,sBacktrackPath,Cost, 554.7, Score, -18.823333333333327, PathLength, 55.0,sBreadthFirstSearch,Cost, 1102.1, Score, -37.06333333333334, PathLength, 110.0,sBreadthFirstSearchLowCost,Cost, 1239.7, Score, -41.653333333333336, PathLength, 123.0,sFixedStartRandomWalk,Cost, 520.2, Score, -17.66333333333334, PathLength, 52.0,sLowEdgeCost,Cost, 579.4, Score, -19.640000000000008, PathLength, 57.0,sRandomWalk,Cost, 563.8, Score, -19.12, PathLength, 56.0,sDepthFirstSearch,Cost, 554.4, Score, -18.810000000000006, PathLength, 55.0,sDepthFirstSearchLowCost,Cost, 525.4, Score, -17.840000000000003, PathLength, 52.0,
hRandomSet,Cost, 62.5, Score, 31.957000000000008,sConstrainedRandomWalk,Cost, 839.0, Score, -28.299999999999997, PathLength, 83.0,sLeastConnectedFirst,Cost, 679.7, Score, -22.99000000000001, PathLength, 67.0,sBacktrackPath,Cost, 789.5, Score, -26.65, PathLength, 78.0,sBreadthFirstSearch,Cost, 1671.9, Score, -56.06333333333335, PathLength, 167.0,sBreadthFirstSearchLowCost,Cost, 1682.1, Score, -56.40333333333333, PathLength, 168.0,sFixedStartRandomWalk,Cost, 733.4, Score, -24.78000000000001, PathLength, 73.0,sLowEdgeCost,Cost, 802.1, Score, -27.070000000000004, PathLength, 80.0,sRandomWalk,Cost, 838.9, Score, -28.29666666666667, PathLength, 83.0,sDepthFirstSearch,Cost, 725.4, Score, -24.513333333333335, PathLength, 72.0,sDepthFirstSearchLowCost,Cost, 725.1, Score, -24.50333333333333, PathLength, 72.0,
hRandomSet,Cost, 83.2, Score, 35.922666666666665,sConstrainedRandomWalk,Cost, 925.7, Score, -31.190000000000012, PathLength, 92.0,sLeastConnectedFirst,Cost, 809.5, Score, -27.316666666666674, PathLength, 80.0,sBacktrackPath,Cost, 862.1, Score, -29.069999999999986, PathLength, 86.0,sBreadthFirstSearch,Cost, 1886.7, Score, -63.223333333333336, PathLength, 188.0,sBreadthFirstSearchLowCost,Cost, 1901.7, Score, -63.72333333333333, PathLength, 190.0,sFixedStartRandomWalk,Cost, 870.0, Score, -29.333333333333325, PathLength, 87.0,sLowEdgeCost,Cost, 810.1, Score, -27.336666666666666, PathLength, 81.0,sRandomWalk,Cost, 951.7, Score, -32.056666666666665, PathLength, 95.0,sDepthFirstSearch,Cost, 822.5, Score, -27.750000000000004, PathLength, 82.0,sDepthFirstSearchLowCost,Cost, 836.8, Score, -28.226666666666674, PathLength, 83.0,
hRandomSet,Cost, 110.6, Score, 41.20466666666668,sConstrainedRandomWalk,Cost, 1158.8, Score, -38.96, PathLength, 115.0,sLeastConnectedFirst,Cost, 893.5, Score, -30.116666666666664, PathLength, 89.0,sBacktrackPath,Cost, 907.1, Score, -30.570000000000004, PathLength, 90.0,sBreadthFirstSearch,Cost, 2191.8, Score, -73.39333333333335, PathLength, 219.0,sBreadthFirstSearchLowCost,Cost, 2067.2, Score, -69.24000000000002, PathLength, 206.0,sFixedStartRandomWalk,Cost, 963.1, Score, -32.43666666666667, PathLength, 96.0,sLowEdgeCost,Cost, 1002.9, Score, -33.763333333333335, PathLength, 100.0,sRandomWalk,Cost, 1267.4, Score, -42.58000000000001, PathLength, 126.0,sDepthFirstSearch,Cost, 897.6, Score, -30.253333333333348, PathLength, 89.0,sDepthFirstSearchLowCost,Cost, 912.0, Score, -30.733333333333334, PathLength, 91.0,
hRandomSet,Cost, 139.4, Score, 41.94499999999998,sConstrainedRandomWalk,Cost, 1163.6, Score, -39.12, PathLength, 116.0,sLeastConnectedFirst,Cost, 857.5, Score, -28.91666666666665, PathLength, 85.0,sBacktrackPath,Cost, 995.5, Score, -33.51666666666668, PathLength, 99.0,sBreadthFirstSearch,Cost, 2169.9, Score, -72.66333333333331, PathLength, 216.0,sBreadthFirstSearchLowCost,Cost, 2107.4, Score, -70.58, PathLength, 210.0,sFixedStartRandomWalk,Cost, 1033.8, Score, -34.79333333333334, PathLength, 103.0,sLowEdgeCost,Cost, 1046.1, Score, -35.20333333333335, PathLength, 104.0,sRandomWalk,Cost, 1084.3, Score, -36.476666666666674, PathLength, 108.0,sDepthFirstSearch,Cost, 996.6, Score, -33.55333333333333, PathLength, 99.0,sDepthFirstSearchLowCost,Cost, 1028.8, Score, -34.62666666666666, PathLength, 102.0,
hRandomSet,Cost, 162.2, Score, 43.48400000000001,sConstrainedRandomWalk,Cost, 1146.3, Score, -38.54333333333333, PathLength, 114.0,sLeastConnectedFirst,Cost, 874.1, Score, -29.470000000000006, PathLength, 87.0,sBacktrackPath,Cost, 1052.4, Score, -35.41333333333333, PathLength, 105.0,sBreadthFirstSearch,Cost, 2325.7, Score, -77.85666666666665, PathLength, 232.0,sBreadthFirstSearchLowCost,Cost, 2358.2, Score, -78.94, PathLength, 235.0,sFixedStartRandomWalk,Cost, 1065.8, Score, -35.859999999999985, PathLength, 106.0,sLowEdgeCost,Cost, 1068.4, Score, -35.94666666666667, PathLength, 106.0,sRandomWalk,Cost, 1085.0, Score, -36.5, PathLength, 108.0,sDepthFirstSearch,Cost, 985.3, Score, -33.17666666666668, PathLength, 98.0,sDepthFirstSearchLowCost,Cost, 984.0, Score, -33.13333333333333, PathLength, 98.0,
hRandomSet,Cost, 186.2, Score, 49.79399999999999,sConstrainedRandomWalk,Cost, 1275.6, Score, -42.85333333333334, PathLength, 127.0,sLeastConnectedFirst,Cost, 901.1, Score, -30.370000000000005, PathLength, 90.0,sBacktrackPath,Cost, 1313.7, Score, -44.12333333333332, PathLength, 131.0,sBreadthFirstSearch,Cost, 2597.0, Score, -86.9, PathLength, 259.0,sBreadthFirstSearchLowCost,Cost, 2562.4, Score, -85.74666666666668, PathLength, 256.0,sFixedStartRandomWalk,Cost, 1298.8, Score, -43.62666666666668, PathLength, 129.0,sLowEdgeCost,Cost, 1241.0, Score, -41.70000000000001, PathLength, 124.0,sRandomWalk,Cost, 1272.9, Score, -42.76333333333332, PathLength, 127.0,sDepthFirstSearch,Cost, 1199.8, Score, -40.32666666666667, PathLength, 119.0,sDepthFirstSearchLowCost,Cost, 1175.9, Score, -39.530000000000015, PathLength, 117.0,
hRandomSet,Cost, 211.4, Score, 47.01566666666665,sConstrainedRandomWalk,Cost, 1216.7, Score, -40.88999999999999, PathLength, 121.0,sLeastConnectedFirst,Cost, 981.9, Score, -33.063333333333325, PathLength, 98.0,sBacktrackPath,Cost, 1144.2, Score, -38.47333333333333, PathLength, 114.0,sBreadthFirstSearch,Cost, 2519.5, Score, -84.31666666666666, PathLength, 251.0,sBreadthFirstSearchLowCost,Cost, 2409.0, Score, -80.63333333333335, PathLength, 240.0,sFixedStartRandomWalk,Cost, 1189.5, Score, -39.98333333333334, PathLength, 118.0,sLowEdgeCost,Cost, 1183.3, Score, -39.77666666666667, PathLength, 118.0,sRandomWalk,Cost, 1172.3, Score, -39.41, PathLength, 117.0,sDepthFirstSearch,Cost, 1109.4, Score, -37.31333333333335, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 1078.9, Score, -36.29666666666665, PathLength, 107.0,
hRandomSet,Cost, 234.1, Score, 52.37799999999999,sConstrainedRandomWalk,Cost, 1281.1, Score, -43.03666666666667, PathLength, 128.0,sLeastConnectedFirst,Cost, 970.8, Score, -32.69333333333334, PathLength, 97.0,sBacktrackPath,Cost, 1414.9, Score, -47.49666666666667, PathLength, 141.0,sBreadthFirstSearch,Cost, 2760.3, Score, -92.3433333333333, PathLength, 276.0,sBreadthFirstSearchLowCost,Cost, 2742.9, Score, -91.76333333333336, PathLength, 274.0,sFixedStartRandomWalk,Cost, 1297.9, Score, -43.59666666666667, PathLength, 129.0,sLowEdgeCost,Cost, 1356.7, Score, -45.55666666666666, PathLength, 135.0,sRandomWalk,Cost, 1347.7, Score, -45.25666666666666, PathLength, 134.0,sDepthFirstSearch,Cost, 1240.7, Score, -41.69000000000001, PathLength, 124.0,sDepthFirstSearchLowCost,Cost, 1200.4, Score, -40.34666666666667, PathLength, 120.0,
hRandomSet,Cost, 260.4, Score, 49.26066666666666,sConstrainedRandomWalk,Cost, 1265.4, Score, -42.51333333333332, PathLength, 126.0,sLeastConnectedFirst,Cost, 934.1, Score, -31.470000000000006, PathLength, 93.0,sBacktrackPath,Cost, 1228.8, Score, -41.29333333333333, PathLength, 122.0,sBreadthFirstSearch,Cost, 2535.7, Score, -84.8566666666667, PathLength, 253.0,sBreadthFirstSearchLowCost,Cost, 2560.8, Score, -85.69333333333334, PathLength, 256.0,sFixedStartRandomWalk,Cost, 1209.5, Score, -40.650000000000006, PathLength, 120.0,sLowEdgeCost,Cost, 1270.9, Score, -42.69666666666667, PathLength, 127.0,sRandomWalk,Cost, 1251.0, Score, -42.033333333333324, PathLength, 125.0,sDepthFirstSearch,Cost, 1216.4, Score, -40.88, PathLength, 121.0,sDepthFirstSearchLowCost,Cost, 1205.6, Score, -40.52, PathLength, 120.0,
hRandomSet,Cost, 291.1, Score, 53.84899999999999,sConstrainedRandomWalk,Cost, 1506.0, Score, -50.53333333333333, PathLength, 150.0,sLeastConnectedFirst,Cost, 1038.7, Score, -34.95666666666666, PathLength, 103.0,sBacktrackPath,Cost, 1347.4, Score, -45.24666666666667, PathLength, 134.0,sBreadthFirstSearch,Cost, 2835.3, Score, -94.84333333333332, PathLength, 283.0,sBreadthFirstSearchLowCost,Cost, 2862.9, Score, -95.76333333333334, PathLength, 286.0,sFixedStartRandomWalk,Cost, 1349.5, Score, -45.31666666666666, PathLength, 134.0,sLowEdgeCost,Cost, 1414.6, Score, -47.48666666666668, PathLength, 141.0,sRandomWalk,Cost, 1321.9, Score, -44.39666666666667, PathLength, 132.0,sDepthFirstSearch,Cost, 1182.2, Score, -39.74, PathLength, 118.0,sDepthFirstSearchLowCost,Cost, 1196.2, Score, -40.20666666666666, PathLength, 119.0,
hRandomSet,Cost, 307.1, Score, 54.06999999999999,sConstrainedRandomWalk,Cost, 1467.7, Score, -49.25666666666669, PathLength, 146.0,sLeastConnectedFirst,Cost, 1010.4, Score, -34.01333333333334, PathLength, 101.0,sBacktrackPath,Cost, 1278.7, Score, -42.95666666666666, PathLength, 127.0,sBreadthFirstSearch,Cost, 2910.9, Score, -97.36333333333334, PathLength, 291.0,sBreadthFirstSearchLowCost,Cost, 2851.0, Score, -95.36666666666666, PathLength, 285.0,sFixedStartRandomWalk,Cost, 1483.1, Score, -49.77000000000001, PathLength, 148.0,sLowEdgeCost,Cost, 1296.8, Score, -43.55999999999999, PathLength, 129.0,sRandomWalk,Cost, 1477.5, Score, -49.58333333333335, PathLength, 147.0,sDepthFirstSearch,Cost, 1179.4, Score, -39.646666666666675, PathLength, 117.0,sDepthFirstSearchLowCost,Cost, 1165.5, Score, -39.18333333333332, PathLength, 116.0,
hRandomSet,Cost, 321.1, Score, 55.2686666666667,sConstrainedRandomWalk,Cost, 1369.1, Score, -45.96999999999999, PathLength, 136.0,sLeastConnectedFirst,Cost, 1017.4, Score, -34.246666666666655, PathLength, 101.0,sBacktrackPath,Cost, 1606.7, Score, -53.89, PathLength, 160.0,sBreadthFirstSearch,Cost, 2856.6, Score, -95.5533333333333, PathLength, 285.0,sBreadthFirstSearchLowCost,Cost, 2882.4, Score, -96.41333333333336, PathLength, 288.0,sFixedStartRandomWalk,Cost, 1350.3, Score, -45.34333333333334, PathLength, 135.0,sLowEdgeCost,Cost, 1375.8, Score, -46.19333333333333, PathLength, 137.0,sRandomWalk,Cost, 1397.8, Score, -46.92666666666667, PathLength, 139.0,sDepthFirstSearch,Cost, 1315.4, Score, -44.17999999999998, PathLength, 131.0,sDepthFirstSearchLowCost,Cost, 1309.1, Score, -43.970000000000006, PathLength, 130.0,
hRandomSet,Cost, 352.2, Score, 54.6613333333333,sConstrainedRandomWalk,Cost, 1422.6, Score, -47.75333333333333, PathLength, 142.0,sLeastConnectedFirst,Cost, 1014.2, Score, -34.140000000000015, PathLength, 101.0,sBacktrackPath,Cost, 1400.1, Score, -47.00333333333334, PathLength, 140.0,sBreadthFirstSearch,Cost, 2851.4, Score, -95.38000000000002, PathLength, 285.0,sBreadthFirstSearchLowCost,Cost, 2796.0, Score, -93.53333333333336, PathLength, 279.0,sFixedStartRandomWalk,Cost, 1386.5, Score, -46.55, PathLength, 138.0,sLowEdgeCost,Cost, 1359.2, Score, -45.64000000000001, PathLength, 135.0,sRandomWalk,Cost, 1575.3, Score, -52.84333333333332, PathLength, 157.0,sDepthFirstSearch,Cost, 1229.3, Score, -41.31, PathLength, 122.0,sDepthFirstSearchLowCost,Cost, 1263.8, Score, -42.46000000000001, PathLength, 126.0,
hRandomSet,Cost, 377.0, Score, 53.65433333333333,sConstrainedRandomWalk,Cost, 1277.8, Score, -42.92666666666665, PathLength, 127.0,sLeastConnectedFirst,Cost, 1031.8, Score, -34.72666666666667, PathLength, 103.0,sBacktrackPath,Cost, 1393.3, Score, -46.776666666666664, PathLength, 139.0,sBreadthFirstSearch,Cost, 2781.8, Score, -93.06, PathLength, 278.0,sBreadthFirstSearchLowCost,Cost, 2871.3, Score, -96.04333333333338, PathLength, 287.0,sFixedStartRandomWalk,Cost, 1342.2, Score, -45.07333333333333, PathLength, 134.0,sLowEdgeCost,Cost, 1368.3, Score, -45.94333333333334, PathLength, 136.0,sRandomWalk,Cost, 1359.0, Score, -45.63333333333332, PathLength, 135.0,sDepthFirstSearch,Cost, 1292.7, Score, -43.42333333333334, PathLength, 129.0,sDepthFirstSearchLowCost,Cost, 1278.1, Score, -42.93666666666667, PathLength, 127.0,
