[100, [RandomSet,1][RandomDirection,1][Random,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [RandomWalk,1][ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][OptimalBacktrackPath,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,1000}, {EdgeWeight,100.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}]
hRandomSet,Cost, 102.12633158411145, Score, 24.924166666666682,sRandomWalk,Cost, 2820.4611991947486, Score, -18.807666666666652, PathLength, 55.0,sConstrainedRandomWalk,Cost, 2900.0354342134224, Score, -19.320333333333334, PathLength, 56.0,sLowEdgeCost,Cost, 1593.008175023714, Score, -18.466666666666686, PathLength, 54.0,sDepthFirstSearch,Cost, 2772.1743301713914, Score, -19.108333333333327, PathLength, 56.0,sDepthFirstSearchLowCost,Cost, 1479.2610180709655, Score, -17.93399999999999, PathLength, 52.0,sBreadthFirstSearch,Cost, 3977.0138949356556, Score, -48.856000000000016, PathLength, 145.0,sBreadthFirstSearchLowCost,Cost, 3605.4904801106914, Score, -45.55933333333338, PathLength, 135.0,sBacktrackPath,Cost, 2150.6041625416715, Score, -24.939666666666685, PathLength, 73.0,sVariableBacktrackPath,Cost, 1673.4064672921777, Score, -19.017333333333323, PathLength, 56.0,sLeastConnectedFirst,Cost, 2482.995488820197, Score, -17.23233333333332, PathLength, 50.0,
hRandomDirection,Cost, 0.0, Score, 24.951766666666657,sRandomWalk,Cost, 2872.380785724628, Score, -19.189666666666668, PathLength, 56.0,sConstrainedRandomWalk,Cost, 2868.707538100811, Score, -19.069999999999997, PathLength, 56.0,sLowEdgeCost,Cost, 1699.6595075783637, Score, -19.34366666666664, PathLength, 57.0,sDepthFirstSearch,Cost, 2767.9259159178605, Score, -19.14866666666668, PathLength, 56.0,sDepthFirstSearchLowCost,Cost, 1542.9529739507605, Score, -18.42933333333334, PathLength, 54.0,sBreadthFirstSearch,Cost, 3873.6110084167867, Score, -47.468999999999994, PathLength, 141.0,sBreadthFirstSearchLowCost,Cost, 3620.6008292141605, Score, -45.62633333333329, PathLength, 135.0,sBacktrackPath,Cost, 2048.0906213237286, Score, -24.069666666666695, PathLength, 71.0,sVariableBacktrackPath,Cost, 1731.1709521060627, Score, -19.79800000000001, PathLength, 58.0,sLeastConnectedFirst,Cost, 2500.0880158559403, Score, -17.373333333333314, PathLength, 51.0,
hRandom,Cost, 51.153232358960295, Score, 23.60823333333333,sRandomWalk,Cost, 2682.655052919856, Score, -17.927333333333326, PathLength, 52.0,sConstrainedRandomWalk,Cost, 2686.1184090389115, Score, -17.919000000000025, PathLength, 52.0,sLowEdgeCost,Cost, 1555.3004517326365, Score, -18.296999999999993, PathLength, 53.0,sDepthFirstSearch,Cost, 2608.713970951093, Score, -17.971000000000025, PathLength, 52.0,sDepthFirstSearchLowCost,Cost, 1505.5739697421413, Score, -18.09499999999998, PathLength, 53.0,sBreadthFirstSearch,Cost, 3498.5361351938495, Score, -42.89000000000005, PathLength, 127.0,sBreadthFirstSearchLowCost,Cost, 3423.9941166649105, Score, -43.34166666666666, PathLength, 129.0,sBacktrackPath,Cost, 1975.245153941034, Score, -23.65699999999999, PathLength, 69.0,sVariableBacktrackPath,Cost, 1526.8302661194975, Score, -18.084333333333333, PathLength, 53.0,sLeastConnectedFirst,Cost, 2577.343175573392, Score, -17.900000000000023, PathLength, 52.0,
hRandomFixedDistance,Cost, 102.21229881546289, Score, 21.954399999999982,sRandomWalk,Cost, 2610.243900479024, Score, -17.39033333333331, PathLength, 51.0,sConstrainedRandomWalk,Cost, 2515.174055750167, Score, -16.81166666666668, PathLength, 49.0,sLowEdgeCost,Cost, 1346.1802126241855, Score, -16.48566666666668, PathLength, 48.0,sDepthFirstSearch,Cost, 2448.1115611729856, Score, -16.84766666666665, PathLength, 49.0,sDepthFirstSearchLowCost,Cost, 1350.832592535712, Score, -16.72833333333335, PathLength, 49.0,sBreadthFirstSearch,Cost, 3239.4375542089515, Score, -39.6533333333333, PathLength, 117.0,sBreadthFirstSearchLowCost,Cost, 2964.6993383369427, Score, -37.5966666666667, PathLength, 111.0,sBacktrackPath,Cost, 1731.835246081424, Score, -21.445666666666657, PathLength, 63.0,sVariableBacktrackPath,Cost, 1392.0610616601418, Score, -16.854666666666652, PathLength, 49.0,sLeastConnectedFirst,Cost, 2848.316269735516, Score, -19.730000000000008, PathLength, 58.0,
hLowEdgeCostRandomFixedDistance,Cost, 0.0, Score, 25.13663333333336,sRandomWalk,Cost, 2990.0554431967785, Score, -19.98566666666664, PathLength, 58.0,sConstrainedRandomWalk,Cost, 2820.4857239409753, Score, -18.808999999999987, PathLength, 55.0,sLowEdgeCost,Cost, 1671.8674565721535, Score, -19.227000000000015, PathLength, 56.0,sDepthFirstSearch,Cost, 2705.6906496366955, Score, -18.633000000000006, PathLength, 54.0,sDepthFirstSearchLowCost,Cost, 1596.9508841318766, Score, -19.11633333333331, PathLength, 56.0,sBreadthFirstSearch,Cost, 3881.437283699303, Score, -47.47333333333336, PathLength, 141.0,sBreadthFirstSearchLowCost,Cost, 3761.6553171966216, Score, -47.405666666666605, PathLength, 141.0,sBacktrackPath,Cost, 2110.858076237719, Score, -24.77533333333333, PathLength, 73.0,sVariableBacktrackPath,Cost, 1655.0894502172825, Score, -19.133333333333336, PathLength, 56.0,sLeastConnectedFirst,Cost, 2419.994061960843, Score, -16.807666666666652, PathLength, 49.0,
hMinimumConnectivity,Cost, 1855.316591288312, Score, 46.118500000000004,sRandomWalk,Cost, 4887.234298695303, Score, -32.30166666666668, PathLength, 95.0,sConstrainedRandomWalk,Cost, 4962.927684328729, Score, -32.83933333333332, PathLength, 97.0,sLowEdgeCost,Cost, 3970.215357990953, Score, -35.55699999999999, PathLength, 105.0,sDepthFirstSearch,Cost, 3600.128428756678, Score, -25.10466666666665, PathLength, 74.0,sDepthFirstSearchLowCost,Cost, 2291.365987280013, Score, -25.39866666666665, PathLength, 75.0,sBreadthFirstSearch,Cost, 9018.347455961137, Score, -111.1716666666664, PathLength, 332.0,sBreadthFirstSearchLowCost,Cost, 8353.460174310392, Score, -106.0700000000001, PathLength, 317.0,sBacktrackPath,Cost, 4687.30842273486, Score, -44.5893333333333, PathLength, 132.0,sVariableBacktrackPath,Cost, 3563.261109184858, Score, -33.54133333333336, PathLength, 99.0,sLeastConnectedFirst,Cost, 2079.9381590519843, Score, -14.611333333333324, PathLength, 42.0,
hMaxDistance,Cost, 0.0, Score, 24.87429999999999,sRandomWalk,Cost, 2886.3705000952227, Score, -19.18766666666666, PathLength, 56.0,sConstrainedRandomWalk,Cost, 2828.6485404032824, Score, -18.869000000000007, PathLength, 55.0,sLowEdgeCost,Cost, 1726.4333022161077, Score, -19.715999999999983, PathLength, 58.0,sDepthFirstSearch,Cost, 2707.121759396536, Score, -18.694999999999993, PathLength, 55.0,sDepthFirstSearchLowCost,Cost, 1641.1658866695714, Score, -19.402333333333313, PathLength, 57.0,sBreadthFirstSearch,Cost, 3740.5909564861518, Score, -45.8816666666667, PathLength, 136.0,sBreadthFirstSearchLowCost,Cost, 3543.2839929481256, Score, -44.95199999999999, PathLength, 133.0,sBacktrackPath,Cost, 2192.3126873396795, Score, -25.33300000000002, PathLength, 75.0,sVariableBacktrackPath,Cost, 1705.0691814530758, Score, -19.760666666666687, PathLength, 58.0,sLeastConnectedFirst,Cost, 2439.2491926092403, Score, -16.945666666666682, PathLength, 49.0,
hRandomSet,Cost, 176.04704619981874, Score, 37.332766666666636,sRandomWalk,Cost, 3871.2084700115033, Score, -26.98433333333334, PathLength, 79.0,sConstrainedRandomWalk,Cost, 3960.4540334175576, Score, -27.728000000000016, PathLength, 82.0,sLowEdgeCost,Cost, 2211.9983764202343, Score, -25.51166666666668, PathLength, 75.0,sDepthFirstSearch,Cost, 3438.76997434945, Score, -25.952333333333304, PathLength, 76.0,sDepthFirstSearchLowCost,Cost, 1989.9136324725325, Score, -24.413333333333316, PathLength, 72.0,sBreadthFirstSearch,Cost, 5222.247709646655, Score, -77.52733333333332, PathLength, 231.0,sBreadthFirstSearchLowCost,Cost, 4928.511048899194, Score, -73.77200000000006, PathLength, 220.0,sBacktrackPath,Cost, 3394.3097513089033, Score, -40.39500000000007, PathLength, 120.0,sVariableBacktrackPath,Cost, 2528.49001766552, Score, -28.017666666666656, PathLength, 83.0,sLeastConnectedFirst,Cost, 3214.210324773465, Score, -23.026000000000003, PathLength, 68.0,
hRandomDirection,Cost, 48.346900026523045, Score, 33.14166666666669,sRandomWalk,Cost, 3442.738666487047, Score, -24.076, PathLength, 71.0,sConstrainedRandomWalk,Cost, 3525.93718569182, Score, -24.58399999999998, PathLength, 72.0,sLowEdgeCost,Cost, 1901.0190347418434, Score, -22.622999999999987, PathLength, 66.0,sDepthFirstSearch,Cost, 3061.6976522657596, Score, -23.141666666666648, PathLength, 68.0,sDepthFirstSearchLowCost,Cost, 1755.3585614018068, Score, -22.043333333333326, PathLength, 65.0,sBreadthFirstSearch,Cost, 4609.142339484859, Score, -67.81366666666656, PathLength, 202.0,sBreadthFirstSearchLowCost,Cost, 4229.024146945882, Score, -63.36033333333332, PathLength, 189.0,sBacktrackPath,Cost, 3014.714389206119, Score, -36.322000000000024, PathLength, 107.0,sVariableBacktrackPath,Cost, 2193.713808269894, Score, -24.968999999999998, PathLength, 73.0,sLeastConnectedFirst,Cost, 3146.78560939355, Score, -22.483666666666668, PathLength, 66.0,
hRandom,Cost, 144.41479689518778, Score, 32.44873333333333,sRandomWalk,Cost, 3523.712241776235, Score, -24.59233333333334, PathLength, 72.0,sConstrainedRandomWalk,Cost, 3369.089344889824, Score, -23.51833333333331, PathLength, 69.0,sLowEdgeCost,Cost, 1969.3127158950506, Score, -23.255333333333322, PathLength, 68.0,sDepthFirstSearch,Cost, 2974.9622069071406, Score, -22.53866666666667, PathLength, 66.0,sDepthFirstSearchLowCost,Cost, 1752.30796589518, Score, -22.17066666666665, PathLength, 65.0,sBreadthFirstSearch,Cost, 4267.679962697196, Score, -62.99233333333338, PathLength, 187.0,sBreadthFirstSearchLowCost,Cost, 3985.699136422456, Score, -59.899000000000036, PathLength, 178.0,sBacktrackPath,Cost, 3023.7809202679728, Score, -36.97966666666664, PathLength, 109.0,sVariableBacktrackPath,Cost, 2193.5040459913266, Score, -25.08066666666669, PathLength, 74.0,sLeastConnectedFirst,Cost, 3278.8039930440877, Score, -23.460333333333327, PathLength, 69.0,
hRandomFixedDistance,Cost, 148.98007585595047, Score, 32.46570000000001,sRandomWalk,Cost, 3323.0766080152075, Score, -23.325000000000028, PathLength, 68.0,sConstrainedRandomWalk,Cost, 3276.387550780786, Score, -22.93833333333334, PathLength, 67.0,sLowEdgeCost,Cost, 1904.7029271459237, Score, -23.082666666666668, PathLength, 68.0,sDepthFirstSearch,Cost, 2984.348824618531, Score, -22.670000000000016, PathLength, 67.0,sDepthFirstSearchLowCost,Cost, 1799.0126827408494, Score, -22.691333333333336, PathLength, 67.0,sBreadthFirstSearch,Cost, 4417.0109351039, Score, -65.36633333333332, PathLength, 195.0,sBreadthFirstSearchLowCost,Cost, 4081.544303857487, Score, -61.517000000000024, PathLength, 183.0,sBacktrackPath,Cost, 2675.66414116642, Score, -34.28933333333333, PathLength, 101.0,sVariableBacktrackPath,Cost, 1974.737239678983, Score, -23.70666666666665, PathLength, 70.0,sLeastConnectedFirst,Cost, 3505.9194329021325, Score, -25.07033333333332, PathLength, 74.0,
