[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][VariableFixedDistance,1][LowEdgeCostVariableFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1][RandomVariableHidePotential,1], [DepthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}]
hRandom,Cost, 46.20779534242074, Score, 30.193333333333324,sDepthFirstSearchLowCost,Cost, 248.92779418929388, Score, -30.193333333333324, PathLength, 89.0,
hRandomDirection,Cost, 21.417835558011813, Score, 29.7,sDepthFirstSearchLowCost,Cost, 247.55985028090512, Score, -29.7, PathLength, 88.0,
hRandomSet,Cost, 49.5033661107403, Score, 31.803333333333338,sDepthFirstSearchLowCost,Cost, 271.12599184385795, Score, -31.803333333333338, PathLength, 94.0,
hRandomFixedDistance,Cost, 198.22355482380408, Score, 32.32666666666666,sDepthFirstSearchLowCost,Cost, 276.02849740079745, Score, -32.32666666666666, PathLength, 95.0,
hLowEdgeCostRandomFixedDistance,Cost, 96.28369038285446, Score, 24.799999999999997,sDepthFirstSearchLowCost,Cost, 191.20956456083465, Score, -24.799999999999997, PathLength, 73.0,
hVariableFixedDistance,Cost, 46.28482364757392, Score, 31.356666666666662,sDepthFirstSearchLowCost,Cost, 265.609679928902, Score, -31.356666666666662, PathLength, 93.0,
hLowEdgeCostVariableFixedDistance,Cost, 106.90138243702886, Score, 24.76666666666667,sDepthFirstSearchLowCost,Cost, 191.51856075060516, Score, -24.76666666666667, PathLength, 73.0,
hMinimumConnectivity,Cost, 18834.49347491328, Score, 36.92333333333333,sDepthFirstSearchLowCost,Cost, 332.32495277382935, Score, -36.92333333333333, PathLength, 109.0,
hMaxDistance,Cost, 2270.1653488784277, Score, 31.36999999999999,sDepthFirstSearchLowCost,Cost, 266.7496786573345, Score, -31.36999999999999, PathLength, 93.0,
hRandomVariableHidePotential,Cost, 48.36920737236125, Score, 29.730000000000004,sDepthFirstSearchLowCost,Cost, 246.31141304158945, Score, -29.730000000000004, PathLength, 88.0,
hRandom,Cost, 48.06255072379902, Score, 30.086666666666673,sDepthFirstSearchLowCost,Cost, 261.8009874648594, Score, -30.086666666666673, PathLength, 89.0,
hRandomDirection,Cost, 20.435173562125655, Score, 30.77,sDepthFirstSearchLowCost,Cost, 269.0609758993025, Score, -30.77, PathLength, 91.0,
