[1000, [MinimumConnectivity,1][RandomSet,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 3886.3939337500833, Score, 45.5,sDepthFirstSearchLowCost,Cost, 685.8805451808594, Score, -61.33333333333333, PathLength, 183.0,sLeastConnectedFirst,Cost, 443.770714056238, Score, -29.666666666666668, PathLength, 88.0,
hMinimumConnectivity,Cost, 2372.9273606387264, Score, 35.5,sDepthFirstSearchLowCost,Cost, 501.49000990956586, Score, -48.0, PathLength, 143.0,sLeastConnectedFirst,Cost, 325.53061347942344, Score, -23.0, PathLength, 68.0,
hRandomSet,Cost, 86.13302279524906, Score, 30.833333333333336,sDepthFirstSearchLowCost,Cost, 190.81461532029482, Score, -27.333333333333332, PathLength, 81.0,sLeastConnectedFirst,Cost, 490.9703978802821, Score, -34.333333333333336, PathLength, 102.0,
hMinimumConnectivity,Cost, 19090.425922201666, Score, 47.5,sDepthFirstSearchLowCost,Cost, 662.888361908927, Score, -62.0, PathLength, 185.0,sLeastConnectedFirst,Cost, 504.3303903522908, Score, -33.0, PathLength, 98.0,
hMinimumConnectivity,Cost, 9568.943412401293, Score, 34.83333333333333,sDepthFirstSearchLowCost,Cost, 443.3837167438583, Score, -46.666666666666664, PathLength, 139.0,sLeastConnectedFirst,Cost, 306.87923124495944, Score, -23.0, PathLength, 68.0,
hRandomSet,Cost, 285.32183547729545, Score, 39.166666666666664,sDepthFirstSearchLowCost,Cost, 493.8949748333863, Score, -46.33333333333333, PathLength, 138.0,sLeastConnectedFirst,Cost, 478.45241282296803, Score, -32.0, PathLength, 95.0,
hRandomSet,Cost, 193.09988560498772, Score, 34.5,sDepthFirstSearchLowCost,Cost, 253.22540540750182, Score, -32.0, PathLength, 95.0,sLeastConnectedFirst,Cost, 523.4953662532732, Score, -37.0, PathLength, 110.0,
hRandomSet,Cost, 242.56866816464407, Score, 29.333333333333336,sDepthFirstSearchLowCost,Cost, 319.687110995804, Score, -35.0, PathLength, 104.0,sLeastConnectedFirst,Cost, 334.51812399771296, Score, -23.666666666666668, PathLength, 70.0,
hRandomSet,Cost, 159.31810274448978, Score, 44.0,sDepthFirstSearchLowCost,Cost, 626.2106213253887, Score, -51.0, PathLength, 152.0,sLeastConnectedFirst,Cost, 631.3342461392007, Score, -37.0, PathLength, 110.0,
hMinimumConnectivity,Cost, 10294.364855486889, Score, 39.5,sDepthFirstSearchLowCost,Cost, 591.8291046102867, Score, -51.66666666666667, PathLength, 154.0,sLeastConnectedFirst,Cost, 422.6277524003154, Score, -27.333333333333332, PathLength, 81.0,
hMinimumConnectivity,Cost, 18801.883012368286, Score, 41.5,sDepthFirstSearchLowCost,Cost, 574.8265348871928, Score, -51.33333333333333, PathLength, 153.0,sLeastConnectedFirst,Cost, 443.9022966749764, Score, -31.666666666666664, PathLength, 94.0,
