[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 513.3997686573964, Score, 39.16666666666667,sDepthFirstSearchLowCost,Cost, 212.3379020418831, Score, -27.666666666666668, PathLength, 82.0,sMostConnectedFirst,Cost, 786.9268776174108, Score, -50.66666666666667, PathLength, 151.0,
hRandomSet,Cost, 236.55256717038313, Score, 30.666666666666664,sDepthFirstSearchLowCost,Cost, 330.93109563558016, Score, -32.33333333333333, PathLength, 96.0,sMostConnectedFirst,Cost, 409.04863402149135, Score, -28.999999999999996, PathLength, 86.0,
hMinimumConnectivity,Cost, 9003.952321228962, Score, 64.33333333333333,sDepthFirstSearchLowCost,Cost, 615.6224720202707, Score, -61.33333333333333, PathLength, 183.0,sMostConnectedFirst,Cost, 1142.1454218594622, Score, -67.33333333333333, PathLength, 201.0,
hRandomSet,Cost, 182.3991887927918, Score, 62.16666666666667,sDepthFirstSearchLowCost,Cost, 555.4179515305203, Score, -64.0, PathLength, 191.0,sMostConnectedFirst,Cost, 874.3040198048219, Score, -60.333333333333336, PathLength, 180.0,
hMinimumConnectivity,Cost, 5167.888784540938, Score, 60.5,sDepthFirstSearchLowCost,Cost, 322.4815583619471, Score, -34.0, PathLength, 101.0,sMostConnectedFirst,Cost, 1377.7858088837165, Score, -87.0, PathLength, 260.0,
hMinimumConnectivity,Cost, 12161.986996696385, Score, 60.166666666666664,sDepthFirstSearchLowCost,Cost, 191.4383362197994, Score, -26.333333333333332, PathLength, 78.0,sMostConnectedFirst,Cost, 1359.61169597695, Score, -94.0, PathLength, 281.0,
hRandomSet,Cost, 352.5653792815512, Score, 28.333333333333332,sDepthFirstSearchLowCost,Cost, 264.99883046752495, Score, -32.666666666666664, PathLength, 97.0,sMostConnectedFirst,Cost, 333.7020849929941, Score, -24.0, PathLength, 71.0,
hRandomSet,Cost, 326.32551625346986, Score, 42.666666666666664,sDepthFirstSearchLowCost,Cost, 486.1505535343, Score, -44.666666666666664, PathLength, 133.0,sMostConnectedFirst,Cost, 608.986718012699, Score, -40.666666666666664, PathLength, 121.0,
hRandomSet,Cost, 200.79385606252072, Score, 40.5,sDepthFirstSearchLowCost,Cost, 254.93585098905427, Score, -28.000000000000004, PathLength, 83.0,sMostConnectedFirst,Cost, 776.2961580896808, Score, -53.0, PathLength, 158.0,
hRandomSet,Cost, 478.47377365805147, Score, 31.0,sDepthFirstSearchLowCost,Cost, 250.32744381515536, Score, -29.333333333333332, PathLength, 87.0,sMostConnectedFirst,Cost, 502.09099992829624, Score, -32.666666666666664, PathLength, 97.0,
hRandomSet,Cost, 117.84020674207875, Score, 30.833333333333332,sDepthFirstSearchLowCost,Cost, 150.0870704962928, Score, -23.0, PathLength, 68.0,sMostConnectedFirst,Cost, 518.716981447601, Score, -38.666666666666664, PathLength, 115.0,
hMinimumConnectivity,Cost, 20022.881426747932, Score, 66.0,sDepthFirstSearchLowCost,Cost, 577.9326614164129, Score, -51.0, PathLength, 152.0,sMostConnectedFirst,Cost, 1359.50845003898, Score, -81.0, PathLength, 242.0,
hMinimumConnectivity,Cost, 13155.120283766457, Score, 48.5,sDepthFirstSearchLowCost,Cost, 355.05109256872703, Score, -40.0, PathLength, 119.0,sMostConnectedFirst,Cost, 779.1892160690819, Score, -56.99999999999999, PathLength, 170.0,
hRandomSet,Cost, 331.7528271669746, Score, 53.16666666666667,sDepthFirstSearchLowCost,Cost, 376.78253033278014, Score, -42.333333333333336, PathLength, 126.0,sMostConnectedFirst,Cost, 916.7151346628006, Score, -64.0, PathLength, 191.0,
hMinimumConnectivity,Cost, 26060.08652710094, Score, 76.33333333333333,sDepthFirstSearchLowCost,Cost, 518.996586706587, Score, -48.0, PathLength, 143.0,sMostConnectedFirst,Cost, 1600.6284882455852, Score, -104.66666666666666, PathLength, 313.0,
hMinimumConnectivity,Cost, 10564.382365134972, Score, 64.33333333333333,sDepthFirstSearchLowCost,Cost, 569.5325111282248, Score, -52.33333333333333, PathLength, 156.0,sMostConnectedFirst,Cost, 1148.0979638862066, Score, -76.33333333333333, PathLength, 228.0,
hMinimumConnectivity,Cost, 3140.357455297767, Score, 57.33333333333333,sDepthFirstSearchLowCost,Cost, 507.73702838519233, Score, -54.666666666666664, PathLength, 163.0,sMostConnectedFirst,Cost, 859.7129395449342, Score, -60.0, PathLength, 179.0,
hRandomSet,Cost, 196.37476264339392, Score, 40.5,sDepthFirstSearchLowCost,Cost, 396.6887421809353, Score, -39.33333333333333, PathLength, 117.0,sMostConnectedFirst,Cost, 637.5002152542821, Score, -41.66666666666667, PathLength, 124.0,
hRandomSet,Cost, 127.80624674894605, Score, 29.83333333333333,sDepthFirstSearchLowCost,Cost, 424.3413464602289, Score, -40.33333333333333, PathLength, 120.0,sMostConnectedFirst,Cost, 297.8242548417622, Score, -19.333333333333332, PathLength, 57.0,
hRandomSet,Cost, 89.26274195418952, Score, 25.833333333333336,sDepthFirstSearchLowCost,Cost, 214.7142560507153, Score, -26.666666666666668, PathLength, 79.0,sMostConnectedFirst,Cost, 354.81011505310715, Score, -25.0, PathLength, 74.0,
hRandomSet,Cost, 125.5626265794903, Score, 39.833333333333336,sDepthFirstSearchLowCost,Cost, 247.96169822242246, Score, -28.999999999999996, PathLength, 86.0,sMostConnectedFirst,Cost, 795.1283465769538, Score, -50.66666666666667, PathLength, 151.0,
hMinimumConnectivity,Cost, 10855.804613845, Score, 90.16666666666666,sDepthFirstSearchLowCost,Cost, 684.2890259477106, Score, -62.33333333333333, PathLength, 186.0,sMostConnectedFirst,Cost, 1819.1216966817594, Score, -118.0, PathLength, 353.0,
