[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 190.32300779975094, Score, 27.666666666666664,sDepthFirstSearchLowCost,Cost, 324.3158734603557, Score, -33.666666666666664, PathLength, 100.0,sLeastConnectedFirst,Cost, 300.98673444524246, Score, -21.666666666666668, PathLength, 64.0,
hMinimumConnectivity,Cost, 23121.583242391633, Score, 36.16666666666667,sDepthFirstSearchLowCost,Cost, 421.44751929213953, Score, -41.0, PathLength, 122.0,sLeastConnectedFirst,Cost, 438.3035074147567, Score, -31.333333333333336, PathLength, 93.0,
hMinimumConnectivity,Cost, 2998.0659999871596, Score, 34.66666666666667,sDepthFirstSearchLowCost,Cost, 510.7018111143043, Score, -49.333333333333336, PathLength, 147.0,sLeastConnectedFirst,Cost, 267.6063644865383, Score, -20.0, PathLength, 59.0,
hRandomSet,Cost, 432.49766910173565, Score, 17.833333333333336,sDepthFirstSearchLowCost,Cost, 105.10146100431234, Score, -14.333333333333334, PathLength, 42.0,sLeastConnectedFirst,Cost, 333.6440644841768, Score, -21.333333333333336, PathLength, 63.0,
hMinimumConnectivity,Cost, 1271.6456133971276, Score, 36.833333333333336,sDepthFirstSearchLowCost,Cost, 522.6245795833979, Score, -50.0, PathLength, 149.0,sLeastConnectedFirst,Cost, 333.6123324670844, Score, -23.666666666666668, PathLength, 70.0,
hRandomSet,Cost, 147.93672181332892, Score, 31.333333333333336,sDepthFirstSearchLowCost,Cost, 310.20070895617164, Score, -34.0, PathLength, 101.0,sLeastConnectedFirst,Cost, 411.199751171872, Score, -28.666666666666668, PathLength, 85.0,
hMinimumConnectivity,Cost, 4666.899512500596, Score, 49.66666666666666,sDepthFirstSearchLowCost,Cost, 658.3005500664497, Score, -65.66666666666666, PathLength, 196.0,sLeastConnectedFirst,Cost, 430.78881667478595, Score, -33.666666666666664, PathLength, 100.0,
hMinimumConnectivity,Cost, 20459.534883759217, Score, 39.166666666666664,sDepthFirstSearchLowCost,Cost, 576.3779038614248, Score, -50.0, PathLength, 149.0,sLeastConnectedFirst,Cost, 460.8965776350073, Score, -28.333333333333332, PathLength, 84.0,
hMinimumConnectivity,Cost, 3015.8806981332664, Score, 37.5,sDepthFirstSearchLowCost,Cost, 566.1415131343732, Score, -50.0, PathLength, 149.0,sLeastConnectedFirst,Cost, 370.03695118741746, Score, -25.0, PathLength, 74.0,
hRandomSet,Cost, 256.79335680648256, Score, 40.166666666666664,sDepthFirstSearchLowCost,Cost, 553.9589944184219, Score, -47.0, PathLength, 140.0,sLeastConnectedFirst,Cost, 520.2308907065287, Score, -33.33333333333333, PathLength, 99.0,
hMinimumConnectivity,Cost, 17713.42334566784, Score, 41.166666666666664,sDepthFirstSearchLowCost,Cost, 592.5159043541732, Score, -58.666666666666664, PathLength, 175.0,sLeastConnectedFirst,Cost, 353.9090420315906, Score, -23.666666666666668, PathLength, 70.0,
