[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1][ConstrainedRandomWalk,1][BreadthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 10747.629075192423, Score, 74.16666666666667,sDepthFirstSearchLowCost,Cost, 528.6404838459231, Score, -49.666666666666664, PathLength, 148.0,sLeastConnectedFirst,Cost, 343.01089946985496, Score, -21.0, PathLength, 62.0,sConstrainedRandomWalk,Cost, 886.9338287590118, Score, -62.66666666666667, PathLength, 187.0,sBreadthFirstSearchLowCost,Cost, 1131.1771381208532, Score, -163.33333333333334, PathLength, 489.0,
hRandomSet,Cost, 216.18976001299228, Score, 70.74999999999999,sDepthFirstSearchLowCost,Cost, 262.2443632065896, Score, -35.333333333333336, PathLength, 105.0,sLeastConnectedFirst,Cost, 358.3356195437628, Score, -27.333333333333332, PathLength, 81.0,sConstrainedRandomWalk,Cost, 511.1502089782216, Score, -37.0, PathLength, 110.0,sBreadthFirstSearchLowCost,Cost, 1329.505945504549, Score, -183.33333333333331, PathLength, 549.0,
hMinimumConnectivity,Cost, 20720.149619650958, Score, 73.16666666666667,sDepthFirstSearchLowCost,Cost, 640.8578370603369, Score, -63.66666666666667, PathLength, 190.0,sLeastConnectedFirst,Cost, 283.9413940148048, Score, -18.333333333333332, PathLength, 54.0,sConstrainedRandomWalk,Cost, 1042.4993383105862, Score, -63.33333333333333, PathLength, 189.0,sBreadthFirstSearchLowCost,Cost, 1128.5002259931719, Score, -147.33333333333334, PathLength, 441.0,
hRandomSet,Cost, 129.5860941906908, Score, 51.666666666666664,sDepthFirstSearchLowCost,Cost, 128.13252975232456, Score, -22.0, PathLength, 65.0,sLeastConnectedFirst,Cost, 475.9084644659842, Score, -31.0, PathLength, 92.0,sConstrainedRandomWalk,Cost, 531.5180801417118, Score, -32.0, PathLength, 95.0,sBreadthFirstSearchLowCost,Cost, 930.5977925569317, Score, -121.66666666666666, PathLength, 364.0,
hMinimumConnectivity,Cost, 7377.45394691352, Score, 71.91666666666666,sDepthFirstSearchLowCost,Cost, 490.8977844966541, Score, -54.333333333333336, PathLength, 162.0,sLeastConnectedFirst,Cost, 336.63125318014306, Score, -25.333333333333336, PathLength, 75.0,sConstrainedRandomWalk,Cost, 308.53935563880646, Score, -21.666666666666668, PathLength, 64.0,sBreadthFirstSearchLowCost,Cost, 1182.7064993738227, Score, -186.33333333333331, PathLength, 558.0,
hMinimumConnectivity,Cost, 16831.16653237119, Score, 87.75,sDepthFirstSearchLowCost,Cost, 495.1852275572684, Score, -48.0, PathLength, 143.0,sLeastConnectedFirst,Cost, 359.15441530553943, Score, -26.0, PathLength, 77.0,sConstrainedRandomWalk,Cost, 1154.4552612208486, Score, -76.66666666666667, PathLength, 229.0,sBreadthFirstSearchLowCost,Cost, 1436.3520380142304, Score, -200.33333333333334, PathLength, 600.0,
hRandomSet,Cost, 152.11127473779177, Score, 61.16666666666667,sDepthFirstSearchLowCost,Cost, 243.57350714001745, Score, -30.0, PathLength, 89.0,sLeastConnectedFirst,Cost, 460.1006513951935, Score, -31.0, PathLength, 92.0,sConstrainedRandomWalk,Cost, 609.9536361547856, Score, -41.333333333333336, PathLength, 123.0,sBreadthFirstSearchLowCost,Cost, 846.4981337175567, Score, -142.33333333333334, PathLength, 426.0,
hRandomSet,Cost, 328.4988311989792, Score, 44.166666666666664,sDepthFirstSearchLowCost,Cost, 131.32493163787123, Score, -19.666666666666664, PathLength, 58.0,sLeastConnectedFirst,Cost, 512.9484696457323, Score, -33.33333333333333, PathLength, 99.0,sConstrainedRandomWalk,Cost, 503.9627371874676, Score, -35.66666666666667, PathLength, 106.0,sBreadthFirstSearchLowCost,Cost, 782.9059456582746, Score, -88.0, PathLength, 263.0,
hMinimumConnectivity,Cost, 16272.993762567829, Score, 69.08333333333333,sDepthFirstSearchLowCost,Cost, 667.1197827990401, Score, -61.33333333333333, PathLength, 183.0,sLeastConnectedFirst,Cost, 427.7732095184654, Score, -28.000000000000004, PathLength, 83.0,sConstrainedRandomWalk,Cost, 570.1163258386164, Score, -39.666666666666664, PathLength, 118.0,sBreadthFirstSearchLowCost,Cost, 1269.843403624498, Score, -147.33333333333334, PathLength, 441.0,
hRandomSet,Cost, 115.88625604575341, Score, 52.08333333333333,sDepthFirstSearchLowCost,Cost, 299.39164470570563, Score, -30.0, PathLength, 89.0,sLeastConnectedFirst,Cost, 726.7758873587136, Score, -42.0, PathLength, 125.0,sConstrainedRandomWalk,Cost, 462.17576016023094, Score, -30.0, PathLength, 89.0,sBreadthFirstSearchLowCost,Cost, 1071.5981574790392, Score, -106.33333333333333, PathLength, 318.0,
hMinimumConnectivity,Cost, 6056.789034320238, Score, 83.99999999999999,sDepthFirstSearchLowCost,Cost, 537.0967985020504, Score, -54.666666666666664, PathLength, 163.0,sLeastConnectedFirst,Cost, 463.29128126093894, Score, -30.333333333333336, PathLength, 90.0,sConstrainedRandomWalk,Cost, 906.5144700727592, Score, -64.0, PathLength, 191.0,sBreadthFirstSearchLowCost,Cost, 1479.9578102738744, Score, -187.0, PathLength, 560.0,
