[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [RandomWalk,1][ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 4.461444174882628, Score, 56.18866666666668,sRandomWalk,Cost, 160.99920723012744, Score, -104.9, PathLength, 313.0,sConstrainedRandomWalk,Cost, 50.94622934913679, Score, -33.18333333333332, PathLength, 98.0,sLowEdgeCost,Cost, 33.29207030232285, Score, -33.13333333333333, PathLength, 98.0,sDepthFirstSearch,Cost, 49.50309265940134, Score, -31.629999999999992, PathLength, 93.0,sDepthFirstSearchLowCost,Cost, 32.57370420873379, Score, -33.36999999999998, PathLength, 99.0,sBreadthFirstSearch,Cost, 58.92730936742392, Score, -95.64, PathLength, 285.0,sBreadthFirstSearchLowCost,Cost, 63.111321921407104, Score, -104.8566666666667, PathLength, 313.0,sBacktrackPath,Cost, 56.21440459012326, Score, -59.09666666666664, PathLength, 176.0,sLeastConnectedFirst,Cost, 48.17954030428692, Score, -29.726666666666667, PathLength, 88.0,sMostConnectedFirst,Cost, 57.14216023908896, Score, -36.349999999999994, PathLength, 108.0,
hRandomDirection,Cost, 2.036175691872053, Score, 53.69933333333334,sRandomWalk,Cost, 152.00635533772666, Score, -98.66666666666666, PathLength, 295.0,sConstrainedRandomWalk,Cost, 47.81540843476168, Score, -30.853333333333335, PathLength, 91.0,sLowEdgeCost,Cost, 30.207281852329245, Score, -31.37333333333334, PathLength, 93.0,sDepthFirstSearch,Cost, 47.68401997753254, Score, -30.629999999999995, PathLength, 90.0,sDepthFirstSearchLowCost,Cost, 27.449612284387825, Score, -29.343333333333316, PathLength, 87.0,sBreadthFirstSearch,Cost, 62.83886894669465, Score, -102.07333333333332, PathLength, 305.0,sBreadthFirstSearchLowCost,Cost, 59.432392214100304, Score, -98.72333333333331, PathLength, 295.0,sBacktrackPath,Cost, 48.294481730547474, Score, -53.55333333333333, PathLength, 159.0,sLeastConnectedFirst,Cost, 46.181233889681806, Score, -28.56000000000001, PathLength, 84.0,sMostConnectedFirst,Cost, 52.06035523504711, Score, -33.216666666666676, PathLength, 98.0,
hRandomSet,Cost, 4.287831042099087, Score, 65.054,sRandomWalk,Cost, 194.9006299943514, Score, -127.11333333333332, PathLength, 380.0,sConstrainedRandomWalk,Cost, 53.53502665320763, Score, -34.76999999999999, PathLength, 103.0,sLowEdgeCost,Cost, 37.86830537923835, Score, -36.096666666666664, PathLength, 107.0,sDepthFirstSearch,Cost, 53.45931943255895, Score, -34.126666666666665, PathLength, 101.0,sDepthFirstSearchLowCost,Cost, 35.17407049199439, Score, -34.966666666666676, PathLength, 103.0,sBreadthFirstSearch,Cost, 74.31969223457435, Score, -121.1066666666667, PathLength, 362.0,sBreadthFirstSearchLowCost,Cost, 73.75321671031652, Score, -121.4133333333333, PathLength, 363.0,sBacktrackPath,Cost, 72.33116849668852, Score, -71.00999999999999, PathLength, 212.0,sLeastConnectedFirst,Cost, 46.431250939416394, Score, -28.859999999999996, PathLength, 85.0,sMostConnectedFirst,Cost, 64.60497830073467, Score, -41.07666666666667, PathLength, 122.0,
hRandomFixedDistance,Cost, 9.809656654427531, Score, 55.47366666666667,sRandomWalk,Cost, 158.08252268112682, Score, -102.29666666666664, PathLength, 305.0,sConstrainedRandomWalk,Cost, 48.70564939447085, Score, -31.66333333333333, PathLength, 93.0,sLowEdgeCost,Cost, 32.00535597097735, Score, -32.45333333333333, PathLength, 96.0,sDepthFirstSearch,Cost, 50.85963515158677, Score, -32.53, PathLength, 96.0,sDepthFirstSearchLowCost,Cost, 30.566811418790312, Score, -31.77333333333333, PathLength, 94.0,sBreadthFirstSearch,Cost, 65.11337220529698, Score, -106.23333333333332, PathLength, 317.0,sBreadthFirstSearchLowCost,Cost, 61.387507509606564, Score, -101.39999999999998, PathLength, 303.0,sBacktrackPath,Cost, 45.62839487445778, Score, -51.14, PathLength, 152.0,sLeastConnectedFirst,Cost, 49.46879868576984, Score, -30.459999999999994, PathLength, 90.0,sMostConnectedFirst,Cost, 54.49143447497743, Score, -34.78666666666666, PathLength, 103.0,
hLowEdgeCostRandomFixedDistance,Cost, 6.670645875245876, Score, 63.010666666666665,sRandomWalk,Cost, 215.8876454711157, Score, -140.02000000000007, PathLength, 419.0,sConstrainedRandomWalk,Cost, 51.57367758754519, Score, -33.51000000000001, PathLength, 99.0,sLowEdgeCost,Cost, 13.927041262770073, Score, -18.54000000000001, PathLength, 54.0,sDepthFirstSearch,Cost, 46.15869850972478, Score, -29.87333333333334, PathLength, 88.0,sDepthFirstSearchLowCost,Cost, 12.387546420978236, Score, -16.956666666666667, PathLength, 49.0,sBreadthFirstSearch,Cost, 72.46505762785891, Score, -119.65999999999994, PathLength, 357.0,sBreadthFirstSearchLowCost,Cost, 69.70590530728855, Score, -114.95333333333333, PathLength, 343.0,sBacktrackPath,Cost, 100.53583324942325, Score, -88.71999999999994, PathLength, 265.0,sLeastConnectedFirst,Cost, 45.169911497398225, Score, -27.943333333333324, PathLength, 82.0,sMostConnectedFirst,Cost, 62.92462711758678, Score, -39.92999999999999, PathLength, 118.0,
hMinimumConnectivity,Cost, 535.4564752980458, Score, 117.31900000000005,sRandomWalk,Cost, 421.28729437989233, Score, -273.6833333333332, PathLength, 820.0,sConstrainedRandomWalk,Cost, 88.32298736834595, Score, -57.11333333333335, PathLength, 170.0,sLowEdgeCost,Cost, 81.10583375872699, Score, -63.95666666666666, PathLength, 190.0,sDepthFirstSearch,Cost, 75.30696282270691, Score, -47.486666666666686, PathLength, 141.0,sDepthFirstSearchLowCost,Cost, 60.68788980732109, Score, -54.84000000000002, PathLength, 163.0,sBreadthFirstSearch,Cost, 108.04038866221346, Score, -177.03999999999994, PathLength, 530.0,sBreadthFirstSearchLowCost,Cost, 110.32403018726403, Score, -181.68666666666667, PathLength, 544.0,sBacktrackPath,Cost, 277.287231254436, Score, -220.5166666666666, PathLength, 660.0,sLeastConnectedFirst,Cost, 37.61296698905098, Score, -23.436666666666664, PathLength, 69.0,sMostConnectedFirst,Cost, 115.50733935031525, Score, -73.43, PathLength, 219.0,
hMaxDistance,Cost, 203.71391841656478, Score, 57.795,sRandomWalk,Cost, 163.56620178342115, Score, -105.93333333333338, PathLength, 316.0,sConstrainedRandomWalk,Cost, 48.147140540382416, Score, -31.446666666666662, PathLength, 93.0,sLowEdgeCost,Cost, 33.03412881297906, Score, -33.143333333333324, PathLength, 98.0,sDepthFirstSearch,Cost, 50.17428527250821, Score, -32.21333333333333, PathLength, 95.0,sDepthFirstSearchLowCost,Cost, 33.98275916315666, Score, -34.216666666666654, PathLength, 101.0,sBreadthFirstSearch,Cost, 66.34015722101326, Score, -107.8566666666667, PathLength, 322.0,sBreadthFirstSearchLowCost,Cost, 66.91431287360334, Score, -109.68333333333332, PathLength, 328.0,sBacktrackPath,Cost, 53.86592385515916, Score, -58.01, PathLength, 173.0,sLeastConnectedFirst,Cost, 48.246507131042236, Score, -29.93666666666666, PathLength, 88.0,sMostConnectedFirst,Cost, 55.33455642533034, Score, -35.50999999999999, PathLength, 105.0,
hRandom,Cost, 4.363368188756733, Score, 51.30933333333333,sRandomWalk,Cost, 160.97900079484236, Score, -105.57333333333335, PathLength, 315.0,sConstrainedRandomWalk,Cost, 48.01046264240726, Score, -32.14666666666667, PathLength, 95.0,sLowEdgeCost,Cost, 28.751690916248418, Score, -31.45, PathLength, 93.0,sDepthFirstSearch,Cost, 43.36961287128011, Score, -30.226666666666674, PathLength, 89.0,sDepthFirstSearchLowCost,Cost, 27.105964948734318, Score, -30.909999999999997, PathLength, 91.0,sBreadthFirstSearch,Cost, 64.62768342392692, Score, -88.31666666666668, PathLength, 263.0,sBreadthFirstSearchLowCost,Cost, 64.09407184487871, Score, -89.96999999999998, PathLength, 268.0,sBacktrackPath,Cost, 35.74485205599305, Score, -40.723333333333336, PathLength, 121.0,sLeastConnectedFirst,Cost, 44.962483894304526, Score, -30.56666666666666, PathLength, 90.0,sMostConnectedFirst,Cost, 50.2652981217281, Score, -33.209999999999994, PathLength, 98.0,
hRandomDirection,Cost, 2.0610260685224, Score, 49.85566666666669,sRandomWalk,Cost, 151.4331327339588, Score, -99.19999999999999, PathLength, 296.0,sConstrainedRandomWalk,Cost, 49.94178291378003, Score, -33.27, PathLength, 98.0,sLowEdgeCost,Cost, 24.6281321118226, Score, -27.93666666666668, PathLength, 82.0,sDepthFirstSearch,Cost, 45.574645945157734, Score, -31.656666666666673, PathLength, 93.0,sDepthFirstSearchLowCost,Cost, 24.603589241611935, Score, -28.52666666666666, PathLength, 84.0,sBreadthFirstSearch,Cost, 63.16863769913307, Score, -86.28333333333335, PathLength, 257.0,sBreadthFirstSearchLowCost,Cost, 60.623091675120925, Score, -85.81666666666669, PathLength, 256.0,sBacktrackPath,Cost, 36.13226388610041, Score, -40.763333333333314, PathLength, 121.0,sLeastConnectedFirst,Cost, 43.56480910578629, Score, -29.67333333333334, PathLength, 88.0,sMostConnectedFirst,Cost, 53.78384515858069, Score, -35.43000000000002, PathLength, 105.0,
hRandomSet,Cost, 4.5574986703115306, Score, 60.900000000000006,sRandomWalk,Cost, 198.47968355913005, Score, -130.44666666666663, PathLength, 390.0,sConstrainedRandomWalk,Cost, 54.946681064057636, Score, -36.88666666666666, PathLength, 109.0,sLowEdgeCost,Cost, 35.786449897251444, Score, -36.28666666666666, PathLength, 107.0,sDepthFirstSearch,Cost, 49.28415144094214, Score, -34.08333333333334, PathLength, 101.0,sDepthFirstSearchLowCost,Cost, 30.355236624403783, Score, -33.62333333333335, PathLength, 99.0,sBreadthFirstSearch,Cost, 77.83384205365854, Score, -108.35666666666665, PathLength, 324.0,sBreadthFirstSearchLowCost,Cost, 75.55805387548247, Score, -106.2766666666667, PathLength, 317.0,sBacktrackPath,Cost, 48.65255328319014, Score, -51.11666666666668, PathLength, 152.0,sLeastConnectedFirst,Cost, 43.18357779591589, Score, -29.54666666666667, PathLength, 87.0,sMostConnectedFirst,Cost, 64.48419673185589, Score, -42.37666666666667, PathLength, 126.0,
hRandomFixedDistance,Cost, 4.557589381788684, Score, 51.535666666666664,sRandomWalk,Cost, 151.3931907678962, Score, -99.51666666666667, PathLength, 297.0,sConstrainedRandomWalk,Cost, 47.145104830568414, Score, -31.753333333333334, PathLength, 94.0,sLowEdgeCost,Cost, 29.134551051499287, Score, -31.786666666666665, PathLength, 94.0,sDepthFirstSearch,Cost, 43.96289435259095, Score, -30.499999999999996, PathLength, 90.0,sDepthFirstSearchLowCost,Cost, 27.77558620693671, Score, -31.71666666666667, PathLength, 94.0,sBreadthFirstSearch,Cost, 62.16946644516927, Score, -85.94999999999999, PathLength, 256.0,sBreadthFirstSearchLowCost,Cost, 66.23085500952328, Score, -93.77999999999994, PathLength, 280.0,sBacktrackPath,Cost, 43.160125826163586, Score, -46.280000000000015, PathLength, 137.0,sLeastConnectedFirst,Cost, 46.59751434458114, Score, -31.52999999999999, PathLength, 93.0,sMostConnectedFirst,Cost, 49.767869064128384, Score, -32.54333333333334, PathLength, 96.0,
