[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [RandomWalk,1][ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,ring}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 4.149185125453268, Score, 866.8940000000002,sRandomWalk,Cost, 841.2699715379166, Score, -1781.56, PathLength, 1780.0,sConstrainedRandomWalk,Cost, 26.07607131406559, Score, -56.18, PathLength, 55.0,sLowEdgeCost,Cost, 28.010004668582198, Score, -60.4, PathLength, 59.0,sDepthFirstSearch,Cost, 24.204892932131564, Score, -51.72, PathLength, 50.0,sDepthFirstSearchLowCost,Cost, 28.28322552903658, Score, -61.1, PathLength, 60.0,sBreadthFirstSearch,Cost, 818.9314682338576, Score, -1648.65, PathLength, 1647.0,sBreadthFirstSearchLowCost,Cost, 2308.7622530152757, Score, -4834.02, PathLength, 4833.0,sBacktrackPath,Cost, 29.105723929610004, Score, -63.13, PathLength, 62.0,sLeastConnectedFirst,Cost, 24.898160135008105, Score, -53.26, PathLength, 52.0,sMostConnectedFirst,Cost, 27.325655896120924, Score, -58.92, PathLength, 57.0,
hRandomDirection,Cost, 1.9582771734977178, Score, 765.6619999999999,sRandomWalk,Cost, 836.4074833407705, Score, -1769.94, PathLength, 1768.0,sConstrainedRandomWalk,Cost, 25.062361384182406, Score, -54.11, PathLength, 53.0,sLowEdgeCost,Cost, 26.301570968244086, Score, -56.8, PathLength, 55.0,sDepthFirstSearch,Cost, 26.00016799169192, Score, -55.79, PathLength, 54.0,sDepthFirstSearchLowCost,Cost, 26.226047789765126, Score, -56.69, PathLength, 55.0,sBreadthFirstSearch,Cost, 649.7679610947207, Score, -1330.85, PathLength, 1329.0,sBreadthFirstSearchLowCost,Cost, 1954.0034917156017, Score, -4158.38, PathLength, 4157.0,sBacktrackPath,Cost, 31.06858878989627, Score, -66.8, PathLength, 65.0,sLeastConnectedFirst,Cost, 24.53413272945865, Score, -52.85, PathLength, 51.0,sMostConnectedFirst,Cost, 25.320748717071925, Score, -54.41, PathLength, 53.0,
hRandomSet,Cost, 40.18636686851363, Score, 1273.1880000000006,sRandomWalk,Cost, 1779.4305141014086, Score, -3738.37, PathLength, 3737.0,sConstrainedRandomWalk,Cost, 38.434539409350805, Score, -82.34, PathLength, 81.0,sLowEdgeCost,Cost, 39.5658126976254, Score, -84.52, PathLength, 83.0,sDepthFirstSearch,Cost, 39.309159301695125, Score, -83.83, PathLength, 82.0,sDepthFirstSearchLowCost,Cost, 39.93287158237726, Score, -85.45, PathLength, 84.0,sBreadthFirstSearch,Cost, 1028.9864273744672, Score, -2082.65, PathLength, 2081.0,sBreadthFirstSearchLowCost,Cost, 2933.9756301328725, Score, -6301.89, PathLength, 6300.0,sBacktrackPath,Cost, 46.395976157026986, Score, -100.11, PathLength, 99.0,sLeastConnectedFirst,Cost, 40.782696869151216, Score, -87.11, PathLength, 86.0,sMostConnectedFirst,Cost, 40.16707919360963, Score, -85.61, PathLength, 84.0,
hRandomFixedDistance,Cost, 4.285847084952213, Score, 809.342,sRandomWalk,Cost, 956.1850516190557, Score, -2035.6, PathLength, 2034.0,sConstrainedRandomWalk,Cost, 25.747952190255727, Score, -55.33, PathLength, 54.0,sLowEdgeCost,Cost, 27.78595692188846, Score, -59.67, PathLength, 58.0,sDepthFirstSearch,Cost, 28.44806614470869, Score, -60.87, PathLength, 59.0,sDepthFirstSearchLowCost,Cost, 27.635724967394644, Score, -59.59, PathLength, 58.0,sBreadthFirstSearch,Cost, 676.3962063229013, Score, -1378.81, PathLength, 1377.0,sBreadthFirstSearchLowCost,Cost, 2002.825466286176, Score, -4258.09, PathLength, 4257.0,sBacktrackPath,Cost, 32.569614726241454, Score, -70.61, PathLength, 69.0,sLeastConnectedFirst,Cost, 24.69125788906144, Score, -53.0, PathLength, 52.0,sMostConnectedFirst,Cost, 28.941466898288137, Score, -61.85, PathLength, 60.0,
hLowEdgeCostRandomFixedDistance,Cost, 4.038768112051455, Score, 834.7089999999996,sRandomWalk,Cost, 1068.9859353303495, Score, -2249.74, PathLength, 2248.0,sConstrainedRandomWalk,Cost, 27.758618674026266, Score, -59.38, PathLength, 58.0,sLowEdgeCost,Cost, 26.779433987952704, Score, -57.86, PathLength, 56.0,sDepthFirstSearch,Cost, 28.491879721829406, Score, -61.0, PathLength, 60.0,sDepthFirstSearchLowCost,Cost, 27.84918894326732, Score, -59.55, PathLength, 58.0,sBreadthFirstSearch,Cost, 642.0071834324214, Score, -1314.95, PathLength, 1313.0,sBreadthFirstSearchLowCost,Cost, 2056.051209813042, Score, -4355.97, PathLength, 4354.0,sBacktrackPath,Cost, 33.73882488835113, Score, -72.84, PathLength, 71.0,sLeastConnectedFirst,Cost, 28.56442698967969, Score, -61.45, PathLength, 60.0,sMostConnectedFirst,Cost, 25.2499607654555, Score, -54.35, PathLength, 53.0,
hMinimumConnectivity,Cost, 2.4897566853256223, Score, 829.0840000000004,sRandomWalk,Cost, 1067.6759143894221, Score, -2242.38, PathLength, 2241.0,sConstrainedRandomWalk,Cost, 24.13644668096752, Score, -51.79, PathLength, 50.0,sLowEdgeCost,Cost, 21.503097990796505, Score, -46.92, PathLength, 45.0,sDepthFirstSearch,Cost, 26.045150353291476, Score, -55.91, PathLength, 54.0,sDepthFirstSearchLowCost,Cost, 22.10744345780249, Score, -47.97, PathLength, 46.0,sBreadthFirstSearch,Cost, 709.6051632366031, Score, -1412.95, PathLength, 1411.0,sBreadthFirstSearchLowCost,Cost, 1996.4733170889565, Score, -4254.68, PathLength, 4253.0,sBacktrackPath,Cost, 29.427684179962707, Score, -64.28, PathLength, 63.0,sLeastConnectedFirst,Cost, 28.77775156738504, Score, -61.48, PathLength, 60.0,sMostConnectedFirst,Cost, 24.521248441664458, Score, -52.48, PathLength, 51.0,
hMaxDistance,Cost, 215.34018640272345, Score, 1068.7879999999998,sRandomWalk,Cost, 1334.6164366888781, Score, -2769.09, PathLength, 2768.0,sConstrainedRandomWalk,Cost, 34.545346483690935, Score, -73.85, PathLength, 72.0,sLowEdgeCost,Cost, 33.46341619685498, Score, -72.14, PathLength, 71.0,sDepthFirstSearch,Cost, 32.29532579750136, Score, -69.48, PathLength, 68.0,sDepthFirstSearchLowCost,Cost, 35.17707673608348, Score, -75.97, PathLength, 74.0,sBreadthFirstSearch,Cost, 867.6368217346162, Score, -1766.78, PathLength, 1765.0,sBreadthFirstSearchLowCost,Cost, 2666.8270920611026, Score, -5631.19, PathLength, 5630.0,sBacktrackPath,Cost, 38.9992995527587, Score, -84.77, PathLength, 83.0,sLeastConnectedFirst,Cost, 34.191287663326676, Score, -72.98, PathLength, 71.0,sMostConnectedFirst,Cost, 33.492322151367205, Score, -71.63, PathLength, 70.0,
hRandom,Cost, 4.374688510531451, Score, 806.993,sRandomWalk,Cost, 1049.4656463943872, Score, -2103.79, PathLength, 2102.0,sConstrainedRandomWalk,Cost, 24.144961060801208, Score, -49.32, PathLength, 48.0,sLowEdgeCost,Cost, 29.107709787932496, Score, -60.11, PathLength, 59.0,sDepthFirstSearch,Cost, 31.382340372812145, Score, -64.1, PathLength, 63.0,sDepthFirstSearchLowCost,Cost, 27.75752923874126, Score, -57.16, PathLength, 56.0,sBreadthFirstSearch,Cost, 713.4925796845771, Score, -1402.65, PathLength, 1401.0,sBreadthFirstSearchLowCost,Cost, 2044.769643810449, Score, -4141.62, PathLength, 4140.0,sBacktrackPath,Cost, 32.361134328761835, Score, -68.06, PathLength, 67.0,sLeastConnectedFirst,Cost, 29.94509486095127, Score, -61.24, PathLength, 60.0,sMostConnectedFirst,Cost, 30.162978058193165, Score, -61.88, PathLength, 60.0,
hRandomDirection,Cost, 1.9615098822260106, Score, 758.4669999999999,sRandomWalk,Cost, 948.2023002210667, Score, -1910.16, PathLength, 1909.0,sConstrainedRandomWalk,Cost, 26.245493175332584, Score, -53.67, PathLength, 52.0,sLowEdgeCost,Cost, 27.607477678054874, Score, -57.37, PathLength, 56.0,sDepthFirstSearch,Cost, 27.094322275061376, Score, -55.78, PathLength, 54.0,sDepthFirstSearchLowCost,Cost, 22.849174780742487, Score, -47.48, PathLength, 46.0,sBreadthFirstSearch,Cost, 675.1856687407947, Score, -1323.62, PathLength, 1322.0,sBreadthFirstSearchLowCost,Cost, 1934.929489648116, Score, -3965.79, PathLength, 3964.0,sBacktrackPath,Cost, 29.829283851934306, Score, -62.67, PathLength, 61.0,sLeastConnectedFirst,Cost, 28.249106518346526, Score, -58.29, PathLength, 57.0,sMostConnectedFirst,Cost, 24.158041683639855, Score, -49.84, PathLength, 48.0,
hRandomSet,Cost, 44.43036428113709, Score, 1293.7290000000003,sRandomWalk,Cost, 1829.2998589474585, Score, -3742.82, PathLength, 3741.0,sConstrainedRandomWalk,Cost, 40.12868872686867, Score, -81.96, PathLength, 80.0,sLowEdgeCost,Cost, 40.010334556431516, Score, -82.46, PathLength, 81.0,sDepthFirstSearch,Cost, 41.20173432557602, Score, -83.9, PathLength, 82.0,sDepthFirstSearchLowCost,Cost, 42.36466530741323, Score, -86.99, PathLength, 85.0,sBreadthFirstSearch,Cost, 1186.3689020785384, Score, -2322.52, PathLength, 2321.0,sBreadthFirstSearchLowCost,Cost, 3110.9069175989816, Score, -6272.1, PathLength, 6271.0,sBacktrackPath,Cost, 45.99819938306051, Score, -94.7, PathLength, 93.0,sLeastConnectedFirst,Cost, 42.00165302381997, Score, -85.64, PathLength, 84.0,sMostConnectedFirst,Cost, 41.23907357581369, Score, -84.2, PathLength, 83.0,
hRandomFixedDistance,Cost, 24.332909956169054, Score, 1175.486,sRandomWalk,Cost, 1508.8014345712224, Score, -3045.68, PathLength, 3044.0,sConstrainedRandomWalk,Cost, 39.55050760171684, Score, -80.73, PathLength, 79.0,sLowEdgeCost,Cost, 38.99372349026574, Score, -80.13, PathLength, 79.0,sDepthFirstSearch,Cost, 38.259331653806505, Score, -77.78, PathLength, 76.0,sDepthFirstSearchLowCost,Cost, 39.60719580714436, Score, -81.31, PathLength, 80.0,sBreadthFirstSearch,Cost, 1121.7874061290622, Score, -2181.36, PathLength, 2180.0,sBreadthFirstSearchLowCost,Cost, 2972.4502844025324, Score, -5957.43, PathLength, 5956.0,sBacktrackPath,Cost, 43.45012825328943, Score, -90.04, PathLength, 89.0,sLeastConnectedFirst,Cost, 39.206617050606134, Score, -79.74, PathLength, 78.0,sMostConnectedFirst,Cost, 39.710711316953514, Score, -80.66, PathLength, 79.0,
