[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [RandomWalk,1][ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 5.211471949248975, Score, 141.41891891891893,sRandomWalk,Cost, 229.79443967392962, Score, -313.32432432432444, PathLength, 462.0,sConstrainedRandomWalk,Cost, 76.82415725032546, Score, -105.95945945945947, PathLength, 155.0,sLowEdgeCost,Cost, 63.446158722946336, Score, -96.47297297297295, PathLength, 141.0,sDepthFirstSearch,Cost, 64.95346408796081, Score, -86.45270270270275, PathLength, 126.0,sDepthFirstSearchLowCost,Cost, 52.12120709210287, Score, -79.31081081081078, PathLength, 116.0,sBreadthFirstSearch,Cost, 83.2454863178465, Score, -167.7837837837838, PathLength, 247.0,sBreadthFirstSearchLowCost,Cost, 97.21795578903196, Score, -192.65540540540545, PathLength, 284.0,sBacktrackPath,Cost, 91.15436360055418, Score, -161.3648648648648, PathLength, 237.0,sLeastConnectedFirst,Cost, 64.76502700873226, Score, -91.47972972972978, PathLength, 134.0,sMostConnectedFirst,Cost, 89.64510470610226, Score, -119.38513513513512, PathLength, 175.0,
hRandomDirection,Cost, 2.217372346608089, Score, 145.76148648648646,sRandomWalk,Cost, 260.1023612621528, Score, -354.49324324324317, PathLength, 523.0,sConstrainedRandomWalk,Cost, 69.53211583920093, Score, -94.79729729729725, PathLength, 139.0,sLowEdgeCost,Cost, 70.1199737735251, Score, -105.37162162162167, PathLength, 154.0,sDepthFirstSearch,Cost, 60.686718256405165, Score, -80.79729729729728, PathLength, 118.0,sDepthFirstSearchLowCost,Cost, 54.0563557116035, Score, -82.28378378378379, PathLength, 120.0,sBreadthFirstSearch,Cost, 81.71608572813848, Score, -165.08108108108107, PathLength, 243.0,sBreadthFirstSearchLowCost,Cost, 93.55934053981433, Score, -184.67567567567568, PathLength, 272.0,sBacktrackPath,Cost, 109.4076458925087, Score, -189.19594594594594, PathLength, 279.0,sLeastConnectedFirst,Cost, 60.49484572165261, Score, -85.6418918918919, PathLength, 125.0,sMostConnectedFirst,Cost, 87.523720784168, Score, -115.27702702702696, PathLength, 169.0,
hRandomSet,Cost, 7.549137127020169, Score, 211.76824324324335,sRandomWalk,Cost, 358.77375665593684, Score, -490.2027027027026, PathLength, 724.0,sConstrainedRandomWalk,Cost, 118.53671878945411, Score, -161.3445945945946, PathLength, 237.0,sLowEdgeCost,Cost, 104.23584055237072, Score, -148.3378378378379, PathLength, 218.0,sDepthFirstSearch,Cost, 83.57810192183504, Score, -111.62162162162156, PathLength, 164.0,sDepthFirstSearchLowCost,Cost, 73.79607112388743, Score, -108.04054054054058, PathLength, 158.0,sBreadthFirstSearch,Cost, 127.44103758295954, Score, -252.58108108108107, PathLength, 372.0,sBreadthFirstSearchLowCost,Cost, 125.79490950870033, Score, -245.3513513513513, PathLength, 362.0,sBacktrackPath,Cost, 194.59892903403386, Score, -312.3716216216216, PathLength, 461.0,sLeastConnectedFirst,Cost, 81.40998555261784, Score, -113.47972972972975, PathLength, 166.0,sMostConnectedFirst,Cost, 128.6511255547009, Score, -174.3513513513513, PathLength, 257.0,
hRandomFixedDistance,Cost, 20.041634377619353, Score, 166.6033783783784,sRandomWalk,Cost, 292.52858779885787, Score, -401.7567567567569, PathLength, 593.0,sConstrainedRandomWalk,Cost, 90.322357689265, Score, -122.12837837837839, PathLength, 179.0,sLowEdgeCost,Cost, 82.39031021015101, Score, -120.2972972972973, PathLength, 177.0,sDepthFirstSearch,Cost, 67.95088357393041, Score, -89.52702702702703, PathLength, 131.0,sDepthFirstSearchLowCost,Cost, 56.81261998654173, Score, -85.60810810810814, PathLength, 125.0,sBreadthFirstSearch,Cost, 102.07696205413421, Score, -203.37162162162159, PathLength, 299.0,sBreadthFirstSearchLowCost,Cost, 107.27240326277708, Score, -211.777027027027, PathLength, 312.0,sBacktrackPath,Cost, 119.9625665462193, Score, -204.2905405405405, PathLength, 301.0,sLeastConnectedFirst,Cost, 73.98196763053947, Score, -103.51351351351349, PathLength, 152.0,sMostConnectedFirst,Cost, 92.36233957904456, Score, -123.76351351351349, PathLength, 182.0,
hLowEdgeCostRandomFixedDistance,Cost, 10.440873917415553, Score, 134.0756756756757,sRandomWalk,Cost, 237.78085984468157, Score, -324.72297297297314, PathLength, 479.0,sConstrainedRandomWalk,Cost, 78.01907094966641, Score, -105.93918918918924, PathLength, 155.0,sLowEdgeCost,Cost, 34.24146911691522, Score, -56.574324324324344, PathLength, 82.0,sDepthFirstSearch,Cost, 67.05598675905536, Score, -89.44594594594594, PathLength, 131.0,sDepthFirstSearchLowCost,Cost, 28.81048798933102, Score, -48.54054054054057, PathLength, 70.0,sBreadthFirstSearch,Cost, 95.87391803917646, Score, -193.18918918918916, PathLength, 284.0,sBreadthFirstSearchLowCost,Cost, 105.07080267743504, Score, -205.90540540540536, PathLength, 303.0,sBacktrackPath,Cost, 48.00774275474569, Score, -97.4459459459459, PathLength, 143.0,sLeastConnectedFirst,Cost, 75.29128423055907, Score, -105.68243243243242, PathLength, 155.0,sMostConnectedFirst,Cost, 86.00088908184829, Score, -113.31081081081082, PathLength, 166.0,
hMinimumConnectivity,Cost, 14.257648594627623, Score, 260.17702702702695,sRandomWalk,Cost, 436.7884723011422, Score, -595.8108108108106, PathLength, 880.0,sConstrainedRandomWalk,Cost, 132.58587394986637, Score, -181.19594594594594, PathLength, 267.0,sLowEdgeCost,Cost, 136.4884106207114, Score, -190.87162162162164, PathLength, 281.0,sDepthFirstSearch,Cost, 87.53298003207438, Score, -117.56081081081085, PathLength, 172.0,sDepthFirstSearchLowCost,Cost, 77.33627159792941, Score, -113.31756756756756, PathLength, 166.0,sBreadthFirstSearch,Cost, 152.83701198766278, Score, -297.78378378378386, PathLength, 439.0,sBreadthFirstSearchLowCost,Cost, 164.32893055735158, Score, -319.1554054054054, PathLength, 471.0,sBacktrackPath,Cost, 318.29556451952794, Score, -484.4324324324321, PathLength, 715.0,sLeastConnectedFirst,Cost, 70.80603405449853, Score, -98.24324324324323, PathLength, 144.0,sMostConnectedFirst,Cost, 151.32984237761477, Score, -203.3986486486487, PathLength, 300.0,
hMaxDistance,Cost, 193.10055995010717, Score, 166.11418918918923,sRandomWalk,Cost, 237.68319382887825, Score, -327.25675675675683, PathLength, 483.0,sConstrainedRandomWalk,Cost, 88.6117398735766, Score, -120.41891891891893, PathLength, 177.0,sLowEdgeCost,Cost, 92.44028177410365, Score, -134.58783783783784, PathLength, 198.0,sDepthFirstSearch,Cost, 69.49864746691372, Score, -92.56756756756755, PathLength, 136.0,sDepthFirstSearchLowCost,Cost, 65.63099300693207, Score, -97.5337837837837, PathLength, 143.0,sBreadthFirstSearch,Cost, 114.19903257233189, Score, -229.554054054054, PathLength, 338.0,sBreadthFirstSearchLowCost,Cost, 106.66575567868632, Score, -210.85135135135133, PathLength, 311.0,sBacktrackPath,Cost, 128.48313369182074, Score, -215.64864864864865, PathLength, 318.0,sLeastConnectedFirst,Cost, 75.68716908827538, Score, -104.97972972972975, PathLength, 154.0,sMostConnectedFirst,Cost, 95.69939443501707, Score, -127.74324324324326, PathLength, 188.0,
hRandom,Cost, 5.065829150062905, Score, 137.04436619718308,sRandomWalk,Cost, 227.74594518052905, Score, -308.90140845070425, PathLength, 437.0,sConstrainedRandomWalk,Cost, 79.86163841214639, Score, -107.83802816901407, PathLength, 152.0,sLowEdgeCost,Cost, 79.59249267296589, Score, -121.95070422535211, PathLength, 172.0,sDepthFirstSearch,Cost, 61.11187474966469, Score, -83.16901408450705, PathLength, 117.0,sDepthFirstSearchLowCost,Cost, 51.97116652539037, Score, -83.02816901408453, PathLength, 116.0,sBreadthFirstSearch,Cost, 102.35370763716146, Score, -158.94366197183098, PathLength, 224.0,sBreadthFirstSearchLowCost,Cost, 93.68345916722919, Score, -150.69014084507043, PathLength, 212.0,sBacktrackPath,Cost, 87.76626056201812, Score, -142.9647887323943, PathLength, 202.0,sLeastConnectedFirst,Cost, 72.79793086926225, Score, -96.71126760563376, PathLength, 136.0,sMostConnectedFirst,Cost, 86.3314446669873, Score, -116.24647887323941, PathLength, 164.0,
hRandomDirection,Cost, 2.2814736477954822, Score, 132.25070422535214,sRandomWalk,Cost, 197.11165236872964, Score, -266.61267605633793, PathLength, 377.0,sConstrainedRandomWalk,Cost, 81.54885406467781, Score, -109.44366197183093, PathLength, 154.0,sLowEdgeCost,Cost, 64.22159762314867, Score, -101.57746478873247, PathLength, 143.0,sDepthFirstSearch,Cost, 59.24930286296234, Score, -79.9014084507042, PathLength, 112.0,sDepthFirstSearchLowCost,Cost, 51.845822289458084, Score, -82.90845070422534, PathLength, 116.0,sBreadthFirstSearch,Cost, 105.95958717526769, Score, -163.79577464788733, PathLength, 231.0,sBreadthFirstSearchLowCost,Cost, 96.07069953510876, Score, -153.58450704225348, PathLength, 217.0,sBacktrackPath,Cost, 96.42544446290755, Score, -155.87323943661968, PathLength, 220.0,sLeastConnectedFirst,Cost, 66.55596924260759, Score, -88.73239436619718, PathLength, 125.0,sMostConnectedFirst,Cost, 88.97969541555561, Score, -120.07746478873241, PathLength, 169.0,
hRandomSet,Cost, 8.227660617496504, Score, 184.27535211267616,sRandomWalk,Cost, 342.7145761768927, Score, -459.1690140845073, PathLength, 651.0,sConstrainedRandomWalk,Cost, 109.58686430082955, Score, -147.4154929577465, PathLength, 208.0,sLowEdgeCost,Cost, 104.11491023553292, Score, -153.94366197183103, PathLength, 217.0,sDepthFirstSearch,Cost, 84.9902347075356, Score, -114.61971830985918, PathLength, 161.0,sDepthFirstSearchLowCost,Cost, 75.17274941449996, Score, -113.11971830985912, PathLength, 159.0,sBreadthFirstSearch,Cost, 121.78213208449398, Score, -188.72535211267603, PathLength, 266.0,sBreadthFirstSearchLowCost,Cost, 119.93091507822915, Score, -191.0915492957747, PathLength, 270.0,sBacktrackPath,Cost, 125.50595338347286, Score, -194.70422535211262, PathLength, 275.0,sLeastConnectedFirst,Cost, 82.76894917318188, Score, -109.22535211267606, PathLength, 154.0,sMostConnectedFirst,Cost, 128.35611895610148, Score, -170.73943661971833, PathLength, 241.0,
hRandomFixedDistance,Cost, 2.41269092799191, Score, 135.07605633802817,sRandomWalk,Cost, 217.53427858697162, Score, -294.01408450704236, PathLength, 416.0,sConstrainedRandomWalk,Cost, 82.40872076883188, Score, -111.14788732394364, PathLength, 156.0,sLowEdgeCost,Cost, 71.80359534018122, Score, -110.36619718309863, PathLength, 155.0,sDepthFirstSearch,Cost, 70.3350337128809, Score, -94.84507042253526, PathLength, 133.0,sDepthFirstSearchLowCost,Cost, 56.36974464082976, Score, -88.74647887323943, PathLength, 125.0,sBreadthFirstSearch,Cost, 91.62481669477378, Score, -142.95070422535215, PathLength, 201.0,sBreadthFirstSearchLowCost,Cost, 93.83150421631834, Score, -149.80281690140845, PathLength, 211.0,sBacktrackPath,Cost, 99.72360732644356, Score, -160.5845070422535, PathLength, 227.0,sLeastConnectedFirst,Cost, 62.95545237667583, Score, -83.612676056338, PathLength, 117.0,sMostConnectedFirst,Cost, 85.31203762996459, Score, -114.69014084507049, PathLength, 161.0,
