[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [RandomWalk,1][ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,complete}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 4.677529641187292, Score, 2.06919191919192,sRandomWalk,Cost, 108.0127703030248, Score, -4.409696969696969, PathLength, 217.0,sConstrainedRandomWalk,Cost, 42.905257685926614, Score, -1.7438383838383826, PathLength, 85.0,sLowEdgeCost,Cost, 2.0921915640601174, Score, -1.7454545454545443, PathLength, 85.0,sDepthFirstSearch,Cost, 42.0106371211315, Score, -1.6999999999999995, PathLength, 83.0,sDepthFirstSearchLowCost,Cost, 1.955243859353654, Score, -1.7303030303030296, PathLength, 84.0,sBreadthFirstSearch,Cost, 42.06256104475083, Score, -1.7008080808080803, PathLength, 83.0,sBreadthFirstSearchLowCost,Cost, 42.15830055536139, Score, -1.7022222222222212, PathLength, 83.0,sBacktrackPath,Cost, 13.290278148007058, Score, -2.5955555555555567, PathLength, 127.0,sLeastConnectedFirst,Cost, 42.06308318881451, Score, -1.699595959595959, PathLength, 83.0,sMostConnectedFirst,Cost, 38.337828029301804, Score, -1.6644444444444437, PathLength, 81.0,
hRandomDirection,Cost, 1.9172792429589167, Score, 2.069595959595959,sRandomWalk,Cost, 104.38450857744039, Score, -4.2143434343434345, PathLength, 207.0,sConstrainedRandomWalk,Cost, 41.45346991326545, Score, -1.684444444444444, PathLength, 82.0,sLowEdgeCost,Cost, 1.986464620815053, Score, -1.727474747474746, PathLength, 84.0,sDepthFirstSearch,Cost, 41.846421266107384, Score, -1.6870707070707065, PathLength, 82.0,sDepthFirstSearchLowCost,Cost, 1.8926196835000184, Score, -1.7038383838383828, PathLength, 83.0,sBreadthFirstSearch,Cost, 41.84119846115169, Score, -1.6880808080808072, PathLength, 82.0,sBreadthFirstSearchLowCost,Cost, 41.99999406395411, Score, -1.6913131313131304, PathLength, 82.0,sBacktrackPath,Cost, 19.314146158132942, Score, -2.9080808080808085, PathLength, 142.0,sLeastConnectedFirst,Cost, 41.809706661170694, Score, -1.6858585858585853, PathLength, 82.0,sMostConnectedFirst,Cost, 39.65994594644755, Score, -1.7054545454545447, PathLength, 83.0,
hRandomSet,Cost, 0.2385715784051249, Score, 2.091656565656565,sRandomWalk,Cost, 108.81345969767385, Score, -4.423636363636364, PathLength, 217.0,sConstrainedRandomWalk,Cost, 41.6336098363496, Score, -1.7066666666666654, PathLength, 83.0,sLowEdgeCost,Cost, 1.8706982216544128, Score, -1.7117171717171715, PathLength, 83.0,sDepthFirstSearch,Cost, 42.69327908735954, Score, -1.73111111111111, PathLength, 84.0,sDepthFirstSearchLowCost,Cost, 2.0462685858137513, Score, -1.758787878787877, PathLength, 86.0,sBreadthFirstSearch,Cost, 42.92222700397317, Score, -1.7410101010101, PathLength, 85.0,sBreadthFirstSearchLowCost,Cost, 42.921042310716096, Score, -1.7426262626262616, PathLength, 85.0,sBacktrackPath,Cost, 13.486477990483568, Score, -2.627878787878789, PathLength, 129.0,sLeastConnectedFirst,Cost, 43.05135907681244, Score, -1.739191919191918, PathLength, 85.0,sMostConnectedFirst,Cost, 40.29250595958953, Score, -1.7339393939393932, PathLength, 84.0,
hRandomFixedDistance,Cost, 21.77274851542809, Score, 2.065757575757576,sRandomWalk,Cost, 117.50825772844735, Score, -4.739999999999999, PathLength, 233.0,sConstrainedRandomWalk,Cost, 40.84727934844298, Score, -1.6545454545454534, PathLength, 80.0,sLowEdgeCost,Cost, 1.7091483477527578, Score, -1.6462626262626257, PathLength, 80.0,sDepthFirstSearch,Cost, 40.712848030144144, Score, -1.6408080808080803, PathLength, 80.0,sDepthFirstSearchLowCost,Cost, 1.7642541371731337, Score, -1.6793939393939386, PathLength, 82.0,sBreadthFirstSearch,Cost, 41.059179238472964, Score, -1.6577777777777771, PathLength, 81.0,sBreadthFirstSearchLowCost,Cost, 41.01571324305206, Score, -1.6559595959595952, PathLength, 80.0,sBacktrackPath,Cost, 13.759958487036615, Score, -2.6254545454545455, PathLength, 128.0,sLeastConnectedFirst,Cost, 41.15875290193126, Score, -1.6589898989898981, PathLength, 81.0,sMostConnectedFirst,Cost, 39.21152681628568, Score, -1.6983838383838377, PathLength, 83.0,
hLowEdgeCostRandomFixedDistance,Cost, 0.2216902346588829, Score, 1.931595959595959,sRandomWalk,Cost, 111.04014470731774, Score, -4.495555555555556, PathLength, 221.0,sConstrainedRandomWalk,Cost, 41.863654779894794, Score, -1.719797979797979, PathLength, 84.0,sLowEdgeCost,Cost, 0.9203041427367122, Score, -1.1531313131313135, PathLength, 56.0,sDepthFirstSearch,Cost, 42.276932926923465, Score, -1.7030303030303022, PathLength, 83.0,sDepthFirstSearchLowCost,Cost, 0.9984366552863844, Score, -1.1945454545454546, PathLength, 58.0,sBreadthFirstSearch,Cost, 42.324285639474574, Score, -1.6985858585858578, PathLength, 83.0,sBreadthFirstSearchLowCost,Cost, 42.29411190187067, Score, -1.7022222222222214, PathLength, 83.0,sBacktrackPath,Cost, 10.454104135967999, Score, -2.1991919191919207, PathLength, 107.0,sLeastConnectedFirst,Cost, 42.31642204189723, Score, -1.7032323232323225, PathLength, 83.0,sMostConnectedFirst,Cost, 40.772774789327826, Score, -1.7466666666666664, PathLength, 85.0,
hMinimumConnectivity,Cost, 2.42617400233628, Score, 2.0772525252525242,sRandomWalk,Cost, 117.30132419162236, Score, -4.77858585858586, PathLength, 235.0,sConstrainedRandomWalk,Cost, 41.38968311356975, Score, -1.7072727272727268, PathLength, 83.0,sLowEdgeCost,Cost, 1.918639169615435, Score, -1.7147474747474742, PathLength, 83.0,sDepthFirstSearch,Cost, 41.953454529106295, Score, -1.7020202020202004, PathLength, 83.0,sDepthFirstSearchLowCost,Cost, 1.895273045899933, Score, -1.689696969696968, PathLength, 82.0,sBreadthFirstSearch,Cost, 42.001245794246785, Score, -1.7044444444444429, PathLength, 83.0,sBreadthFirstSearchLowCost,Cost, 41.90689542548316, Score, -1.6977777777777763, PathLength, 83.0,sBacktrackPath,Cost, 10.009791707317923, Score, -2.4256565656565674, PathLength, 119.0,sLeastConnectedFirst,Cost, 41.89546696156802, Score, -1.6995959595959582, PathLength, 83.0,sMostConnectedFirst,Cost, 38.14193759621533, Score, -1.6527272727272717, PathLength, 80.0,
hMaxDistance,Cost, 201.88429202989207, Score, 2.1162626262626265,sRandomWalk,Cost, 121.75466091869666, Score, -4.929090909090908, PathLength, 242.0,sConstrainedRandomWalk,Cost, 41.55033764794542, Score, -1.7006060606060602, PathLength, 83.0,sLowEdgeCost,Cost, 1.870269358407766, Score, -1.6442424242424227, PathLength, 80.0,sDepthFirstSearch,Cost, 43.174900387730474, Score, -1.7541414141414131, PathLength, 85.0,sDepthFirstSearchLowCost,Cost, 1.8398978991133563, Score, -1.619393939393938, PathLength, 79.0,sBreadthFirstSearch,Cost, 43.25966631111268, Score, -1.7523232323232316, PathLength, 85.0,sBreadthFirstSearchLowCost,Cost, 43.14638308820341, Score, -1.7525252525252517, PathLength, 85.0,sBacktrackPath,Cost, 13.17595649315624, Score, -2.5640404040404055, PathLength, 125.0,sLeastConnectedFirst,Cost, 43.2016732953105, Score, -1.7511111111111104, PathLength, 85.0,sMostConnectedFirst,Cost, 39.28891297873262, Score, -1.6951515151515142, PathLength, 82.0,
hRandom,Cost, 4.26015720365125, Score, 2.0569696969696976,sRandomWalk,Cost, 110.54653276805024, Score, -4.456565656565657, PathLength, 219.0,sConstrainedRandomWalk,Cost, 42.04670639086217, Score, -1.6915151515151507, PathLength, 82.0,sLowEdgeCost,Cost, 2.2587994920583707, Score, -1.7197979797979779, PathLength, 84.0,sDepthFirstSearch,Cost, 39.003729423005005, Score, -1.6717171717171708, PathLength, 81.0,sDepthFirstSearchLowCost,Cost, 2.302462400396379, Score, -1.7094949494949483, PathLength, 83.0,sBreadthFirstSearch,Cost, 38.78318608657046, Score, -1.66121212121212, PathLength, 81.0,sBreadthFirstSearchLowCost,Cost, 38.85470075961631, Score, -1.6694949494949487, PathLength, 81.0,sBacktrackPath,Cost, 13.718351276555365, Score, -2.62989898989899, PathLength, 129.0,sLeastConnectedFirst,Cost, 38.95686440114359, Score, -1.6656565656565647, PathLength, 81.0,sMostConnectedFirst,Cost, 38.68957170320325, Score, -1.6943434343434334, PathLength, 82.0,
hRandomDirection,Cost, 1.987575443328268, Score, 2.116080808080808,sRandomWalk,Cost, 118.46166271574691, Score, -4.7377777777777785, PathLength, 233.0,sConstrainedRandomWalk,Cost, 41.571329252747674, Score, -1.6874747474747458, PathLength, 82.0,sLowEdgeCost,Cost, 2.3726108651183084, Score, -1.7305050505050499, PathLength, 84.0,sDepthFirstSearch,Cost, 39.208091553603126, Score, -1.6818181818181805, PathLength, 82.0,sDepthFirstSearchLowCost,Cost, 2.245164171680206, Score, -1.7189898989898984, PathLength, 84.0,sBreadthFirstSearch,Cost, 39.236042243215124, Score, -1.6804040404040392, PathLength, 82.0,sBreadthFirstSearchLowCost,Cost, 39.39429504254327, Score, -1.6824242424242413, PathLength, 82.0,sBacktrackPath,Cost, 19.008181425890417, Score, -2.882626262626262, PathLength, 141.0,sLeastConnectedFirst,Cost, 39.25264903535296, Score, -1.6824242424242417, PathLength, 82.0,sMostConnectedFirst,Cost, 38.17672060841532, Score, -1.6763636363636354, PathLength, 81.0,
hRandomSet,Cost, 0.28681684672236935, Score, 2.1758585858585855,sRandomWalk,Cost, 121.26888355313187, Score, -4.883838383838383, PathLength, 240.0,sConstrainedRandomWalk,Cost, 42.205081783377835, Score, -1.7187878787878785, PathLength, 84.0,sLowEdgeCost,Cost, 2.152043425249187, Score, -1.6882828282828282, PathLength, 82.0,sDepthFirstSearch,Cost, 40.174484757147916, Score, -1.7242424242424226, PathLength, 84.0,sDepthFirstSearchLowCost,Cost, 2.316954362132395, Score, -1.7258585858585849, PathLength, 84.0,sBreadthFirstSearch,Cost, 40.242990136146304, Score, -1.727474747474746, PathLength, 84.0,sBreadthFirstSearchLowCost,Cost, 40.26326549479268, Score, -1.7252525252525237, PathLength, 84.0,sBacktrackPath,Cost, 25.164992415881265, Score, -3.1501010101010087, PathLength, 154.0,sLeastConnectedFirst,Cost, 40.233517680700736, Score, -1.7268686868686853, PathLength, 84.0,sMostConnectedFirst,Cost, 38.43253551370398, Score, -1.6878787878787873, PathLength, 82.0,
hRandomFixedDistance,Cost, 24.683160850806715, Score, 2.0784646464646457,sRandomWalk,Cost, 107.79757227556897, Score, -4.356565656565657, PathLength, 214.0,sConstrainedRandomWalk,Cost, 41.40634051682979, Score, -1.676767676767676, PathLength, 82.0,sLowEdgeCost,Cost, 2.130583918240266, Score, -1.6614141414141415, PathLength, 81.0,sDepthFirstSearch,Cost, 39.66804349658766, Score, -1.7046464646464639, PathLength, 83.0,sDepthFirstSearchLowCost,Cost, 2.114529034542685, Score, -1.6680808080808072, PathLength, 81.0,sBreadthFirstSearch,Cost, 39.76649629619986, Score, -1.703636363636363, PathLength, 83.0,sBreadthFirstSearchLowCost,Cost, 39.640410065949276, Score, -1.699999999999999, PathLength, 83.0,sBacktrackPath,Cost, 18.446459355570752, Score, -2.885858585858587, PathLength, 141.0,sLeastConnectedFirst,Cost, 39.17888321141484, Score, -1.6824242424242417, PathLength, 82.0,sMostConnectedFirst,Cost, 39.90442368265503, Score, -1.7452525252525248, PathLength, 85.0,
