[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 4.406116982883131, Score, 47.284814814814816,sConstrainedRandomWalk,Cost, 46.79945257072316, Score, -31.360000000000003, PathLength, 93.0,sLowEdgeCost,Cost, 27.738534855765952, Score, -30.83666666666667, PathLength, 91.0,sDepthFirstSearch,Cost, 47.484073389172444, Score, -30.27333333333334, PathLength, 89.0,sDepthFirstSearchLowCost,Cost, 26.00180084705414, Score, -30.73666666666666, PathLength, 91.0,sBreadthFirstSearch,Cost, 59.77066671076031, Score, -91.34666666666668, PathLength, 273.0,sBreadthFirstSearchLowCost,Cost, 60.11136165846801, Score, -92.31666666666665, PathLength, 275.0,sBacktrackPath,Cost, 56.061184516868686, Score, -55.809999999999974, PathLength, 166.0,sLeastConnectedFirst,Cost, 45.32520827137344, Score, -30.21333333333334, PathLength, 89.0,sMostConnectedFirst,Cost, 46.76381005836608, Score, -32.66999999999999, PathLength, 97.0,
hRandomDirection,Cost, 1.9697542602253177, Score, 49.453703703703695,sConstrainedRandomWalk,Cost, 47.563748059542206, Score, -31.88333333333333, PathLength, 94.0,sLowEdgeCost,Cost, 28.639332893552215, Score, -31.65999999999999, PathLength, 93.0,sDepthFirstSearch,Cost, 50.89638622678272, Score, -32.669999999999995, PathLength, 97.0,sDepthFirstSearchLowCost,Cost, 26.743728742291104, Score, -31.01333333333335, PathLength, 92.0,sBreadthFirstSearch,Cost, 62.434591155360685, Score, -97.16, PathLength, 290.0,sBreadthFirstSearchLowCost,Cost, 61.03341586250911, Score, -94.88666666666664, PathLength, 283.0,sBacktrackPath,Cost, 61.571943762405866, Score, -59.75333333333336, PathLength, 178.0,sLeastConnectedFirst,Cost, 47.62068821439476, Score, -31.553333333333338, PathLength, 93.0,sMostConnectedFirst,Cost, 50.08251726083411, Score, -34.50333333333334, PathLength, 102.0,
hRandomSet,Cost, 4.191876688368759, Score, 53.48925925925925,sConstrainedRandomWalk,Cost, 50.10434921976113, Score, -33.696666666666665, PathLength, 100.0,sLowEdgeCost,Cost, 34.043262784038944, Score, -35.43333333333333, PathLength, 105.0,sDepthFirstSearch,Cost, 56.220402033110865, Score, -35.779999999999994, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 29.450171207260052, Score, -33.286666666666655, PathLength, 98.0,sBreadthFirstSearch,Cost, 71.5079294407632, Score, -109.66666666666663, PathLength, 328.0,sBreadthFirstSearchLowCost,Cost, 71.87088599743949, Score, -111.55999999999996, PathLength, 333.0,sBacktrackPath,Cost, 52.496169445691194, Score, -54.14333333333336, PathLength, 161.0,sLeastConnectedFirst,Cost, 45.14434574267405, Score, -30.20666666666666, PathLength, 89.0,sMostConnectedFirst,Cost, 54.1946032094578, Score, -37.629999999999995, PathLength, 111.0,
hRandomFixedDistance,Cost, 2.1115208698718377, Score, 47.82592592592593,sConstrainedRandomWalk,Cost, 50.24639063571333, Score, -33.63, PathLength, 99.0,sLowEdgeCost,Cost, 30.32878980088997, Score, -32.75333333333334, PathLength, 97.0,sDepthFirstSearch,Cost, 47.54031044417895, Score, -30.31333333333334, PathLength, 89.0,sDepthFirstSearchLowCost,Cost, 27.311494341351207, Score, -31.426666666666666, PathLength, 93.0,sBreadthFirstSearch,Cost, 59.77415474823738, Score, -92.69000000000004, PathLength, 277.0,sBreadthFirstSearchLowCost,Cost, 60.67036073607375, Score, -93.73999999999998, PathLength, 280.0,sBacktrackPath,Cost, 53.631232003216155, Score, -53.86666666666667, PathLength, 160.0,sLeastConnectedFirst,Cost, 46.652950138911365, Score, -30.81333333333333, PathLength, 91.0,sMostConnectedFirst,Cost, 44.7566014306911, Score, -31.199999999999992, PathLength, 92.0,
hLowEdgeCostRandomFixedDistance,Cost, 3.3949501715920025, Score, 39.392592592592585,sConstrainedRandomWalk,Cost, 46.264886408315945, Score, -31.126666666666665, PathLength, 92.0,sLowEdgeCost,Cost, 9.135858141092722, Score, -15.556666666666663, PathLength, 45.0,sDepthFirstSearch,Cost, 51.35455533673171, Score, -33.02666666666668, PathLength, 98.0,sDepthFirstSearchLowCost,Cost, 9.843893657711405, Score, -16.346666666666668, PathLength, 48.0,sBreadthFirstSearch,Cost, 54.754210453553505, Score, -84.16333333333333, PathLength, 251.0,sBreadthFirstSearchLowCost,Cost, 55.0020389205928, Score, -86.11000000000001, PathLength, 257.0,sBacktrackPath,Cost, 18.41419545784784, Score, -25.783333333333324, PathLength, 76.0,sLeastConnectedFirst,Cost, 48.21124123523601, Score, -32.02000000000001, PathLength, 95.0,sMostConnectedFirst,Cost, 43.5895572704737, Score, -30.39999999999999, PathLength, 90.0,
hMinimumConnectivity,Cost, 2125.3426731489208, Score, 178.89629629629627,sConstrainedRandomWalk,Cost, 99.28067961039817, Score, -66.12666666666667, PathLength, 197.0,sLowEdgeCost,Cost, 106.12501307440881, Score, -83.60999999999999, PathLength, 249.0,sDepthFirstSearch,Cost, 92.37575037410365, Score, -59.36000000000002, PathLength, 177.0,sDepthFirstSearchLowCost,Cost, 56.46963098242901, Score, -57.71, PathLength, 172.0,sBreadthFirstSearch,Cost, 170.70276745817256, Score, -264.17666666666656, PathLength, 791.0,sBreadthFirstSearchLowCost,Cost, 159.67803635658396, Score, -248.52333333333328, PathLength, 744.0,sBacktrackPath,Cost, 998.348550295319, Score, -706.7266666666667, PathLength, 2119.0,sLeastConnectedFirst,Cost, 37.8692096154005, Score, -24.85333333333333, PathLength, 73.0,sMostConnectedFirst,Cost, 146.80778441519297, Score, -98.97999999999998, PathLength, 295.0,
hMaxDistance,Cost, 1.9843173262447087, Score, 47.54444444444445,sConstrainedRandomWalk,Cost, 52.37901765978716, Score, -34.68666666666667, PathLength, 103.0,sLowEdgeCost,Cost, 27.635199916631585, Score, -30.95666666666666, PathLength, 91.0,sDepthFirstSearch,Cost, 49.123472563502645, Score, -31.696666666666662, PathLength, 94.0,sDepthFirstSearchLowCost,Cost, 26.404981652530843, Score, -31.303333333333327, PathLength, 92.0,sBreadthFirstSearch,Cost, 61.17169981102665, Score, -93.84999999999998, PathLength, 280.0,sBreadthFirstSearchLowCost,Cost, 59.201482123094245, Score, -91.06666666666669, PathLength, 272.0,sBacktrackPath,Cost, 46.04129420364835, Score, -49.35666666666669, PathLength, 147.0,sLeastConnectedFirst,Cost, 46.01481839012019, Score, -30.493333333333336, PathLength, 90.0,sMostConnectedFirst,Cost, 49.33349109623747, Score, -34.490000000000016, PathLength, 102.0,
hRandom,Cost, 4.650566761211586, Score, 50.036296296296314,sConstrainedRandomWalk,Cost, 48.222699931018425, Score, -31.70333333333334, PathLength, 94.0,sLowEdgeCost,Cost, 31.217550146227655, Score, -31.740000000000006, PathLength, 94.0,sDepthFirstSearch,Cost, 47.18276746335025, Score, -31.766666666666662, PathLength, 94.0,sDepthFirstSearchLowCost,Cost, 29.228386056180547, Score, -31.31999999999999, PathLength, 92.0,sBreadthFirstSearch,Cost, 61.06899725607118, Score, -99.44666666666666, PathLength, 297.0,sBreadthFirstSearchLowCost,Cost, 61.093629418324106, Score, -99.50000000000001, PathLength, 297.0,sBacktrackPath,Cost, 57.07032791617484, Score, -60.48666666666668, PathLength, 180.0,sLeastConnectedFirst,Cost, 48.28372433125746, Score, -30.99333333333333, PathLength, 91.0,sMostConnectedFirst,Cost, 51.434899889698826, Score, -33.37, PathLength, 99.0,
hRandomDirection,Cost, 2.087097012084094, Score, 50.53481481481481,sConstrainedRandomWalk,Cost, 49.20992053031145, Score, -32.190000000000005, PathLength, 95.0,sLowEdgeCost,Cost, 29.072017774333048, Score, -29.876666666666654, PathLength, 88.0,sDepthFirstSearch,Cost, 48.026229282114635, Score, -32.22666666666667, PathLength, 95.0,sDepthFirstSearchLowCost,Cost, 25.752353537075614, Score, -28.57666666666666, PathLength, 84.0,sBreadthFirstSearch,Cost, 59.76140238633775, Score, -98.55999999999999, PathLength, 294.0,sBreadthFirstSearchLowCost,Cost, 60.20572494659626, Score, -97.49666666666666, PathLength, 291.0,sBacktrackPath,Cost, 67.11858822006486, Score, -67.99333333333334, PathLength, 202.0,sLeastConnectedFirst,Cost, 46.00495330670005, Score, -29.53666666666667, PathLength, 87.0,sMostConnectedFirst,Cost, 60.01711439320142, Score, -38.35666666666666, PathLength, 114.0,
hRandomSet,Cost, 4.438503711553215, Score, 59.83074074074072,sConstrainedRandomWalk,Cost, 57.398174574905, Score, -37.51333333333333, PathLength, 111.0,sLowEdgeCost,Cost, 40.67112632509276, Score, -37.973333333333315, PathLength, 112.0,sDepthFirstSearch,Cost, 53.3915109670083, Score, -35.37666666666667, PathLength, 105.0,sDepthFirstSearchLowCost,Cost, 33.43298254817353, Score, -34.873333333333335, PathLength, 103.0,sBreadthFirstSearch,Cost, 73.65831301498086, Score, -120.64000000000004, PathLength, 360.0,sBreadthFirstSearchLowCost,Cost, 71.09308540957828, Score, -116.10666666666674, PathLength, 347.0,sBacktrackPath,Cost, 84.22338989099627, Score, -81.25666666666669, PathLength, 242.0,sLeastConnectedFirst,Cost, 44.65547649566773, Score, -28.743333333333325, PathLength, 85.0,sMostConnectedFirst,Cost, 71.74118534379568, Score, -45.99333333333335, PathLength, 136.0,
hRandomFixedDistance,Cost, 12.419683842201438, Score, 50.65740740740741,sConstrainedRandomWalk,Cost, 50.64593656021679, Score, -33.21666666666667, PathLength, 98.0,sLowEdgeCost,Cost, 32.79781769907844, Score, -32.849999999999994, PathLength, 97.0,sDepthFirstSearch,Cost, 48.48367799073904, Score, -32.35, PathLength, 96.0,sDepthFirstSearchLowCost,Cost, 30.142693436208425, Score, -32.35666666666666, PathLength, 96.0,sBreadthFirstSearch,Cost, 65.57307797665263, Score, -107.69666666666672, PathLength, 322.0,sBreadthFirstSearchLowCost,Cost, 55.88771081517183, Score, -91.71333333333331, PathLength, 274.0,sBacktrackPath,Cost, 55.60857783621156, Score, -59.63999999999999, PathLength, 177.0,sLeastConnectedFirst,Cost, 49.026747121472866, Score, -31.37333333333335, PathLength, 93.0,sMostConnectedFirst,Cost, 53.3604201798133, Score, -34.71999999999999, PathLength, 103.0,
