[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 4.632915706405061, Score, 103.01265822784808,sConstrainedRandomWalk,Cost, 78.00337311886267, Score, -103.01265822784808, PathLength, 161.0,
hRandomDirection,Cost, 2.0588557948513846, Score, 92.67088607594937,sConstrainedRandomWalk,Cost, 70.50373861950082, Score, -92.67088607594937, PathLength, 145.0,
hRandomSet,Cost, 6.571458282664038, Score, 124.60759493670886,sConstrainedRandomWalk,Cost, 93.25871541113986, Score, -124.60759493670886, PathLength, 195.0,
hRandomFixedDistance,Cost, 16.471561863919366, Score, 105.67721518987335,sConstrainedRandomWalk,Cost, 80.56456812759238, Score, -105.67721518987335, PathLength, 165.0,
hLowEdgeCostRandomFixedDistance,Cost, 9.745180065728405, Score, 93.56962025316457,sConstrainedRandomWalk,Cost, 70.47686996200517, Score, -93.56962025316457, PathLength, 146.0,
hMinimumConnectivity,Cost, 17.161447294077043, Score, 166.34810126582278,sConstrainedRandomWalk,Cost, 124.16008044261436, Score, -166.34810126582278, PathLength, 261.0,
hMaxDistance,Cost, 2.077979361038955, Score, 96.2278481012658,sConstrainedRandomWalk,Cost, 72.3721290241774, Score, -96.2278481012658, PathLength, 151.0,
hRandom,Cost, 4.983065831815593, Score, 102.28082191780823,sConstrainedRandomWalk,Cost, 76.07486116465064, Score, -102.28082191780823, PathLength, 148.0,
hRandomDirection,Cost, 2.2162399723630717, Score, 106.67123287671231,sConstrainedRandomWalk,Cost, 78.89767318167108, Score, -106.67123287671231, PathLength, 154.0,
hRandomSet,Cost, 8.256405315961858, Score, 174.3561643835617,sConstrainedRandomWalk,Cost, 129.6513794573752, Score, -174.3561643835617, PathLength, 253.0,
hRandomFixedDistance,Cost, 15.360647320533133, Score, 106.94520547945199,sConstrainedRandomWalk,Cost, 79.12791246183242, Score, -106.94520547945199, PathLength, 155.0,
hLowEdgeCostRandomFixedDistance,Cost, 1.2400124782428077, Score, 108.42465753424658,sConstrainedRandomWalk,Cost, 81.48660260795859, Score, -108.42465753424658, PathLength, 157.0,
hMinimumConnectivity,Cost, 15.33985444861797, Score, 239.30821917808214,sConstrainedRandomWalk,Cost, 178.2596017173377, Score, -239.30821917808214, PathLength, 348.0,
hMaxDistance,Cost, 171.58420725276522, Score, 130.89726027397245,sConstrainedRandomWalk,Cost, 97.10658183364875, Score, -130.89726027397245, PathLength, 190.0,
hRandom,Cost, 4.587146407298496, Score, 74.70303030303029,sConstrainedRandomWalk,Cost, 59.12509510892281, Score, -74.70303030303029, PathLength, 122.0,
hRandomDirection,Cost, 2.1897863067590935, Score, 77.14545454545456,sConstrainedRandomWalk,Cost, 61.70940335250684, Score, -77.14545454545456, PathLength, 126.0,
hRandomSet,Cost, 6.520137482880574, Score, 116.09696969696978,sConstrainedRandomWalk,Cost, 92.04017536630701, Score, -116.09696969696978, PathLength, 190.0,
