[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 0.4529476488449999, Score, 17.536666666666665,sConstrainedRandomWalk,Cost, 25.3417675803509, Score, -17.536666666666665, PathLength, 51.0,
hRandomDirection,Cost, 0.0, Score, 17.983333333333334,sConstrainedRandomWalk,Cost, 25.874307213495907, Score, -17.983333333333334, PathLength, 52.0,
hRandomSet,Cost, 1.2640890001172793, Score, 18.01,sConstrainedRandomWalk,Cost, 26.013869561809216, Score, -18.01, PathLength, 53.0,
hRandomFixedDistance,Cost, 3.752458288582665, Score, 16.84666666666667,sConstrainedRandomWalk,Cost, 24.066221989703816, Score, -16.84666666666667, PathLength, 49.0,
hLowEdgeCostRandomFixedDistance,Cost, 0.47405654047039364, Score, 17.876666666666676,sConstrainedRandomWalk,Cost, 25.865243960224117, Score, -17.876666666666676, PathLength, 52.0,
hMinimumConnectivity,Cost, 21.619013317832156, Score, 32.739999999999995,sConstrainedRandomWalk,Cost, 47.4680937748564, Score, -32.739999999999995, PathLength, 97.0,
hMaxDistance,Cost, 0.0, Score, 19.956666666666667,sConstrainedRandomWalk,Cost, 28.673073486330146, Score, -19.956666666666667, PathLength, 58.0,
hRandom,Cost, 1.5011703678617345, Score, 22.623333333333335,sConstrainedRandomWalk,Cost, 34.15116321417408, Score, -22.623333333333335, PathLength, 66.0,
hRandomDirection,Cost, 0.4978948327471106, Score, 26.550000000000008,sConstrainedRandomWalk,Cost, 40.202469899067545, Score, -26.550000000000008, PathLength, 78.0,
hRandomSet,Cost, 2.252324659903893, Score, 27.423333333333332,sConstrainedRandomWalk,Cost, 41.77126750010647, Score, -27.423333333333332, PathLength, 81.0,
hRandomFixedDistance,Cost, 7.621161727141891, Score, 25.169999999999995,sConstrainedRandomWalk,Cost, 38.252988372691945, Score, -25.169999999999995, PathLength, 74.0,
hLowEdgeCostRandomFixedDistance,Cost, 2.9166450165737445, Score, 23.170000000000005,sConstrainedRandomWalk,Cost, 35.14712066746052, Score, -23.170000000000005, PathLength, 68.0,
hMinimumConnectivity,Cost, 65.73808596696786, Score, 75.74333333333335,sConstrainedRandomWalk,Cost, 116.66546406628908, Score, -75.74333333333335, PathLength, 226.0,
hMaxDistance,Cost, 34.93385865499093, Score, 27.913333333333345,sConstrainedRandomWalk,Cost, 42.643614540442, Score, -27.913333333333345, PathLength, 82.0,
hRandom,Cost, 2.504051935923212, Score, 24.826666666666664,sConstrainedRandomWalk,Cost, 37.05277396896677, Score, -24.826666666666664, PathLength, 73.0,
hRandomDirection,Cost, 0.9855136339472184, Score, 28.003333333333334,sConstrainedRandomWalk,Cost, 41.84780109796114, Score, -28.003333333333334, PathLength, 83.0,
hRandomSet,Cost, 2.439414881205463, Score, 28.66,sConstrainedRandomWalk,Cost, 42.85786816606432, Score, -28.66, PathLength, 84.0,
hRandomFixedDistance,Cost, 5.55409105646532, Score, 27.39333333333332,sConstrainedRandomWalk,Cost, 40.94001820698171, Score, -27.39333333333332, PathLength, 81.0,
hLowEdgeCostRandomFixedDistance,Cost, 0.2909155986363659, Score, 27.39333333333333,sConstrainedRandomWalk,Cost, 41.071903643421095, Score, -27.39333333333333, PathLength, 81.0,
hMinimumConnectivity,Cost, 460.662064230458, Score, 47.8866666666667,sConstrainedRandomWalk,Cost, 71.9652421321854, Score, -47.8866666666667, PathLength, 142.0,
hMaxDistance,Cost, 0.9918536018821988, Score, 25.466666666666676,sConstrainedRandomWalk,Cost, 37.803275647999065, Score, -25.466666666666676, PathLength, 75.0,
hRandom,Cost, 3.407006595402811, Score, 27.56333333333333,sConstrainedRandomWalk,Cost, 39.09586939572748, Score, -27.56333333333333, PathLength, 81.0,
hRandomDirection,Cost, 1.4275708811072603, Score, 31.726666666666667,sConstrainedRandomWalk,Cost, 45.08399349516313, Score, -31.726666666666667, PathLength, 94.0,
hRandomSet,Cost, 3.723456469718201, Score, 35.76333333333333,sConstrainedRandomWalk,Cost, 50.78084052746497, Score, -35.76333333333333, PathLength, 106.0,
hRandomFixedDistance,Cost, 1.47191562846302, Score, 29.18999999999999,sConstrainedRandomWalk,Cost, 41.24141028039548, Score, -29.18999999999999, PathLength, 86.0,
hLowEdgeCostRandomFixedDistance,Cost, 4.399907833900441, Score, 29.88333333333333,sConstrainedRandomWalk,Cost, 42.935700723477964, Score, -29.88333333333333, PathLength, 88.0,
hMinimumConnectivity,Cost, 1053.5586173917031, Score, 81.88999999999999,sConstrainedRandomWalk,Cost, 117.16661117654394, Score, -81.88999999999999, PathLength, 244.0,
hMaxDistance,Cost, 145.1207229554016, Score, 31.24666666666667,sConstrainedRandomWalk,Cost, 44.176673292316394, Score, -31.24666666666667, PathLength, 92.0,
hRandom,Cost, 4.645760766202399, Score, 32.45666666666668,sConstrainedRandomWalk,Cost, 47.76517661612215, Score, -32.45666666666668, PathLength, 96.0,
hRandomDirection,Cost, 2.0389001314425075, Score, 33.20000000000001,sConstrainedRandomWalk,Cost, 49.40276604807741, Score, -33.20000000000001, PathLength, 98.0,
hRandomSet,Cost, 4.422866861054074, Score, 35.733333333333334,sConstrainedRandomWalk,Cost, 53.238040587708404, Score, -35.733333333333334, PathLength, 106.0,
hRandomFixedDistance,Cost, 24.442213296215495, Score, 31.76666666666665,sConstrainedRandomWalk,Cost, 47.03855479303812, Score, -31.76666666666665, PathLength, 94.0,
hLowEdgeCostRandomFixedDistance,Cost, 3.9384167417782634, Score, 31.273333333333326,sConstrainedRandomWalk,Cost, 46.6610802794913, Score, -31.273333333333326, PathLength, 92.0,
hMinimumConnectivity,Cost, 87.41629160256838, Score, 61.28666666666667,sConstrainedRandomWalk,Cost, 91.45286172743718, Score, -61.28666666666667, PathLength, 182.0,
hMaxDistance,Cost, 13.168197210602584, Score, 36.89999999999999,sConstrainedRandomWalk,Cost, 54.71551830018862, Score, -36.89999999999999, PathLength, 109.0,
hRandom,Cost, 5.462167747298114, Score, 33.49999999999999,sConstrainedRandomWalk,Cost, 50.44028258211593, Score, -33.49999999999999, PathLength, 99.0,
hRandomDirection,Cost, 2.5673017506179745, Score, 35.53666666666667,sConstrainedRandomWalk,Cost, 53.2251221426762, Score, -35.53666666666667, PathLength, 105.0,
hRandomSet,Cost, 5.5186165238389515, Score, 44.13333333333334,sConstrainedRandomWalk,Cost, 66.15751703765241, Score, -44.13333333333334, PathLength, 131.0,
hRandomFixedDistance,Cost, 2.5034502274973907, Score, 30.686666666666664,sConstrainedRandomWalk,Cost, 45.84705782604043, Score, -30.686666666666664, PathLength, 91.0,
hLowEdgeCostRandomFixedDistance,Cost, 9.84552627531972, Score, 34.636666666666684,sConstrainedRandomWalk,Cost, 51.870523394515104, Score, -34.636666666666684, PathLength, 102.0,
hMinimumConnectivity,Cost, 1883.2715730381135, Score, 91.08333333333331,sConstrainedRandomWalk,Cost, 136.60570804480966, Score, -91.08333333333331, PathLength, 272.0,
hMaxDistance,Cost, 251.20111623377022, Score, 37.36666666666667,sConstrainedRandomWalk,Cost, 55.7352699372535, Score, -37.36666666666667, PathLength, 111.0,
hRandom,Cost, 6.6938582995325, Score, 32.54999999999998,sConstrainedRandomWalk,Cost, 47.10596578809444, Score, -32.54999999999998, PathLength, 96.0,
hRandomDirection,Cost, 2.97296189087912, Score, 35.58333333333334,sConstrainedRandomWalk,Cost, 52.014764942740584, Score, -35.58333333333334, PathLength, 105.0,
hRandomSet,Cost, 5.522172326906839, Score, 47.44666666666668,sConstrainedRandomWalk,Cost, 69.52806508527006, Score, -47.44666666666668, PathLength, 141.0,
hRandomFixedDistance,Cost, 9.98021565970673, Score, 35.146666666666654,sConstrainedRandomWalk,Cost, 51.105846778918824, Score, -35.146666666666654, PathLength, 104.0,
hLowEdgeCostRandomFixedDistance,Cost, 13.60313350460388, Score, 37.43666666666668,sConstrainedRandomWalk,Cost, 55.09082189708688, Score, -37.43666666666668, PathLength, 111.0,
hMinimumConnectivity,Cost, 2728.744687350291, Score, 81.93,sConstrainedRandomWalk,Cost, 119.69934181473003, Score, -81.93, PathLength, 244.0,
hMaxDistance,Cost, 23.64122679531103, Score, 41.06999999999999,sConstrainedRandomWalk,Cost, 60.0309576375848, Score, -41.06999999999999, PathLength, 122.0,
hRandom,Cost, 7.324355632404302, Score, 34.42,sConstrainedRandomWalk,Cost, 51.32718422419524, Score, -34.42, PathLength, 102.0,
hRandomDirection,Cost, 3.391007707380696, Score, 33.10333333333333,sConstrainedRandomWalk,Cost, 49.32132762665787, Score, -33.10333333333333, PathLength, 98.0,
hRandomSet,Cost, 6.706652041609285, Score, 39.48333333333335,sConstrainedRandomWalk,Cost, 58.90615662374372, Score, -39.48333333333335, PathLength, 117.0,
