[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 0.5965559930830131, Score, 57.8,sConstrainedRandomWalk,Cost, 38.65903403058289, Score, -57.8, PathLength, 82.0,
hRandomDirection,Cost, 0.0, Score, 63.87586206896551,sConstrainedRandomWalk,Cost, 43.07324198825937, Score, -63.87586206896551, PathLength, 91.0,
hRandomSet,Cost, 2.4859963957965987, Score, 71.19310344827586,sConstrainedRandomWalk,Cost, 47.79743391223519, Score, -71.19310344827586, PathLength, 102.0,
hRandomFixedDistance,Cost, 2.7092291306320364, Score, 51.07586206896554,sConstrainedRandomWalk,Cost, 34.464771998215355, Score, -51.07586206896554, PathLength, 73.0,
hLowEdgeCostRandomFixedDistance,Cost, 0.0, Score, 64.8413793103448,sConstrainedRandomWalk,Cost, 43.64101326338229, Score, -64.8413793103448, PathLength, 93.0,
hMinimumConnectivity,Cost, 1.9334144660924224, Score, 97.59310344827588,sConstrainedRandomWalk,Cost, 65.43800267965479, Score, -97.59310344827588, PathLength, 140.0,
hMaxDistance,Cost, 0.0, Score, 77.35862068965517,sConstrainedRandomWalk,Cost, 52.264052744040185, Score, -77.35862068965517, PathLength, 111.0,
hRandom,Cost, 1.3345442558876803, Score, 76.81884057971017,sConstrainedRandomWalk,Cost, 47.63338450137253, Score, -76.81884057971017, PathLength, 105.0,
hRandomDirection,Cost, 0.40891475371677666, Score, 89.52898550724638,sConstrainedRandomWalk,Cost, 55.798673137712164, Score, -89.52898550724638, PathLength, 122.0,
hRandomSet,Cost, 3.6729232121394455, Score, 108.68840579710145,sConstrainedRandomWalk,Cost, 68.3776231069258, Score, -108.68840579710145, PathLength, 148.0,
hRandomFixedDistance,Cost, 0.4691483869795839, Score, 94.31884057971016,sConstrainedRandomWalk,Cost, 59.43228209619896, Score, -94.31884057971016, PathLength, 129.0,
hLowEdgeCostRandomFixedDistance,Cost, 1.213403268138757, Score, 62.91304347826086,sConstrainedRandomWalk,Cost, 38.72650701195507, Score, -62.91304347826086, PathLength, 85.0,
hMinimumConnectivity,Cost, 3.3950736968137907, Score, 142.1159420289856,sConstrainedRandomWalk,Cost, 89.13617627489741, Score, -142.1159420289856, PathLength, 195.0,
hMaxDistance,Cost, 0.44066368312747956, Score, 88.73913043478264,sConstrainedRandomWalk,Cost, 55.53211680986105, Score, -88.73913043478264, PathLength, 121.0,
hRandom,Cost, 2.791932310587921, Score, 86.01298701298698,sConstrainedRandomWalk,Cost, 67.15247060393371, Score, -86.01298701298698, PathLength, 131.0,
hRandomDirection,Cost, 1.074629740418718, Score, 86.71428571428571,sConstrainedRandomWalk,Cost, 68.397218081746, Score, -86.71428571428571, PathLength, 132.0,
hRandomSet,Cost, 5.07569839390356, Score, 117.89610389610387,sConstrainedRandomWalk,Cost, 93.0457304854842, Score, -117.89610389610387, PathLength, 180.0,
hRandomFixedDistance,Cost, 7.167512252866273, Score, 94.14285714285715,sConstrainedRandomWalk,Cost, 74.13163439523701, Score, -94.14285714285715, PathLength, 143.0,
hLowEdgeCostRandomFixedDistance,Cost, 11.426906536772306, Score, 96.6428571428571,sConstrainedRandomWalk,Cost, 75.13059665266867, Score, -96.6428571428571, PathLength, 147.0,
hMinimumConnectivity,Cost, 9.695813829342253, Score, 173.49350649350643,sConstrainedRandomWalk,Cost, 136.4834739567911, Score, -173.49350649350643, PathLength, 266.0,
hMaxDistance,Cost, 79.79133828613926, Score, 116.01948051948052,sConstrainedRandomWalk,Cost, 90.95120165903276, Score, -116.01948051948052, PathLength, 177.0,
hRandom,Cost, 3.4742292837270234, Score, 90.87671232876714,sConstrainedRandomWalk,Cost, 64.57808614623364, Score, -90.87671232876714, PathLength, 131.0,
hRandomDirection,Cost, 1.5777513251505522, Score, 85.73972602739724,sConstrainedRandomWalk,Cost, 60.63521129264919, Score, -85.73972602739724, PathLength, 124.0,
hRandomSet,Cost, 7.405470074161453, Score, 136.58219178082192,sConstrainedRandomWalk,Cost, 97.57484921735828, Score, -136.58219178082192, PathLength, 198.0,
hRandomFixedDistance,Cost, 9.24804356865269, Score, 116.53424657534241,sConstrainedRandomWalk,Cost, 83.32075239790395, Score, -116.53424657534241, PathLength, 169.0,
hLowEdgeCostRandomFixedDistance,Cost, 5.434850993422568, Score, 110.96575342465746,sConstrainedRandomWalk,Cost, 79.17703806554884, Score, -110.96575342465746, PathLength, 161.0,
hMinimumConnectivity,Cost, 12.33084334317694, Score, 176.7876712328768,sConstrainedRandomWalk,Cost, 125.95888976019656, Score, -176.7876712328768, PathLength, 257.0,
hMaxDistance,Cost, 1.5113771845632404, Score, 91.82876712328765,sConstrainedRandomWalk,Cost, 65.58254831524883, Score, -91.82876712328765, PathLength, 133.0,
hRandom,Cost, 4.585617594250961, Score, 80.70909090909089,sConstrainedRandomWalk,Cost, 64.07685580779645, Score, -80.70909090909089, PathLength, 132.0,
hRandomDirection,Cost, 2.033204475769727, Score, 76.2787878787879,sConstrainedRandomWalk,Cost, 60.51759812349643, Score, -76.2787878787879, PathLength, 124.0,
hRandomSet,Cost, 6.021712502387867, Score, 116.95151515151511,sConstrainedRandomWalk,Cost, 92.4502150985406, Score, -116.95151515151511, PathLength, 191.0,
hRandomFixedDistance,Cost, 11.610459716681978, Score, 87.45454545454541,sConstrainedRandomWalk,Cost, 68.85522433205917, Score, -87.45454545454541, PathLength, 143.0,
hLowEdgeCostRandomFixedDistance,Cost, 2.7484294486120033, Score, 91.73939393939399,sConstrainedRandomWalk,Cost, 72.08346303134545, Score, -91.73939393939399, PathLength, 150.0,
hMinimumConnectivity,Cost, 20.132226796762964, Score, 163.69090909090903,sConstrainedRandomWalk,Cost, 128.6365069241867, Score, -163.69090909090903, PathLength, 269.0,
hMaxDistance,Cost, 182.80731342188898, Score, 86.96363636363634,sConstrainedRandomWalk,Cost, 68.5652686260731, Score, -86.96363636363634, PathLength, 142.0,
hRandom,Cost, 6.1924253362881965, Score, 108.93081761006285,sConstrainedRandomWalk,Cost, 89.92001206957951, Score, -108.93081761006285, PathLength, 172.0,
hRandomDirection,Cost, 2.8713282517955663, Score, 97.9874213836478,sConstrainedRandomWalk,Cost, 80.42358227337252, Score, -97.9874213836478, PathLength, 154.0,
hRandomSet,Cost, 10.119626315987823, Score, 130.71698113207546,sConstrainedRandomWalk,Cost, 107.63235491808013, Score, -130.71698113207546, PathLength, 206.0,
hRandomFixedDistance,Cost, 18.57289786996037, Score, 95.31446540880505,sConstrainedRandomWalk,Cost, 78.32608494025112, Score, -95.31446540880505, PathLength, 150.0,
hLowEdgeCostRandomFixedDistance,Cost, 7.7119218109913845, Score, 107.43396226415102,sConstrainedRandomWalk,Cost, 88.00305910622068, Score, -107.43396226415102, PathLength, 169.0,
hMinimumConnectivity,Cost, 27.398081417598352, Score, 190.58490566037733,sConstrainedRandomWalk,Cost, 157.2125558820906, Score, -190.58490566037733, PathLength, 302.0,
hMaxDistance,Cost, 252.15689314104048, Score, 113.8616352201258,sConstrainedRandomWalk,Cost, 94.06058944488846, Score, -113.8616352201258, PathLength, 180.0,
hRandom,Cost, 7.770419667103609, Score, 107.60264900662253,sConstrainedRandomWalk,Cost, 86.63131187037352, Score, -107.60264900662253, PathLength, 161.0,
hRandomDirection,Cost, 3.8414793104517315, Score, 112.11920529801327,sConstrainedRandomWalk,Cost, 89.83776312376021, Score, -112.11920529801327, PathLength, 168.0,
hRandomSet,Cost, 11.41689991747736, Score, 162.67549668874173,sConstrainedRandomWalk,Cost, 130.3334982957752, Score, -162.67549668874173, PathLength, 244.0,
hRandomFixedDistance,Cost, 8.600019520920135, Score, 119.17218543046357,sConstrainedRandomWalk,Cost, 95.55344510856052, Score, -119.17218543046357, PathLength, 178.0,
hLowEdgeCostRandomFixedDistance,Cost, 22.159696350514686, Score, 124.19205298013244,sConstrainedRandomWalk,Cost, 99.8124466261414, Score, -124.19205298013244, PathLength, 186.0,
hMinimumConnectivity,Cost, 26.611934821338654, Score, 234.66225165562918,sConstrainedRandomWalk,Cost, 189.08904773648715, Score, -234.66225165562918, PathLength, 353.0,
hMaxDistance,Cost, 323.62640875750776, Score, 148.22516556291393,sConstrainedRandomWalk,Cost, 119.57088676811436, Score, -148.22516556291393, PathLength, 222.0,
hRandom,Cost, 8.385671508280348, Score, 115.81168831168827,sConstrainedRandomWalk,Cost, 88.89520134066933, Score, -115.81168831168827, PathLength, 177.0,
hRandomDirection,Cost, 4.113039396098719, Score, 107.24675324675329,sConstrainedRandomWalk,Cost, 82.49181457891773, Score, -107.24675324675329, PathLength, 164.0,
hRandomSet,Cost, 12.100145845917046, Score, 181.8766233766234,sConstrainedRandomWalk,Cost, 141.062018209559, Score, -181.8766233766234, PathLength, 279.0,
hRandomFixedDistance,Cost, 24.628894798700852, Score, 137.50649350649357,sConstrainedRandomWalk,Cost, 105.54865473866006, Score, -137.50649350649357, PathLength, 210.0,
hLowEdgeCostRandomFixedDistance,Cost, 20.231280796775916, Score, 157.77922077922082,sConstrainedRandomWalk,Cost, 121.67013978560291, Score, -157.77922077922082, PathLength, 241.0,
hMinimumConnectivity,Cost, 25.82611735263819, Score, 250.3116883116882,sConstrainedRandomWalk,Cost, 192.76303096879127, Score, -250.3116883116882, PathLength, 384.0,
hMaxDistance,Cost, 367.08629321114245, Score, 145.64285714285717,sConstrainedRandomWalk,Cost, 111.51762142920064, Score, -145.64285714285717, PathLength, 223.0,
hRandom,Cost, 8.811340574653718, Score, 148.15131578947364,sConstrainedRandomWalk,Cost, 106.58969586362535, Score, -148.15131578947364, PathLength, 224.0,
hRandomDirection,Cost, 4.5174488096984655, Score, 144.59868421052624,sConstrainedRandomWalk,Cost, 103.78641123445627, Score, -144.59868421052624, PathLength, 218.0,
hRandomSet,Cost, 12.301147462513466, Score, 167.83552631578948,sConstrainedRandomWalk,Cost, 120.00193847290313, Score, -167.83552631578948, PathLength, 254.0,
hRandomFixedDistance,Cost, 38.83020139437269, Score, 148.37499999999997,sConstrainedRandomWalk,Cost, 106.27654494707414, Score, -148.37499999999997, PathLength, 224.0,
hLowEdgeCostRandomFixedDistance,Cost, 17.861011358113732, Score, 143.68421052631575,sConstrainedRandomWalk,Cost, 103.10749514123543, Score, -143.68421052631575, PathLength, 217.0,
hMinimumConnectivity,Cost, 25.267784764084986, Score, 216.78947368421044,sConstrainedRandomWalk,Cost, 155.57455895357148, Score, -216.78947368421044, PathLength, 328.0,
hMaxDistance,Cost, 4.609439652409422, Score, 122.6513157894737,sConstrainedRandomWalk,Cost, 87.84828003007982, Score, -122.6513157894737, PathLength, 185.0,
hRandom,Cost, 11.221364716346624, Score, 122.45578231292517,sConstrainedRandomWalk,Cost, 91.38903334775866, Score, -122.45578231292517, PathLength, 179.0,
hRandomDirection,Cost, 5.346914469075051, Score, 133.3877551020408,sConstrainedRandomWalk,Cost, 99.43765613983176, Score, -133.3877551020408, PathLength, 195.0,
hRandomSet,Cost, 13.119144983954463, Score, 171.5646258503401,sConstrainedRandomWalk,Cost, 128.6592254284007, Score, -171.5646258503401, PathLength, 251.0,
hRandomFixedDistance,Cost, 5.357785433536188, Score, 122.89115646258504,sConstrainedRandomWalk,Cost, 92.39643433206521, Score, -122.89115646258504, PathLength, 179.0,
hLowEdgeCostRandomFixedDistance,Cost, 43.27422411393318, Score, 152.48299319727894,sConstrainedRandomWalk,Cost, 115.17925502632384, Score, -152.48299319727894, PathLength, 223.0,
hMinimumConnectivity,Cost, 29.75588231078958, Score, 235.01360544217678,sConstrainedRandomWalk,Cost, 174.41756495422868, Score, -235.01360544217678, PathLength, 344.0,
hMaxDistance,Cost, 523.6532804202753, Score, 150.9183673469387,sConstrainedRandomWalk,Cost, 113.1441806256249, Score, -150.9183673469387, PathLength, 220.0,
hRandom,Cost, 11.559520433846044, Score, 159.01360544217678,sConstrainedRandomWalk,Cost, 107.01504296116907, Score, -159.01360544217678, PathLength, 232.0,
hRandomDirection,Cost, 5.825586850180883, Score, 137.87074829931979,sConstrainedRandomWalk,Cost, 92.84704041369676, Score, -137.87074829931979, PathLength, 201.0,
hRandomSet,Cost, 14.148676049321718, Score, 207.4081632653062,sConstrainedRandomWalk,Cost, 140.79247279027865, Score, -207.4081632653062, PathLength, 303.0,
hRandomFixedDistance,Cost, 15.550908142096175, Score, 155.52380952380955,sConstrainedRandomWalk,Cost, 104.31842716926492, Score, -155.52380952380955, PathLength, 227.0,
hLowEdgeCostRandomFixedDistance,Cost, 24.496288434183477, Score, 169.50340136054422,sConstrainedRandomWalk,Cost, 114.10810659351495, Score, -169.50340136054422, PathLength, 248.0,
hMinimumConnectivity,Cost, 31.041185671790345, Score, 226.06802721088442,sConstrainedRandomWalk,Cost, 151.86138184710282, Score, -226.06802721088442, PathLength, 331.0,
hMaxDistance,Cost, 556.1668019090883, Score, 150.23809523809518,sConstrainedRandomWalk,Cost, 101.49725244287039, Score, -150.23809523809518, PathLength, 219.0,
hRandom,Cost, 13.650366854407332, Score, 162.1164383561644,sConstrainedRandomWalk,Cost, 123.45961217652518, Score, -162.1164383561644, PathLength, 235.0,
hRandomDirection,Cost, 7.220338461195281, Score, 142.5958904109589,sConstrainedRandomWalk,Cost, 108.32383277131724, Score, -142.5958904109589, PathLength, 207.0,
hRandomSet,Cost, 20.786684608074037, Score, 197.58904109589045,sConstrainedRandomWalk,Cost, 149.88892455286722, Score, -197.58904109589045, PathLength, 287.0,
hRandomFixedDistance,Cost, 19.918371299629364, Score, 155.21917808219186,sConstrainedRandomWalk,Cost, 118.27698185992162, Score, -155.21917808219186, PathLength, 225.0,
hLowEdgeCostRandomFixedDistance,Cost, 55.155493421480095, Score, 186.26027397260276,sConstrainedRandomWalk,Cost, 142.71282066849656, Score, -186.26027397260276, PathLength, 270.0,
hMinimumConnectivity,Cost, 41.02116489454874, Score, 274.17123287671234,sConstrainedRandomWalk,Cost, 209.75557733885893, Score, -274.17123287671234, PathLength, 399.0,
hMaxDistance,Cost, 706.2092577149779, Score, 181.48630136986296,sConstrainedRandomWalk,Cost, 138.7927888819898, Score, -181.48630136986296, PathLength, 263.0,
hRandom,Cost, 15.316688081772549, Score, 131.65189873417722,sConstrainedRandomWalk,Cost, 111.53512386151012, Score, -131.65189873417722, PathLength, 207.0,
hRandomDirection,Cost, 7.1780818102784965, Score, 121.79113924050638,sConstrainedRandomWalk,Cost, 103.03979792324171, Score, -121.79113924050638, PathLength, 191.0,
