[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1][LowEdgeCost,1][DepthFirstSearch,1][DepthFirstSearchLowCost,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][BacktrackPath,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 0.38296150144116425, Score, 66.49927849927849,sConstrainedRandomWalk,Cost, 39.09778117537229, Score, -51.6818181818182, PathLength, 78.0,sLowEdgeCost,Cost, 28.001719072113175, Score, -46.064935064935064, PathLength, 69.0,sDepthFirstSearch,Cost, 34.135991636227295, Score, -46.64935064935064, PathLength, 70.0,sDepthFirstSearchLowCost,Cost, 26.839042907778193, Score, -44.74675324675325, PathLength, 67.0,sBreadthFirstSearch,Cost, 48.200838983672746, Score, -104.62987012987008, PathLength, 160.0,sBreadthFirstSearchLowCost,Cost, 48.68299406854073, Score, -112.99999999999996, PathLength, 173.0,sBacktrackPath,Cost, 36.901676349535535, Score, -85.15584415584412, PathLength, 130.0,sLeastConnectedFirst,Cost, 38.12763400131076, Score, -49.50649350649351, PathLength, 75.0,sMostConnectedFirst,Cost, 40.951629174688826, Score, -57.05844155844156, PathLength, 86.0,
hRandomDirection,Cost, 0.0, Score, 75.33405483405481,sConstrainedRandomWalk,Cost, 49.454636010307205, Score, -65.2207792207792, PathLength, 99.0,sLowEdgeCost,Cost, 36.2845232678392, Score, -57.64935064935064, PathLength, 87.0,sDepthFirstSearch,Cost, 40.85547492242331, Score, -55.77272727272729, PathLength, 84.0,sDepthFirstSearchLowCost,Cost, 28.89950941243553, Score, -47.50649350649353, PathLength, 72.0,sBreadthFirstSearch,Cost, 53.80965780983758, Score, -118.32467532467534, PathLength, 181.0,sBreadthFirstSearchLowCost,Cost, 50.272547587433436, Score, -116.72077922077924, PathLength, 178.0,sBacktrackPath,Cost, 47.97907934264079, Score, -103.44155844155839, PathLength, 158.0,sLeastConnectedFirst,Cost, 37.25479350575782, Score, -48.35064935064935, PathLength, 73.0,sMostConnectedFirst,Cost, 48.11727232071689, Score, -65.01948051948054, PathLength, 99.0,
hRandomSet,Cost, 1.2884829261776136, Score, 76.87157287157285,sConstrainedRandomWalk,Cost, 43.38476252671998, Score, -57.1168831168831, PathLength, 86.0,sLowEdgeCost,Cost, 33.693259774614724, Score, -53.78571428571428, PathLength, 81.0,sDepthFirstSearch,Cost, 40.3827357320209, Score, -55.25324675324677, PathLength, 84.0,sDepthFirstSearchLowCost,Cost, 30.27294925260224, Score, -50.05844155844156, PathLength, 76.0,sBreadthFirstSearch,Cost, 57.767955166041446, Score, -127.57142857142856, PathLength, 195.0,sBreadthFirstSearchLowCost,Cost, 56.01564106891942, Score, -130.52597402597405, PathLength, 200.0,sBacktrackPath,Cost, 47.41723734724281, Score, -98.90259740259737, PathLength, 151.0,sLeastConnectedFirst,Cost, 39.01394925237515, Score, -50.03246753246753, PathLength, 76.0,sMostConnectedFirst,Cost, 51.30577563963495, Score, -68.5974025974026, PathLength, 104.0,
hRandomFixedDistance,Cost, 2.445247361277627, Score, 59.85642135642137,sConstrainedRandomWalk,Cost, 30.009943640129542, Score, -39.487012987012974, PathLength, 59.0,sLowEdgeCost,Cost, 25.039921810966383, Score, -42.11688311688311, PathLength, 63.0,sDepthFirstSearch,Cost, 27.479172512006087, Score, -37.94805194805194, PathLength, 57.0,sDepthFirstSearchLowCost,Cost, 25.16839346569668, Score, -41.49999999999998, PathLength, 62.0,sBreadthFirstSearch,Cost, 45.32662640885899, Score, -99.98051948051952, PathLength, 152.0,sBreadthFirstSearchLowCost,Cost, 46.57608311151511, Score, -108.72077922077914, PathLength, 166.0,sBacktrackPath,Cost, 36.14498710051851, Score, -76.83766233766234, PathLength, 117.0,sLeastConnectedFirst,Cost, 37.816087265937036, Score, -49.77272727272728, PathLength, 75.0,sMostConnectedFirst,Cost, 30.32885963548877, Score, -42.34415584415585, PathLength, 64.0,
hLowEdgeCostRandomFixedDistance,Cost, 1.1261827727514677, Score, 39.83405483405481,sConstrainedRandomWalk,Cost, 28.018565406096332, Score, -37.194805194805205, PathLength, 56.0,sLowEdgeCost,Cost, 5.820749105452771, Score, -13.220779220779214, PathLength, 19.0,sDepthFirstSearch,Cost, 18.405383872548835, Score, -26.181818181818176, PathLength, 39.0,sDepthFirstSearchLowCost,Cost, 4.382132619274953, Score, -10.915584415584417, PathLength, 15.0,sBreadthFirstSearch,Cost, 40.20306644032531, Score, -87.33766233766234, PathLength, 133.0,sBreadthFirstSearchLowCost,Cost, 41.96333252303645, Score, -93.83766233766241, PathLength, 143.0,sBacktrackPath,Cost, 3.187789016176912, Score, -13.909090909090905, PathLength, 20.0,sLeastConnectedFirst,Cost, 34.70434037678572, Score, -45.29220779220778, PathLength, 68.0,sMostConnectedFirst,Cost, 22.04127398117312, Score, -30.616883116883105, PathLength, 46.0,
hMinimumConnectivity,Cost, 2.8021666171582393, Score, 118.17532467532469,sConstrainedRandomWalk,Cost, 70.33952081666466, Score, -91.90259740259738, PathLength, 140.0,sLowEdgeCost,Cost, 67.11803495744518, Score, -97.4155844155844, PathLength, 149.0,sDepthFirstSearch,Cost, 62.25151760772809, Score, -83.2272727272727, PathLength, 127.0,sDepthFirstSearchLowCost,Cost, 51.257148778506135, Score, -79.18181818181819, PathLength, 120.0,sBreadthFirstSearch,Cost, 86.84596172338532, Score, -189.76623376623388, PathLength, 291.0,sBreadthFirstSearchLowCost,Cost, 84.07612180733874, Score, -192.6948051948053, PathLength, 295.0,sBacktrackPath,Cost, 84.92563377077963, Score, -165.1818181818182, PathLength, 253.0,sLeastConnectedFirst,Cost, 39.04079967045955, Score, -50.69480519480519, PathLength, 77.0,sMostConnectedFirst,Cost, 85.20989096341451, Score, -113.512987012987, PathLength, 173.0,
hMaxDistance,Cost, 0.0, Score, 74.9660894660895,sConstrainedRandomWalk,Cost, 42.17286063463969, Score, -55.512987012987, PathLength, 84.0,sLowEdgeCost,Cost, 35.16503768293248, Score, -55.30519480519481, PathLength, 84.0,sDepthFirstSearch,Cost, 41.7214952729645, Score, -56.746753246753244, PathLength, 86.0,sDepthFirstSearchLowCost,Cost, 31.85227425685985, Score, -51.86363636363636, PathLength, 78.0,sBreadthFirstSearch,Cost, 53.93887176666618, Score, -119.62987012987016, PathLength, 183.0,sBreadthFirstSearchLowCost,Cost, 52.002980185271284, Score, -121.51948051948055, PathLength, 186.0,sBacktrackPath,Cost, 42.82880356431673, Score, -93.83116883116885, PathLength, 143.0,sLeastConnectedFirst,Cost, 42.44722368813899, Score, -54.642857142857146, PathLength, 83.0,sMostConnectedFirst,Cost, 48.14193021556482, Score, -65.64285714285715, PathLength, 100.0,
hRandom,Cost, 1.4971395877928593, Score, 75.0139762403913,sConstrainedRandomWalk,Cost, 56.64861479815804, Score, -78.41509433962264, PathLength, 123.0,sLowEdgeCost,Cost, 39.79783285579046, Score, -61.861635220125756, PathLength, 97.0,sDepthFirstSearch,Cost, 38.025755729401084, Score, -49.899371069182386, PathLength, 78.0,sDepthFirstSearchLowCost,Cost, 30.94261530115596, Score, -49.427672955974856, PathLength, 77.0,sBreadthFirstSearch,Cost, 46.092737392012275, Score, -100.58490566037737, PathLength, 158.0,sBreadthFirstSearchLowCost,Cost, 47.173543838192145, Score, -105.6037735849057, PathLength, 166.0,sBacktrackPath,Cost, 48.8320987065775, Score, -98.12578616352202, PathLength, 155.0,sLeastConnectedFirst,Cost, 43.02457433388989, Score, -60.018867924528315, PathLength, 94.0,sMostConnectedFirst,Cost, 52.63225200613805, Score, -71.18867924528303, PathLength, 112.0,
hRandomDirection,Cost, 0.4449368781563968, Score, 80.60796645702305,sConstrainedRandomWalk,Cost, 48.244558382172116, Score, -65.49685534591197, PathLength, 103.0,sLowEdgeCost,Cost, 49.75405585840359, Score, -76.96855345911948, PathLength, 121.0,sDepthFirstSearch,Cost, 42.44298222284267, Score, -55.597484276729574, PathLength, 87.0,sDepthFirstSearchLowCost,Cost, 35.95262199839187, Score, -55.861635220125784, PathLength, 87.0,sBreadthFirstSearch,Cost, 54.859108334182665, Score, -119.4402515723271, PathLength, 188.0,sBreadthFirstSearchLowCost,Cost, 56.48666658366057, Score, -126.5220125786164, PathLength, 200.0,sBacktrackPath,Cost, 47.38820515068813, Score, -97.31446540880505, PathLength, 153.0,sLeastConnectedFirst,Cost, 36.260495462073365, Score, -50.2075471698113, PathLength, 78.0,sMostConnectedFirst,Cost, 57.37173286856266, Score, -78.06289308176102, PathLength, 123.0,
hRandomSet,Cost, 2.5948781422661744, Score, 104.90635918937804,sConstrainedRandomWalk,Cost, 67.13018909783241, Score, -92.82389937106922, PathLength, 146.0,sLowEdgeCost,Cost, 63.2589404141401, Score, -95.75471698113209, PathLength, 151.0,sDepthFirstSearch,Cost, 53.73118595724382, Score, -70.72955974842768, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 45.327725307091015, Score, -69.44654088050315, PathLength, 109.0,sBreadthFirstSearch,Cost, 72.55841616273533, Score, -158.61635220125785, PathLength, 251.0,sBreadthFirstSearchLowCost,Cost, 70.36242578413366, Score, -156.93081761006292, PathLength, 248.0,sBacktrackPath,Cost, 82.00869859217812, Score, -149.7295597484277, PathLength, 237.0,sLeastConnectedFirst,Cost, 45.73080385015643, Score, -63.270440251572325, PathLength, 99.0,sMostConnectedFirst,Cost, 63.79837440696025, Score, -86.8553459119497, PathLength, 137.0,
hRandomFixedDistance,Cost, 2.2888590542661196, Score, 73.56184486373168,sConstrainedRandomWalk,Cost, 43.755501991796336, Score, -59.75471698113213, PathLength, 94.0,sLowEdgeCost,Cost, 39.58810941418237, Score, -64.1823899371069, PathLength, 101.0,sDepthFirstSearch,Cost, 36.3963589252425, Score, -48.75471698113207, PathLength, 76.0,sDepthFirstSearchLowCost,Cost, 28.819295349462827, Score, -47.28301886792452, PathLength, 74.0,sBreadthFirstSearch,Cost, 51.44694531185571, Score, -114.10691823899373, PathLength, 180.0,sBreadthFirstSearchLowCost,Cost, 49.30782767869927, Score, -111.46540880503149, PathLength, 176.0,sBacktrackPath,Cost, 45.35006962393799, Score, -95.5345911949686, PathLength, 150.0,sLeastConnectedFirst,Cost, 45.170213717933535, Score, -62.62893081761009, PathLength, 98.0,sMostConnectedFirst,Cost, 42.97781695698793, Score, -58.34591194968557, PathLength, 91.0,
