[100, [RandomSet,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 77.36085588007371, Score, 133.33333333333331, LeastConnectedNodes, 40, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 95.77549037177046, Score, -133.33333333333331, PathLength, 199.0,
hRandomSet,Cost, 29.285870253746495, Score, 128.67132867132867, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 99.46853741549785, Score, -128.67132867132867, PathLength, 183.0,
hRandomSet,Cost, 23.595915653279768, Score, 187.0748299319728, LeastConnectedNodes, 34, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 134.33179775583423, Score, -187.0748299319728, PathLength, 274.0,
hRandomSet,Cost, 79.02018692638701, Score, 155.26315789473685, LeastConnectedNodes, 40, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 126.6391317606326, Score, -155.26315789473685, PathLength, 235.0,
hRandomSet,Cost, 67.10879230150586, Score, 131.42857142857142, LeastConnectedNodes, 40, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 91.3878167724535, Score, -131.42857142857142, PathLength, 183.0,
hRandomSet,Cost, 34.55202545968512, Score, 142.3841059602649, LeastConnectedNodes, 33, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 110.21642309534292, Score, -142.3841059602649, PathLength, 214.0,
hRandomSet,Cost, 66.27318577627643, Score, 98.61111111111111, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 76.94946290480577, Score, -98.61111111111111, PathLength, 141.0,
hRandomSet,Cost, 25.144057478127365, Score, 201.41843971631204, LeastConnectedNodes, 47, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 138.75864522316996, Score, -201.41843971631204, PathLength, 283.0,
hRandomSet,Cost, 11.436124118334831, Score, 54.48717948717948, LeastConnectedNodes, 35, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 38.25241704958902, Score, -54.48717948717948, PathLength, 84.0,
hRandomSet,Cost, 29.656572043918295, Score, 119.33333333333334, LeastConnectedNodes, 34, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 89.88214479309313, Score, -119.33333333333334, PathLength, 178.0,
hRandomSet,Cost, 17.049386810849814, Score, 206.0810810810811, LeastConnectedNodes, 42, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 148.5836829683637, Score, -206.0810810810811, PathLength, 304.0,
