[100, [RandomSet,1][MinimumConnectivity,1][MaxDistance,1][Random,1][RandomDirection,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 48.75685349815224, Score, 39.09,sConstrainedRandomWalk,Cost, 612.5381333080811, Score, -39.09, PathLength, 116.0,
hMinimumConnectivity,Cost, 15513.03389483135, Score, 76.86999999999999, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 2, DegreeOfMostConnectedNodes, 12, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 1213.8578515716051, Score, -76.86999999999999, PathLength, 229.0,
hMaxDistance,Cost, 2019.3299502333819, Score, 34.99000000000001, GraphDiameter, 7.0,sConstrainedRandomWalk,Cost, 552.9418665737533, Score, -34.99000000000001, PathLength, 103.0,
hRandom,Cost, 43.89973422126481, Score, 31.470000000000006,sConstrainedRandomWalk,Cost, 496.22804729553286, Score, -31.470000000000006, PathLength, 93.0,
hRandomDirection,Cost, 20.721557598114554, Score, 31.006666666666675,sConstrainedRandomWalk,Cost, 485.12027069963483, Score, -31.006666666666675, PathLength, 92.0,
hRandomFixedDistance,Cost, 258.71831284669713, Score, 32.36000000000002,sConstrainedRandomWalk,Cost, 508.73672478038645, Score, -32.36000000000002, PathLength, 96.0,
hLowEdgeCostRandomFixedDistance,Cost, 16.285512977616847, Score, 30.916666666666664,sConstrainedRandomWalk,Cost, 485.6531179732759, Score, -30.916666666666664, PathLength, 91.0,
hRandomSet,Cost, 41.54514725191635, Score, 35.78,sConstrainedRandomWalk,Cost, 546.8329317428942, Score, -35.78, PathLength, 106.0,
hMinimumConnectivity,Cost, 21198.48228703779, Score, 59.04, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 1, DegreeOfMostConnectedNodes, 11, NumberOfMostConnectedNodes, 4,sConstrainedRandomWalk,Cost, 908.5561444220543, Score, -59.04, PathLength, 176.0,
hMaxDistance,Cost, 338.88112904894297, Score, 36.27000000000001, GraphDiameter, 5.0,sConstrainedRandomWalk,Cost, 552.4155440600475, Score, -36.27000000000001, PathLength, 107.0,
hRandom,Cost, 47.4037844760835, Score, 32.723333333333336,sConstrainedRandomWalk,Cost, 502.92182209344435, Score, -32.723333333333336, PathLength, 97.0,
hRandomDirection,Cost, 20.764406725422987, Score, 32.926666666666655,sConstrainedRandomWalk,Cost, 504.0366400982899, Score, -32.926666666666655, PathLength, 97.0,
hRandomFixedDistance,Cost, 174.7048885375183, Score, 31.493333333333336,sConstrainedRandomWalk,Cost, 485.2554982844553, Score, -31.493333333333336, PathLength, 93.0,
hLowEdgeCostRandomFixedDistance,Cost, 21.99648418245199, Score, 29.040000000000006,sConstrainedRandomWalk,Cost, 441.695162044124, Score, -29.040000000000006, PathLength, 86.0,
hRandomSet,Cost, 47.084937365482794, Score, 38.24666666666668,sConstrainedRandomWalk,Cost, 586.8064037385979, Score, -38.24666666666668, PathLength, 113.0,
hMinimumConnectivity,Cost, 20642.64596981832, Score, 66.60333333333335, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 1, NumberOfLeastConnectedNodes, 1, DegreeOfMostConnectedNodes, 14, NumberOfMostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 1031.7777008622224, Score, -66.60333333333335, PathLength, 198.0,
hMaxDistance,Cost, 1970.5623502048163, Score, 32.69666666666666, GraphDiameter, 8.0,sConstrainedRandomWalk,Cost, 496.0061729474584, Score, -32.69666666666666, PathLength, 97.0,
