[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][OptimalBacktrackPath,1][BacktrackPath,1][LowEdgeCost,1][DepthFirstSearch,1][BreadthFirstSearch,1][BreadthFirstSearchLowCost,1][LeastConnectedFirst,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 47.787513293219334, Score, 51.24799999999998,sConstrainedRandomWalk,Cost, 519.7091671514524, Score, -34.73333333333334, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 312.98113187385707, Score, -34.12, PathLength, 101.0,sOptimalBacktrackPath,Cost, 353.3886815454178, Score, -35.19666666666666, PathLength, 104.0,sBacktrackPath,Cost, 463.52681492745387, Score, -49.11333333333333, PathLength, 146.0,sLowEdgeCost,Cost, 348.92287376022796, Score, -34.656666666666666, PathLength, 102.0,sDepthFirstSearch,Cost, 506.9748438147884, Score, -34.63, PathLength, 102.0,sBreadthFirstSearch,Cost, 820.5833214283106, Score, -115.56, PathLength, 345.0,sBreadthFirstSearchLowCost,Cost, 757.2739941667508, Score, -106.95000000000002, PathLength, 319.0,sLeastConnectedFirst,Cost, 433.74847848754723, Score, -28.50333333333334, PathLength, 84.0,sMostConnectedFirst,Cost, 594.3250632853499, Score, -39.01666666666668, PathLength, 116.0,
hRandomSet,Cost, 41.23349403265453, Score, 48.02966666666668,sConstrainedRandomWalk,Cost, 503.5361397830252, Score, -34.51333333333334, PathLength, 102.0,sDepthFirstSearchLowCost,Cost, 294.04591440621743, Score, -33.74000000000001, PathLength, 100.0,sOptimalBacktrackPath,Cost, 320.89324356482973, Score, -34.116666666666674, PathLength, 101.0,sBacktrackPath,Cost, 414.46912701064156, Score, -47.51333333333333, PathLength, 141.0,sLowEdgeCost,Cost, 339.8436489293706, Score, -35.22333333333334, PathLength, 104.0,sDepthFirstSearch,Cost, 504.7669691012808, Score, -32.30000000000001, PathLength, 95.0,sBreadthFirstSearch,Cost, 692.3598090105323, Score, -102.9733333333334, PathLength, 307.0,sBreadthFirstSearchLowCost,Cost, 614.6812861771557, Score, -90.52999999999999, PathLength, 270.0,sLeastConnectedFirst,Cost, 426.7528772661835, Score, -29.786666666666665, PathLength, 88.0,sMostConnectedFirst,Cost, 580.4574085192227, Score, -39.599999999999994, PathLength, 117.0,
hRandomSet,Cost, 48.43176478569042, Score, 52.512666666666675,sConstrainedRandomWalk,Cost, 579.3373240140631, Score, -37.23333333333333, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 336.22723981177563, Score, -33.69666666666666, PathLength, 100.0,sOptimalBacktrackPath,Cost, 381.15888647384577, Score, -36.04000000000001, PathLength, 107.0,sBacktrackPath,Cost, 726.2121177941626, Score, -65.91666666666663, PathLength, 196.0,sLowEdgeCost,Cost, 385.78278242676527, Score, -35.9, PathLength, 106.0,sDepthFirstSearch,Cost, 474.3398925240584, Score, -32.53333333333334, PathLength, 96.0,sBreadthFirstSearch,Cost, 869.365324921051, Score, -110.88, PathLength, 331.0,sBreadthFirstSearchLowCost,Cost, 795.7510118201724, Score, -103.42333333333329, PathLength, 309.0,sLeastConnectedFirst,Cost, 490.4034311165223, Score, -31.093333333333334, PathLength, 92.0,sMostConnectedFirst,Cost, 591.2538438639024, Score, -38.41, PathLength, 114.0,
hRandomSet,Cost, 41.52973227253057, Score, 57.40700000000002,sConstrainedRandomWalk,Cost, 540.9684452640658, Score, -38.016666666666666, PathLength, 113.0,sDepthFirstSearchLowCost,Cost, 299.7135773096757, Score, -34.34, PathLength, 102.0,sOptimalBacktrackPath,Cost, 315.35390019964984, Score, -35.08333333333334, PathLength, 104.0,sBacktrackPath,Cost, 691.6412279729901, Score, -71.75666666666666, PathLength, 214.0,sLowEdgeCost,Cost, 319.76533939106685, Score, -35.51333333333333, PathLength, 105.0,sDepthFirstSearch,Cost, 471.65405064536503, Score, -32.96666666666666, PathLength, 97.0,sBreadthFirstSearch,Cost, 698.0582373865009, Score, -130.33666666666667, PathLength, 390.0,sBreadthFirstSearchLowCost,Cost, 668.4695535635412, Score, -126.76666666666668, PathLength, 379.0,sLeastConnectedFirst,Cost, 404.36594095158523, Score, -28.62333333333334, PathLength, 84.0,sMostConnectedFirst,Cost, 593.7734183895259, Score, -40.66666666666667, PathLength, 121.0,
hRandomSet,Cost, 38.552169802414426, Score, 52.90433333333333,sConstrainedRandomWalk,Cost, 481.86014466293034, Score, -32.53, PathLength, 96.0,sDepthFirstSearchLowCost,Cost, 298.38262202113566, Score, -33.94000000000001, PathLength, 100.0,sOptimalBacktrackPath,Cost, 352.7314963641768, Score, -35.98333333333334, PathLength, 106.0,sBacktrackPath,Cost, 483.60558073943815, Score, -55.13666666666666, PathLength, 164.0,sLowEdgeCost,Cost, 325.4056184876816, Score, -34.15, PathLength, 101.0,sDepthFirstSearch,Cost, 457.03354491035736, Score, -32.33333333333333, PathLength, 96.0,sBreadthFirstSearch,Cost, 656.9210975582829, Score, -115.72999999999993, PathLength, 346.0,sBreadthFirstSearchLowCost,Cost, 658.9579851452967, Score, -119.04999999999997, PathLength, 356.0,sLeastConnectedFirst,Cost, 459.47419286257326, Score, -29.960000000000008, PathLength, 88.0,sMostConnectedFirst,Cost, 588.6313116549081, Score, -40.230000000000004, PathLength, 119.0,
hRandomSet,Cost, 48.8532397870337, Score, 48.385,sConstrainedRandomWalk,Cost, 543.462705410189, Score, -36.76000000000001, PathLength, 109.0,sDepthFirstSearchLowCost,Cost, 284.6403935026454, Score, -32.35333333333332, PathLength, 96.0,sOptimalBacktrackPath,Cost, 348.5093031441125, Score, -35.67666666666668, PathLength, 106.0,sBacktrackPath,Cost, 415.4277494952442, Score, -44.349999999999994, PathLength, 132.0,sLowEdgeCost,Cost, 349.70430822781026, Score, -35.63999999999999, PathLength, 105.0,sDepthFirstSearch,Cost, 515.3225950525217, Score, -34.73666666666667, PathLength, 103.0,sBreadthFirstSearch,Cost, 739.8984317280074, Score, -99.03000000000002, PathLength, 296.0,sBreadthFirstSearchLowCost,Cost, 715.3597946597811, Score, -96.85666666666665, PathLength, 289.0,sLeastConnectedFirst,Cost, 430.12906388977717, Score, -28.243333333333325, PathLength, 83.0,sMostConnectedFirst,Cost, 580.1772208439544, Score, -40.20333333333333, PathLength, 119.0,
hRandomSet,Cost, 44.830747693245314, Score, 54.097666666666676,sConstrainedRandomWalk,Cost, 526.3171828983633, Score, -35.653333333333336, PathLength, 105.0,sDepthFirstSearchLowCost,Cost, 305.75594905091646, Score, -34.499999999999986, PathLength, 102.0,sOptimalBacktrackPath,Cost, 314.4453899548504, Score, -33.92333333333333, PathLength, 100.0,sBacktrackPath,Cost, 602.2618431084644, Score, -64.18000000000002, PathLength, 191.0,sLowEdgeCost,Cost, 352.197278105856, Score, -36.29666666666667, PathLength, 107.0,sDepthFirstSearch,Cost, 485.9006228092226, Score, -32.143333333333345, PathLength, 95.0,sBreadthFirstSearch,Cost, 768.6947962949898, Score, -118.80000000000001, PathLength, 355.0,sBreadthFirstSearchLowCost,Cost, 742.9866309532127, Score, -116.19000000000001, PathLength, 347.0,sLeastConnectedFirst,Cost, 413.29744628807146, Score, -29.07, PathLength, 86.0,sMostConnectedFirst,Cost, 613.9021729034514, Score, -40.22, PathLength, 119.0,
hRandomSet,Cost, 42.20541522340584, Score, 54.435999999999986,sConstrainedRandomWalk,Cost, 512.7340832625067, Score, -34.66, PathLength, 102.0,sDepthFirstSearchLowCost,Cost, 294.9692020299122, Score, -32.60333333333334, PathLength, 96.0,sOptimalBacktrackPath,Cost, 334.2004578973432, Score, -34.69333333333334, PathLength, 103.0,sBacktrackPath,Cost, 473.8638975059582, Score, -54.84333333333335, PathLength, 163.0,sLowEdgeCost,Cost, 307.49693771719683, Score, -32.67666666666667, PathLength, 97.0,sDepthFirstSearch,Cost, 493.1294233138489, Score, -35.95666666666666, PathLength, 106.0,sBreadthFirstSearch,Cost, 711.6363239328458, Score, -123.5533333333334, PathLength, 369.0,sBreadthFirstSearchLowCost,Cost, 691.4858198910379, Score, -121.96666666666665, PathLength, 364.0,sLeastConnectedFirst,Cost, 410.0736152325174, Score, -28.89, PathLength, 85.0,sMostConnectedFirst,Cost, 662.7322619014398, Score, -44.51666666666667, PathLength, 132.0,
hRandomSet,Cost, 44.587358979065485, Score, 54.27000000000001,sConstrainedRandomWalk,Cost, 528.9057047076078, Score, -35.050000000000004, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 342.0508808050729, Score, -36.62666666666666, PathLength, 108.0,sOptimalBacktrackPath,Cost, 372.1970876818856, Score, -36.660000000000004, PathLength, 108.0,sBacktrackPath,Cost, 683.7567225160319, Score, -68.92666666666669, PathLength, 205.0,sLowEdgeCost,Cost, 376.34703920007064, Score, -37.24666666666668, PathLength, 110.0,sDepthFirstSearch,Cost, 557.3955500778127, Score, -34.870000000000005, PathLength, 103.0,sBreadthFirstSearch,Cost, 726.5723490171408, Score, -112.51999999999998, PathLength, 336.0,sBreadthFirstSearchLowCost,Cost, 721.6021952858292, Score, -112.4866666666667, PathLength, 336.0,sLeastConnectedFirst,Cost, 422.55433176212483, Score, -29.643333333333334, PathLength, 87.0,sMostConnectedFirst,Cost, 599.6790213587132, Score, -38.67, PathLength, 115.0,
hRandomSet,Cost, 48.85358778271087, Score, 52.03200000000001,sConstrainedRandomWalk,Cost, 538.2577435768806, Score, -34.8, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 302.05464240204833, Score, -33.169999999999995, PathLength, 98.0,sOptimalBacktrackPath,Cost, 408.1330955714939, Score, -38.87333333333335, PathLength, 115.0,sBacktrackPath,Cost, 514.9107938759873, Score, -53.33, PathLength, 158.0,sLowEdgeCost,Cost, 385.9053480596621, Score, -37.57, PathLength, 111.0,sDepthFirstSearch,Cost, 490.79975137509433, Score, -31.61666666666667, PathLength, 93.0,sBreadthFirstSearch,Cost, 719.7331488288296, Score, -109.83666666666667, PathLength, 328.0,sBreadthFirstSearchLowCost,Cost, 734.7457172999534, Score, -110.53666666666662, PathLength, 330.0,sLeastConnectedFirst,Cost, 477.5183948705014, Score, -29.926666666666662, PathLength, 88.0,sMostConnectedFirst,Cost, 603.661179989229, Score, -40.66, PathLength, 120.0,
hRandomSet,Cost, 52.949307203692086, Score, 52.781000000000006,sConstrainedRandomWalk,Cost, 632.4556680229583, Score, -39.186666666666675, PathLength, 116.0,sDepthFirstSearchLowCost,Cost, 345.33104964019475, Score, -33.53333333333333, PathLength, 99.0,sOptimalBacktrackPath,Cost, 472.782890074232, Score, -40.21666666666667, PathLength, 119.0,sBacktrackPath,Cost, 628.80054848512, Score, -57.25, PathLength, 170.0,sLowEdgeCost,Cost, 435.0993795935769, Score, -38.01333333333332, PathLength, 113.0,sDepthFirstSearch,Cost, 584.1647957581866, Score, -36.45666666666666, PathLength, 108.0,sBreadthFirstSearch,Cost, 871.9286945950394, Score, -109.22333333333336, PathLength, 326.0,sBreadthFirstSearchLowCost,Cost, 821.2256836228356, Score, -105.32000000000002, PathLength, 314.0,sLeastConnectedFirst,Cost, 466.4709503549472, Score, -28.92333333333334, PathLength, 85.0,sMostConnectedFirst,Cost, 624.0421091824819, Score, -39.68666666666666, PathLength, 118.0,
