[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][VariableBacktrackPath,1][BacktrackPath,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 39.56754605281379, Score, 39.41916666666668,sConstrainedRandomWalk,Cost, 560.4529475150014, Score, -37.276666666666664, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 329.40597566719066, Score, -34.24333333333333, PathLength, 101.0,sVariableBacktrackPath,Cost, 318.61311393187697, Score, -32.40666666666667, PathLength, 96.0,sBacktrackPath,Cost, 467.0603402536217, Score, -53.75000000000003, PathLength, 160.0,
hRandomSet,Cost, 42.981038118285035, Score, 40.10749999999999,sConstrainedRandomWalk,Cost, 506.0085534007864, Score, -34.47, PathLength, 102.0,sDepthFirstSearchLowCost,Cost, 301.12159300587666, Score, -34.38000000000002, PathLength, 102.0,sVariableBacktrackPath,Cost, 347.4015338547413, Score, -36.35000000000001, PathLength, 108.0,sBacktrackPath,Cost, 506.65563365798533, Score, -55.22999999999999, PathLength, 164.0,
hRandomSet,Cost, 40.52325540043589, Score, 42.86250000000001,sConstrainedRandomWalk,Cost, 563.5460246028842, Score, -36.78333333333333, PathLength, 109.0,sDepthFirstSearchLowCost,Cost, 292.45575958447296, Score, -32.443333333333335, PathLength, 96.0,sVariableBacktrackPath,Cost, 399.9578365511654, Score, -39.19666666666666, PathLength, 116.0,sBacktrackPath,Cost, 616.7193626296452, Score, -63.02666666666667, PathLength, 188.0,
hRandomSet,Cost, 43.32607766240827, Score, 47.000833333333304,sConstrainedRandomWalk,Cost, 566.3487156420885, Score, -38.83666666666666, PathLength, 115.0,sDepthFirstSearchLowCost,Cost, 317.0397108586314, Score, -35.65999999999999, PathLength, 105.0,sVariableBacktrackPath,Cost, 496.1801776266125, Score, -48.270000000000024, PathLength, 143.0,sBacktrackPath,Cost, 635.762865978073, Score, -65.2366666666667, PathLength, 194.0,
hRandomSet,Cost, 38.06180337108689, Score, 46.154166666666676,sConstrainedRandomWalk,Cost, 517.9102904699647, Score, -34.83666666666667, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 297.87572207795716, Score, -32.19, PathLength, 95.0,sVariableBacktrackPath,Cost, 467.1300998677891, Score, -49.13000000000001, PathLength, 146.0,sBacktrackPath,Cost, 624.4244134503055, Score, -68.46, PathLength, 204.0,
hRandomSet,Cost, 43.055749313042924, Score, 47.356666666666655,sConstrainedRandomWalk,Cost, 537.5375450315291, Score, -35.73999999999999, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 310.99836107239213, Score, -33.756666666666675, PathLength, 100.0,sVariableBacktrackPath,Cost, 514.4833409786896, Score, -51.51666666666668, PathLength, 153.0,sBacktrackPath,Cost, 689.3863927309853, Score, -68.41333333333333, PathLength, 204.0,
hRandomSet,Cost, 44.55000593587956, Score, 51.28416666666667,sConstrainedRandomWalk,Cost, 576.0675314134295, Score, -39.54, PathLength, 117.0,sDepthFirstSearchLowCost,Cost, 309.1840682919354, Score, -33.87666666666668, PathLength, 100.0,sVariableBacktrackPath,Cost, 665.9358315800542, Score, -67.38666666666666, PathLength, 201.0,sBacktrackPath,Cost, 584.0741966027182, Score, -64.33333333333336, PathLength, 192.0,
hRandomSet,Cost, 38.379155039273485, Score, 43.09916666666666,sConstrainedRandomWalk,Cost, 556.3747260865733, Score, -37.39666666666666, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 323.13452519107534, Score, -35.65333333333332, PathLength, 105.0,sVariableBacktrackPath,Cost, 402.0626243880736, Score, -46.519999999999975, PathLength, 138.0,sBacktrackPath,Cost, 472.04739450964274, Score, -52.82666666666663, PathLength, 157.0,
hRandomSet,Cost, 47.34843261052461, Score, 43.67166666666667,sConstrainedRandomWalk,Cost, 552.1983010206633, Score, -35.88333333333333, PathLength, 106.0,sDepthFirstSearchLowCost,Cost, 334.5906136652907, Score, -33.713333333333345, PathLength, 100.0,sVariableBacktrackPath,Cost, 481.20762306468276, Score, -49.82666666666667, PathLength, 148.0,sBacktrackPath,Cost, 550.0898521980614, Score, -55.26333333333336, PathLength, 164.0,
hRandomSet,Cost, 40.991560487950636, Score, 40.74833333333332,sConstrainedRandomWalk,Cost, 535.181403882989, Score, -37.92999999999999, PathLength, 112.0,sDepthFirstSearchLowCost,Cost, 280.62660664045654, Score, -32.86333333333334, PathLength, 97.0,sVariableBacktrackPath,Cost, 385.6411471685209, Score, -44.91333333333332, PathLength, 133.0,sBacktrackPath,Cost, 409.6768747476017, Score, -47.286666666666676, PathLength, 140.0,
hRandomSet,Cost, 36.01362647459254, Score, 53.876666666666644,sConstrainedRandomWalk,Cost, 513.4796871721977, Score, -35.10333333333334, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 323.7021394854487, Score, -34.096666666666664, PathLength, 101.0,sVariableBacktrackPath,Cost, 608.1780214084363, Score, -69.47666666666669, PathLength, 207.0,sBacktrackPath,Cost, 688.3389379465698, Score, -76.83, PathLength, 229.0,
hRandomSet,Cost, 39.977604965889874, Score, 47.36916666666665,sConstrainedRandomWalk,Cost, 526.4635113199181, Score, -37.016666666666666, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 312.18430415579144, Score, -35.58000000000001, PathLength, 105.0,sVariableBacktrackPath,Cost, 524.4441380283662, Score, -57.279999999999966, PathLength, 170.0,sBacktrackPath,Cost, 545.448483566564, Score, -59.599999999999994, PathLength, 177.0,
hRandomSet,Cost, 41.73557778977538, Score, 45.20916666666667,sConstrainedRandomWalk,Cost, 557.5097403117882, Score, -37.32333333333334, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 287.6122222849757, Score, -33.29000000000001, PathLength, 98.0,sVariableBacktrackPath,Cost, 419.06744296319664, Score, -49.240000000000016, PathLength, 146.0,sBacktrackPath,Cost, 573.2902869091199, Score, -60.98333333333334, PathLength, 181.0,
hRandomSet,Cost, 43.73025246391225, Score, 51.709166666666654,sConstrainedRandomWalk,Cost, 572.9921942616221, Score, -38.22, PathLength, 113.0,sDepthFirstSearchLowCost,Cost, 351.49235848960626, Score, -33.99666666666668, PathLength, 100.0,sVariableBacktrackPath,Cost, 724.3320238886377, Score, -71.69666666666666, PathLength, 214.0,sBacktrackPath,Cost, 618.260438818821, Score, -62.92333333333334, PathLength, 187.0,
hRandomSet,Cost, 44.23613626881605, Score, 44.45499999999999,sConstrainedRandomWalk,Cost, 530.5511091352519, Score, -37.24999999999999, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 320.4185442117795, Score, -35.41666666666666, PathLength, 105.0,sVariableBacktrackPath,Cost, 470.2811058169708, Score, -51.46333333333334, PathLength, 153.0,sBacktrackPath,Cost, 496.3134640153654, Score, -53.68999999999999, PathLength, 160.0,
hRandomSet,Cost, 48.0818716152613, Score, 41.37250000000001,sConstrainedRandomWalk,Cost, 547.8833918249234, Score, -36.63333333333333, PathLength, 108.0,sDepthFirstSearchLowCost,Cost, 304.526083317295, Score, -33.22999999999999, PathLength, 98.0,sVariableBacktrackPath,Cost, 420.07081870576206, Score, -45.19666666666666, PathLength, 134.0,sBacktrackPath,Cost, 490.7358573631391, Score, -50.43000000000001, PathLength, 150.0,
hRandomSet,Cost, 35.96563362005813, Score, 50.19,sConstrainedRandomWalk,Cost, 580.976863488371, Score, -42.35333333333333, PathLength, 126.0,sDepthFirstSearchLowCost,Cost, 296.1343757189326, Score, -34.916666666666686, PathLength, 103.0,sVariableBacktrackPath,Cost, 575.8572266702262, Score, -65.95333333333333, PathLength, 196.0,sBacktrackPath,Cost, 464.0780442383306, Score, -57.53666666666669, PathLength, 171.0,
hRandomSet,Cost, 42.764189162401614, Score, 48.06416666666665,sConstrainedRandomWalk,Cost, 515.7075839337622, Score, -35.103333333333325, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 320.64646074457335, Score, -35.893333333333345, PathLength, 106.0,sVariableBacktrackPath,Cost, 572.2858542889455, Score, -61.16999999999998, PathLength, 182.0,sBacktrackPath,Cost, 555.1694799980694, Score, -60.09000000000001, PathLength, 179.0,
hRandomSet,Cost, 42.341318551450385, Score, 50.12000000000001,sConstrainedRandomWalk,Cost, 615.8504170425982, Score, -42.18000000000001, PathLength, 125.0,sDepthFirstSearchLowCost,Cost, 351.1291001039006, Score, -35.48666666666668, PathLength, 105.0,sVariableBacktrackPath,Cost, 638.3534921229333, Score, -66.63666666666663, PathLength, 198.0,sBacktrackPath,Cost, 503.398107164557, Score, -56.17666666666665, PathLength, 167.0,
hRandomSet,Cost, 48.63489768391995, Score, 49.86416666666665,sConstrainedRandomWalk,Cost, 571.8846306126579, Score, -37.35666666666667, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 372.0426461238793, Score, -37.82333333333332, PathLength, 112.0,sVariableBacktrackPath,Cost, 608.9932794872271, Score, -60.24000000000001, PathLength, 179.0,sBacktrackPath,Cost, 650.7784231716175, Score, -64.03666666666663, PathLength, 191.0,
hRandomSet,Cost, 44.36311345594729, Score, 44.30416666666666,sConstrainedRandomWalk,Cost, 506.2676570953121, Score, -32.69333333333334, PathLength, 97.0,sDepthFirstSearchLowCost,Cost, 297.60415902157615, Score, -33.826666666666675, PathLength, 100.0,sVariableBacktrackPath,Cost, 473.1287595411933, Score, -50.92333333333332, PathLength, 151.0,sBacktrackPath,Cost, 603.9670412317229, Score, -59.77333333333333, PathLength, 178.0,
