[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][OptimalBacktrackPath,1][BacktrackPath,1][LowEdgeCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 44.33864108911588, Score, 43.06000000000001,sConstrainedRandomWalk,Cost, 568.0163522730895, Score, -38.14000000000001, PathLength, 113.0,sDepthFirstSearchLowCost,Cost, 320.2064748650438, Score, -35.00333333333334, PathLength, 104.0,sOptimalBacktrackPath,Cost, 389.6197238726498, Score, -38.58333333333334, PathLength, 114.0,sBacktrackPath,Cost, 592.9949332735993, Score, -63.103333333333346, PathLength, 188.0,sLowEdgeCost,Cost, 415.4325680382628, Score, -40.46999999999999, PathLength, 120.0,
hRandomSet,Cost, 45.27765965514358, Score, 40.81666666666666,sConstrainedRandomWalk,Cost, 546.1439526984553, Score, -36.16333333333333, PathLength, 107.0,sDepthFirstSearchLowCost,Cost, 296.591824597856, Score, -34.11000000000001, PathLength, 101.0,sOptimalBacktrackPath,Cost, 372.058967420247, Score, -37.56, PathLength, 111.0,sBacktrackPath,Cost, 597.999345837151, Score, -59.47999999999999, PathLength, 177.0,sLowEdgeCost,Cost, 358.2183473307672, Score, -36.77, PathLength, 109.0,
hRandomSet,Cost, 44.27921353136841, Score, 40.186666666666675,sConstrainedRandomWalk,Cost, 532.3260143714011, Score, -35.643333333333324, PathLength, 105.0,sDepthFirstSearchLowCost,Cost, 333.7646127162854, Score, -33.52, PathLength, 99.0,sOptimalBacktrackPath,Cost, 381.5848615242369, Score, -36.29666666666666, PathLength, 107.0,sBacktrackPath,Cost, 563.6959652467303, Score, -59.29333333333335, PathLength, 176.0,sLowEdgeCost,Cost, 378.20589568810567, Score, -36.18000000000001, PathLength, 107.0,
hRandomSet,Cost, 40.942433247287326, Score, 37.702000000000005,sConstrainedRandomWalk,Cost, 511.8782419954543, Score, -36.33999999999999, PathLength, 108.0,sDepthFirstSearchLowCost,Cost, 297.5349467673667, Score, -35.006666666666675, PathLength, 104.0,sOptimalBacktrackPath,Cost, 319.8189361551992, Score, -35.11666666666666, PathLength, 104.0,sBacktrackPath,Cost, 409.85631903420324, Score, -46.96333333333333, PathLength, 139.0,sLowEdgeCost,Cost, 317.1228890594564, Score, -35.083333333333336, PathLength, 104.0,
hRandomSet,Cost, 50.747665925626386, Score, 35.671333333333344,sConstrainedRandomWalk,Cost, 583.6518018572997, Score, -36.79333333333334, PathLength, 109.0,sDepthFirstSearchLowCost,Cost, 315.305104827647, Score, -32.54333333333334, PathLength, 96.0,sOptimalBacktrackPath,Cost, 340.4566863653043, Score, -33.44666666666667, PathLength, 99.0,sBacktrackPath,Cost, 393.58721577916117, Score, -40.036666666666676, PathLength, 119.0,sLowEdgeCost,Cost, 378.0986946267135, Score, -35.53666666666666, PathLength, 105.0,
hRandomSet,Cost, 46.66802721675861, Score, 42.38333333333334,sConstrainedRandomWalk,Cost, 559.9730725921872, Score, -36.72, PathLength, 109.0,sDepthFirstSearchLowCost,Cost, 390.9429972335487, Score, -38.19333333333334, PathLength, 113.0,sOptimalBacktrackPath,Cost, 453.82494014832935, Score, -40.61999999999998, PathLength, 120.0,sBacktrackPath,Cost, 597.4263975888034, Score, -58.67666666666667, PathLength, 175.0,sLowEdgeCost,Cost, 407.9546933173191, Score, -37.70666666666668, PathLength, 112.0,
hRandomSet,Cost, 47.310049489003774, Score, 41.179333333333346,sConstrainedRandomWalk,Cost, 556.6749196136564, Score, -36.62666666666666, PathLength, 108.0,sDepthFirstSearchLowCost,Cost, 378.4927069713914, Score, -35.07333333333332, PathLength, 104.0,sOptimalBacktrackPath,Cost, 423.90925991141444, Score, -38.053333333333335, PathLength, 113.0,sBacktrackPath,Cost, 573.5676309478395, Score, -57.713333333333296, PathLength, 172.0,sLowEdgeCost,Cost, 430.0791599068912, Score, -38.43000000000001, PathLength, 114.0,
hRandomSet,Cost, 43.420646063560234, Score, 43.394000000000005,sConstrainedRandomWalk,Cost, 554.0731569201463, Score, -38.26666666666667, PathLength, 113.0,sDepthFirstSearchLowCost,Cost, 293.3330971998361, Score, -34.58333333333333, PathLength, 102.0,sOptimalBacktrackPath,Cost, 401.6841245775458, Score, -40.23666666666667, PathLength, 119.0,sBacktrackPath,Cost, 548.6092589433529, Score, -60.02666666666667, PathLength, 179.0,sLowEdgeCost,Cost, 453.87990941125446, Score, -43.85666666666666, PathLength, 130.0,
hRandomSet,Cost, 46.30074199784261, Score, 42.467333333333336,sConstrainedRandomWalk,Cost, 563.0030931471882, Score, -37.87, PathLength, 112.0,sDepthFirstSearchLowCost,Cost, 338.82352508608415, Score, -36.10999999999999, PathLength, 107.0,sOptimalBacktrackPath,Cost, 440.88932177079295, Score, -41.40666666666666, PathLength, 123.0,sBacktrackPath,Cost, 542.8698313718331, Score, -55.68, PathLength, 166.0,sLowEdgeCost,Cost, 436.7024217546422, Score, -41.27, PathLength, 122.0,
hRandomSet,Cost, 41.2908101328403, Score, 41.172666666666665,sConstrainedRandomWalk,Cost, 553.8614497932078, Score, -36.56666666666666, PathLength, 108.0,sDepthFirstSearchLowCost,Cost, 334.12196320949806, Score, -35.15666666666666, PathLength, 104.0,sOptimalBacktrackPath,Cost, 402.96574259505746, Score, -38.900000000000006, PathLength, 115.0,sBacktrackPath,Cost, 550.7908914369051, Score, -59.89666666666669, PathLength, 178.0,sLowEdgeCost,Cost, 349.2473294847491, Score, -35.343333333333334, PathLength, 105.0,
hRandomSet,Cost, 48.68018426280239, Score, 42.31933333333332,sConstrainedRandomWalk,Cost, 593.6270377881561, Score, -41.30333333333332, PathLength, 122.0,sDepthFirstSearchLowCost,Cost, 311.9619939197008, Score, -35.55999999999999, PathLength, 105.0,sOptimalBacktrackPath,Cost, 375.59605072623185, Score, -38.466666666666654, PathLength, 114.0,sBacktrackPath,Cost, 548.2563734458582, Score, -57.53999999999999, PathLength, 171.0,sLowEdgeCost,Cost, 374.80746548466595, Score, -38.72666666666668, PathLength, 115.0,
